카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년12월_계_총인구수,"50,745","11,064","13,356","4,808","2,246","1,610","2,458","1,462","1,243","1,232","2,080","2,025","2,865","4,296"
2021년12월_계_연령구간인구수,"50,745","11,064","13,356","4,808","2,246","1,610","2,458","1,462","1,243","1,232","2,080","2,025","2,865","4,296"
2021년12월_계_0~9세,"2,121",515,919,136,49,24,67,42,31,30,33,44,41,190
2021년12월_계_10~19세,"3,322",836,"1,451",229,57,57,98,64,39,20,69,81,89,232
2021년12월_계_20~29세,"3,612","1,038","1,266",263,86,73,101,74,56,35,77,91,175,277
2021년12월_계_30~39세,"3,196",859,"1,024",255,115,52,113,75,54,42,84,96,130,297
2021년12월_계_40~49세,"5,409","1,447","1,847",468,146,128,202,85,72,96,134,128,215,441
2021년12월_계_50~59세,"8,196","1,925","2,283",759,295,219,359,200,164,171,295,294,492,740
2021년12월_계_60~69세,"10,545","2,059","2,158","1,088",517,389,538,359,304,320,565,505,755,988
2021년12월_계_70~79세,"8,008","1,478","1,427",901,471,334,489,282,240,285,426,421,559,695
2021년12월_계_80~89세,"5,396",789,825,603,437,277,420,237,246,199,338,305,340,380
2021년12월_계_90~99세,919,114,154,104,72,56,70,43,36,34,57,58,68,53
2021년12월_계_100세 이상,21,4,2,2,1,1,1,1,1,0,2,2,1,3
2021년12월_남_총인구수,"25,081","5,542","6,534","2,405","1,092",791,"1,154",698,597,627,"1,009",979,"1,421","2,232"
2021년12월_남_연령구간인구수,"25,081","5,542","6,534","2,405","1,092",791,"1,154",698,597,627,"1,009",979,"1,421","2,232"
2021년12월_남_0~9세,"1,078",252,465,70,31,9,34,20,17,21,14,24,29,92
2021년12월_남_10~19세,"1,698",436,757,118,33,30,41,30,19,10,34,36,42,112
2021년12월_남_20~29세,"2,117",582,729,150,56,41,57,50,33,23,43,58,121,174
2021년12월_남_30~39세,"1,781",460,500,161,71,31,66,42,30,25,50,64,80,201
2021년12월_남_40~49세,"2,923",765,879,272,90,83,112,53,44,66,79,70,133,277
2021년12월_남_50~59세,"4,497","1,079","1,195",437,158,127,199,104,95,102,150,170,264,417
2021년12월_남_60~69세,"5,196",993,"1,019",566,265,193,250,177,159,157,291,258,369,499
2021년12월_남_70~79세,"3,642",648,658,393,216,150,226,139,109,137,213,197,257,299
2021년12월_남_80~89세,"1,921",299,288,212,155,111,150,74,82,81,124,88,110,147
2021년12월_남_90~99세,227,28,44,25,17,16,19,9,9,5,11,14,16,14
2021년12월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"25,664","5,522","6,822","2,403","1,154",819,"1,304",764,646,605,"1,071","1,046","1,444","2,064"
2021년12월_여_연령구간인구수,"25,664","5,522","6,822","2,403","1,154",819,"1,304",764,646,605,"1,071","1,046","1,444","2,064"
2021년12월_여_0~9세,"1,043",263,454,66,18,15,33,22,14,9,19,20,12,98
2021년12월_여_10~19세,"1,624",400,694,111,24,27,57,34,20,10,35,45,47,120
2021년12월_여_20~29세,"1,495",456,537,113,30,32,44,24,23,12,34,33,54,103
2021년12월_여_30~39세,"1,415",399,524,94,44,21,47,33,24,17,34,32,50,96
2021년12월_여_40~49세,"2,486",682,968,196,56,45,90,32,28,30,55,58,82,164
2021년12월_여_50~59세,"3,699",846,"1,088",322,137,92,160,96,69,69,145,124,228,323
2021년12월_여_60~69세,"5,349","1,066","1,139",522,252,196,288,182,145,163,274,247,386,489
2021년12월_여_70~79세,"4,366",830,769,508,255,184,263,143,131,148,213,224,302,396
2021년12월_여_80~89세,"3,475",490,537,391,282,166,270,163,164,118,214,217,230,233
2021년12월_여_90~99세,692,86,110,79,55,40,51,34,27,29,46,44,52,39
2021년12월_여_100세 이상,20,4,2,1,1,1,1,1,1,0,2,2,1,3
