카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년01월_계_총인구수,"38,565","21,015","1,088","1,473","1,732","2,174","2,262","1,248","1,758","3,782","2,033"
2021년01월_계_연령구간인구수,"38,565","21,015","1,088","1,473","1,732","2,174","2,262","1,248","1,758","3,782","2,033"
2021년01월_계_0~9세,"1,671","1,285",21,27,30,37,44,39,53,93,42
2021년01월_계_10~19세,"2,820","2,078",30,54,75,91,101,47,66,194,84
2021년01월_계_20~29세,"3,272","2,302",47,69,90,141,119,101,106,219,78
2021년01월_계_30~39세,"2,771","1,889",50,61,63,103,113,83,121,188,100
2021년01월_계_40~49세,"4,571","2,945",103,115,156,204,222,128,178,336,184
2021년01월_계_50~59세,"7,326","3,773",214,339,401,446,428,273,323,737,392
2021년01월_계_60~69세,"8,135","3,396",272,380,473,567,641,308,432,"1,035",631
2021년01월_계_70~79세,"4,858","2,105",206,259,266,343,350,160,282,539,348
2021년01월_계_80~89세,"2,735","1,083",128,152,153,211,210,98,168,385,147
2021년01월_계_90~99세,354,139,15,16,22,24,29,10,28,46,25
2021년01월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2
2021년01월_남_총인구수,"19,935","10,742",568,771,894,"1,134","1,193",695,952,"1,944","1,042"
2021년01월_남_연령구간인구수,"19,935","10,742",568,771,894,"1,134","1,193",695,952,"1,944","1,042"
2021년01월_남_0~9세,892,692,14,12,17,19,19,20,31,47,21
2021년01월_남_10~19세,"1,513","1,127",16,24,38,39,59,27,28,112,43
2021년01월_남_20~29세,"1,891","1,301",30,44,56,88,74,64,62,127,45
2021년01월_남_30~39세,"1,513",992,27,40,34,56,75,46,86,107,50
2021년01월_남_40~49세,"2,502","1,508",68,74,86,129,136,74,121,195,111
2021년01월_남_50~59세,"4,060","2,063",130,192,212,256,246,171,192,394,204
2021년01월_남_60~69세,"4,239","1,712",138,219,253,308,344,168,228,552,317
2021년01월_남_70~79세,"2,212",917,93,108,137,150,166,84,130,248,179
2021년01월_남_80~89세,998,389,48,52,56,80,64,38,63,145,63
2021년01월_남_90~99세,99,35,3,5,5,6,8,3,11,14,9
2021년01월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0
2021년01월_여_총인구수,"18,630","10,273",520,702,838,"1,040","1,069",553,806,"1,838",991
2021년01월_여_연령구간인구수,"18,630","10,273",520,702,838,"1,040","1,069",553,806,"1,838",991
2021년01월_여_0~9세,779,593,7,15,13,18,25,19,22,46,21
2021년01월_여_10~19세,"1,307",951,14,30,37,52,42,20,38,82,41
2021년01월_여_20~29세,"1,381","1,001",17,25,34,53,45,37,44,92,33
2021년01월_여_30~39세,"1,258",897,23,21,29,47,38,37,35,81,50
2021년01월_여_40~49세,"2,069","1,437",35,41,70,75,86,54,57,141,73
2021년01월_여_50~59세,"3,266","1,710",84,147,189,190,182,102,131,343,188
2021년01월_여_60~69세,"3,896","1,684",134,161,220,259,297,140,204,483,314
2021년01월_여_70~79세,"2,646","1,188",113,151,129,193,184,76,152,291,169
2021년01월_여_80~89세,"1,737",694,80,100,97,131,146,60,105,240,84
2021년01월_여_90~99세,255,104,12,11,17,18,21,7,17,32,16
2021년01월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2
