,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년08월_계_총인구수,"176,811","52,702","8,594","81,765","25,815","7,935"
2021년08월_계_연령구간인구수,"176,811","52,702","8,594","81,765","25,815","7,935"
2021년08월_계_0~9세,"18,674","3,046",418,"11,570","3,294",346
2021년08월_계_10~19세,"17,880","4,306",407,"10,870","1,865",432
2021년08월_계_20~29세,"17,070","6,200","1,019","6,643","2,518",690
2021년08월_계_30~39세,"24,460","5,605","1,039","12,603","4,567",646
2021년08월_계_40~49세,"32,842","7,980",953,"18,759","4,164",986
2021년08월_계_50~59세,"24,663","9,379","1,502","8,673","3,764","1,345"
2021년08월_계_60~69세,"22,316","8,472","1,696","7,054","3,256","1,838"
2021년08월_계_70~79세,"12,700","5,058",948,"3,983","1,615","1,096"
2021년08월_계_80~89세,"5,427","2,336",518,"1,420",662,491
2021년08월_계_90~99세,748,308,89,186,105,60
2021년08월_계_100세 이상,31,12,5,4,5,5
2021년08월_남_총인구수,"87,546","25,707","4,626","40,398","12,795","4,020"
2021년08월_남_연령구간인구수,"87,546","25,707","4,626","40,398","12,795","4,020"
2021년08월_남_0~9세,"9,529","1,614",220,"5,895","1,637",163
2021년08월_남_10~19세,"9,264","2,248",226,"5,630",936,224
2021년08월_남_20~29세,"9,050","3,284",615,"3,335","1,389",427
2021년08월_남_30~39세,"12,157","2,948",609,"6,002","2,254",344
2021년08월_남_40~49세,"16,798","4,009",570,"9,548","2,130",541
2021년08월_남_50~59세,"12,575","4,631",858,"4,522","1,872",692
2021년08월_남_60~69세,"10,361","3,962",872,"3,053","1,586",888
2021년08월_남_70~79세,"5,802","2,147",478,"1,865",757,555
2021년08월_남_80~89세,"1,856",806,158,512,210,170
2021년08월_남_90~99세,153,58,19,36,24,16
2021년08월_남_100세 이상,1,0,1,0,0,0
2021년08월_여_총인구수,"89,265","26,995","3,968","41,367","13,020","3,915"
2021년08월_여_연령구간인구수,"89,265","26,995","3,968","41,367","13,020","3,915"
2021년08월_여_0~9세,"9,145","1,432",198,"5,675","1,657",183
2021년08월_여_10~19세,"8,616","2,058",181,"5,240",929,208
2021년08월_여_20~29세,"8,020","2,916",404,"3,308","1,129",263
2021년08월_여_30~39세,"12,303","2,657",430,"6,601","2,313",302
2021년08월_여_40~49세,"16,044","3,971",383,"9,211","2,034",445
2021년08월_여_50~59세,"12,088","4,748",644,"4,151","1,892",653
2021년08월_여_60~69세,"11,955","4,510",824,"4,001","1,670",950
2021년08월_여_70~79세,"6,898","2,911",470,"2,118",858,541
2021년08월_여_80~89세,"3,571","1,530",360,908,452,321
2021년08월_여_90~99세,595,250,70,150,81,44
2021년08월_여_100세 이상,30,12,4,4,5,5
