카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년02월_계_총인구수,"88,639","4,830","5,796","11,505","6,271","4,235","10,078","4,097","5,514","11,066","11,954","8,689","4,604"
2021년02월_계_연령구간인구수,"88,639","4,830","5,796","11,505","6,271","4,235","10,078","4,097","5,514","11,066","11,954","8,689","4,604"
2021년02월_계_0~9세,"4,023",166,157,987,174,188,413,107,169,453,368,455,386
2021년02월_계_10~19세,"5,035",272,278,728,406,307,579,232,333,616,611,420,253
2021년02월_계_20~29세,"10,423",676,625,"1,750",645,501,"1,195",355,577,"1,300","1,290","1,064",445
2021년02월_계_30~39세,"10,375",503,566,"2,323",507,406,"1,196",306,430,"1,144","1,136","1,171",687
2021년02월_계_40~49세,"11,839",698,750,"1,763",817,575,"1,289",475,667,"1,450","1,397","1,229",729
2021년02월_계_50~59세,"14,643",781,"1,002","1,617","1,039",705,"1,642",708,973,"1,854","2,123","1,588",611
2021년02월_계_60~69세,"16,175",876,"1,191","1,296","1,232",754,"1,889",821,"1,098","2,053","2,584","1,608",773
2021년02월_계_70~79세,"10,708",594,825,688,913,550,"1,252",725,856,"1,484","1,585",776,460
2021년02월_계_80~89세,"4,721",231,335,288,464,221,557,331,358,636,761,328,211
2021년02월_계_90~99세,597,28,58,57,62,23,50,35,51,60,86,43,44
2021년02월_계_100세 이상,100,5,9,8,12,5,16,2,2,16,13,7,5
2021년02월_남_총인구수,"43,370","2,428","2,869","5,628","3,050","2,050","4,809","2,032","2,616","5,373","5,885","4,392","2,238"
2021년02월_남_연령구간인구수,"43,370","2,428","2,869","5,628","3,050","2,050","4,809","2,032","2,616","5,373","5,885","4,392","2,238"
2021년02월_남_0~9세,"2,119",72,92,520,90,99,206,61,93,255,193,236,202
2021년02월_남_10~19세,"2,601",144,141,381,223,154,290,134,164,306,297,232,135
2021년02월_남_20~29세,"5,268",351,316,739,359,270,569,204,326,694,696,544,200
2021년02월_남_30~39세,"5,556",266,328,"1,202",291,219,658,176,229,599,624,615,349
2021년02월_남_40~49세,"6,341",395,428,905,416,298,667,267,358,778,776,652,401
2021년02월_남_50~59세,"7,456",434,530,814,541,354,803,392,472,907,"1,100",810,299
2021년02월_남_60~69세,"7,647",409,543,634,576,326,865,405,482,964,"1,241",806,396
2021년02월_남_70~79세,"4,591",273,353,317,381,234,551,285,365,624,680,349,179
2021년02월_남_80~89세,"1,615",75,113,99,157,91,182,96,115,231,254,134,68
2021년02월_남_90~99세,146,7,21,12,12,5,15,12,12,9,21,12,8
2021년02월_남_100세 이상,30,2,4,5,4,0,3,0,0,6,3,2,1
2021년02월_여_총인구수,"45,269","2,402","2,927","5,877","3,221","2,185","5,269","2,065","2,898","5,693","6,069","4,297","2,366"
2021년02월_여_연령구간인구수,"45,269","2,402","2,927","5,877","3,221","2,185","5,269","2,065","2,898","5,693","6,069","4,297","2,366"
2021년02월_여_0~9세,"1,904",94,65,467,84,89,207,46,76,198,175,219,184
2021년02월_여_10~19세,"2,434",128,137,347,183,153,289,98,169,310,314,188,118
2021년02월_여_20~29세,"5,155",325,309,"1,011",286,231,626,151,251,606,594,520,245
2021년02월_여_30~39세,"4,819",237,238,"1,121",216,187,538,130,201,545,512,556,338
2021년02월_여_40~49세,"5,498",303,322,858,401,277,622,208,309,672,621,577,328
2021년02월_여_50~59세,"7,187",347,472,803,498,351,839,316,501,947,"1,023",778,312
2021년02월_여_60~69세,"8,528",467,648,662,656,428,"1,024",416,616,"1,089","1,343",802,377
2021년02월_여_70~79세,"6,117",321,472,371,532,316,701,440,491,860,905,427,281
2021년02월_여_80~89세,"3,106",156,222,189,307,130,375,235,243,405,507,194,143
2021년02월_여_90~99세,451,21,37,45,50,18,35,23,39,51,65,31,36
2021년02월_여_100세 이상,70,3,5,3,8,5,13,2,2,10,10,5,4
