카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년12월_계_총인구수,"1,121,592","212,883","313,819","154,096","218,735","222,059"
2021년12월_계_연령구간인구수,"1,121,592","212,883","313,819","154,096","218,735","222,059"
2021년12월_계_0~9세,"92,018","15,265","22,540","13,711","24,039","16,463"
2021년12월_계_10~19세,"109,990","19,455","29,145","15,654","23,783","21,953"
2021년12월_계_20~29세,"137,422","25,187","43,368","16,724","26,213","25,930"
2021년12월_계_30~39세,"144,891","25,105","40,846","21,336","32,810","24,794"
2021년12월_계_40~49세,"183,954","33,097","49,604","26,172","39,009","36,072"
2021년12월_계_50~59세,"207,056","40,252","60,666","24,775","38,898","42,465"
2021년12월_계_60~69세,"155,775","33,526","43,790","23,831","22,365","32,263"
2021년12월_계_70~79세,"63,024","14,861","17,133","8,881","7,904","14,245"
2021년12월_계_80~89세,"24,119","5,467","5,993","2,645","3,224","6,790"
2021년12월_계_90~99세,"3,276",657,721,359,473,"1,066"
2021년12월_계_100세 이상,67,11,13,8,17,18
2021년12월_남_총인구수,"576,217","107,736","160,055","80,417","113,265","114,744"
2021년12월_남_연령구간인구수,"576,217","107,736","160,055","80,417","113,265","114,744"
2021년12월_남_0~9세,"47,302","7,858","11,593","6,981","12,400","8,470"
2021년12월_남_10~19세,"57,743","10,332","15,408","8,295","12,289","11,419"
2021년12월_남_20~29세,"77,588","14,133","24,203","9,374","15,040","14,838"
2021년12월_남_30~39세,"77,145","13,186","21,901","11,721","17,110","13,227"
2021년12월_남_40~49세,"94,084","16,910","24,419","14,262","20,001","18,492"
2021년12월_남_50~59세,"105,062","20,049","30,324","12,480","19,842","22,367"
2021년12월_남_60~69세,"78,393","16,319","21,792","11,802","11,777","16,703"
2021년12월_남_70~79세,"30,110","6,885","8,144","4,539","3,726","6,816"
2021년12월_남_80~89세,"8,218","1,950","2,141",908,"1,006","2,213"
2021년12월_남_90~99세,568,113,130,54,73,198
2021년12월_남_100세 이상,4,1,0,1,1,1
2021년12월_여_총인구수,"545,375","105,147","153,764","73,679","105,470","107,315"
2021년12월_여_연령구간인구수,"545,375","105,147","153,764","73,679","105,470","107,315"
2021년12월_여_0~9세,"44,716","7,407","10,947","6,730","11,639","7,993"
2021년12월_여_10~19세,"52,247","9,123","13,737","7,359","11,494","10,534"
2021년12월_여_20~29세,"59,834","11,054","19,165","7,350","11,173","11,092"
2021년12월_여_30~39세,"67,746","11,919","18,945","9,615","15,700","11,567"
2021년12월_여_40~49세,"89,870","16,187","25,185","11,910","19,008","17,580"
2021년12월_여_50~59세,"101,994","20,203","30,342","12,295","19,056","20,098"
2021년12월_여_60~69세,"77,382","17,207","21,998","12,029","10,588","15,560"
2021년12월_여_70~79세,"32,914","7,976","8,989","4,342","4,178","7,429"
2021년12월_여_80~89세,"15,901","3,517","3,852","1,737","2,218","4,577"
2021년12월_여_90~99세,"2,708",544,591,305,400,868
2021년12월_여_100세 이상,63,10,13,7,16,17
