카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년03월_계_총인구수,"490,352","24,383","15,333","29,848","29,086","16,902","35,200","33,664","15,192","25,970","18,166","22,648","18,100","23,497","22,596","21,805","15,540","17,360","23,639","23,079","31,040","27,304"
2021년03월_계_연령구간인구수,"490,352","24,383","15,333","29,848","29,086","16,902","35,200","33,664","15,192","25,970","18,166","22,648","18,100","23,497","22,596","21,805","15,540","17,360","23,639","23,079","31,040","27,304"
2021년03월_계_0~9세,"21,474","1,162","1,237","1,993","1,152",664,"1,250","2,056",407,"1,114",955,654,574,787,782,349,"1,187",642,685,864,"1,713","1,247"
2021년03월_계_10~19세,"28,243","1,469","1,131","2,874","1,367",869,"1,702","2,640",573,"1,548",808,832,851,"1,058","1,119",497,"1,421",833,996,"1,501","2,291","1,863"
2021년03월_계_20~29세,"108,851","4,709","1,837","3,919","7,473","5,519","11,346","5,504","4,477","5,815","3,929","6,388","4,399","5,709","5,787","8,365","1,739","4,035","6,185","2,792","4,818","4,106"
2021년03월_계_30~39세,"85,950","4,024","2,555","3,890","5,957","3,507","6,771","5,292","2,957","4,950","3,628","4,578","3,204","4,657","3,923","5,627","1,847","3,225","4,770","2,630","4,272","3,686"
2021년03월_계_40~49세,"67,362","3,365","2,485","4,990","3,652","1,997","4,005","5,197","1,726","3,522","2,277","2,745","2,265","3,212","2,920","2,481","2,926","2,260","3,545","3,248","4,656","3,888"
2021년03월_계_50~59세,"67,516","3,375","2,302","4,773","3,454","1,648","3,880","4,858","1,798","3,502","2,528","2,789","2,416","3,108","3,192","1,762","2,542","2,391","3,206","4,136","4,995","4,861"
2021년03월_계_60~69세,"59,281","3,301","1,966","3,890","3,174","1,353","3,319","4,305","1,684","2,945","2,264","2,536","2,229","2,762","2,615","1,467","2,112","2,185","2,331","4,084","4,652","4,107"
2021년03월_계_70~79세,"36,688","2,139","1,204","2,455","2,073",945,"2,140","2,737","1,103","1,840","1,306","1,519","1,527","1,550","1,621",915,"1,258","1,240","1,328","2,609","2,653","2,526"
2021년03월_계_80~89세,"13,258",734,545,939,691,361,702,963,425,655,408,549,560,571,572,303,454,490,530,"1,041",860,905
2021년03월_계_90~99세,"1,625",100,68,120,86,35,83,107,38,76,62,53,71,77,61,33,50,56,62,167,113,107
2021년03월_계_100세 이상,104,5,3,5,7,4,2,5,4,3,1,5,4,6,4,6,4,3,1,7,17,8
2021년03월_남_총인구수,"246,097","11,971","7,514","14,415","14,156","8,501","16,847","16,435","7,271","12,646","8,749","11,648","9,083","12,942","11,342","11,479","7,629","8,775","14,251","11,568","15,171","13,704"
2021년03월_남_연령구간인구수,"246,097","11,971","7,514","14,415","14,156","8,501","16,847","16,435","7,271","12,646","8,749","11,648","9,083","12,942","11,342","11,479","7,629","8,775","14,251","11,568","15,171","13,704"
2021년03월_남_0~9세,"11,001",593,655,"1,032",596,345,609,"1,088",226,566,493,339,269,403,417,171,598,322,351,457,849,622
2021년03월_남_10~19세,"14,443",776,585,"1,502",677,422,827,"1,339",277,809,374,439,431,537,600,246,713,425,510,799,"1,147","1,008"
2021년03월_남_20~29세,"52,967","2,265",951,"1,954","3,406","2,622","4,935","2,602","1,873","2,758","1,768","3,216","2,223","3,190","2,742","4,092",902,"1,823","3,656","1,494","2,374","2,121"
2021년03월_남_30~39세,"47,490","2,165","1,280","1,940","3,159","1,953","3,603","2,734","1,603","2,558","1,943","2,680","1,840","2,891","2,224","3,266",906,"1,795","3,225","1,496","2,209","2,020"
2021년03월_남_40~49세,"35,974","1,745","1,269","2,480","1,912","1,050","2,077","2,681",936,"1,786","1,158","1,506","1,224","1,938","1,510","1,424","1,478","1,201","2,395","1,755","2,402","2,047"
2021년03월_남_50~59세,"33,969","1,591","1,131","2,325","1,690",860,"1,943","2,395",903,"1,714","1,167","1,343","1,199","1,659","1,602",995,"1,284","1,285","2,027","2,080","2,407","2,369"
2021년03월_남_60~69세,"27,581","1,543",889,"1,749","1,471",651,"1,537","1,945",778,"1,343","1,020","1,156",982,"1,327","1,234",705,971,"1,076","1,216","1,887","2,136","1,965"
2021년03월_남_70~79세,"16,774",975,530,"1,059",919,440,992,"1,228",492,807,609,716,687,741,738,438,585,607,609,"1,153","1,272","1,177"
2021년03월_남_80~89세,"5,515",297,205,343,305,146,303,408,174,280,205,237,216,246,262,136,179,222,248,405,343,355
2021년03월_남_90~99세,363,21,18,30,19,11,20,13,8,25,12,15,11,10,12,5,12,19,14,41,27,20
2021년03월_남_100세 이상,20,0,1,1,2,1,1,2,1,0,0,1,1,0,1,1,1,0,0,1,5,0
2021년03월_여_총인구수,"244,255","12,412","7,819","15,433","14,930","8,401","18,353","17,229","7,921","13,324","9,417","11,000","9,017","10,555","11,254","10,326","7,911","8,585","9,388","11,511","15,869","13,600"
2021년03월_여_연령구간인구수,"244,255","12,412","7,819","15,433","14,930","8,401","18,353","17,229","7,921","13,324","9,417","11,000","9,017","10,555","11,254","10,326","7,911","8,585","9,388","11,511","15,869","13,600"
2021년03월_여_0~9세,"10,473",569,582,961,556,319,641,968,181,548,462,315,305,384,365,178,589,320,334,407,864,625
2021년03월_여_10~19세,"13,800",693,546,"1,372",690,447,875,"1,301",296,739,434,393,420,521,519,251,708,408,486,702,"1,144",855
2021년03월_여_20~29세,"55,884","2,444",886,"1,965","4,067","2,897","6,411","2,902","2,604","3,057","2,161","3,172","2,176","2,519","3,045","4,273",837,"2,212","2,529","1,298","2,444","1,985"
2021년03월_여_30~39세,"38,460","1,859","1,275","1,950","2,798","1,554","3,168","2,558","1,354","2,392","1,685","1,898","1,364","1,766","1,699","2,361",941,"1,430","1,545","1,134","2,063","1,666"
2021년03월_여_40~49세,"31,388","1,620","1,216","2,510","1,740",947,"1,928","2,516",790,"1,736","1,119","1,239","1,041","1,274","1,410","1,057","1,448","1,059","1,150","1,493","2,254","1,841"
2021년03월_여_50~59세,"33,547","1,784","1,171","2,448","1,764",788,"1,937","2,463",895,"1,788","1,361","1,446","1,217","1,449","1,590",767,"1,258","1,106","1,179","2,056","2,588","2,492"
2021년03월_여_60~69세,"31,700","1,758","1,077","2,141","1,703",702,"1,782","2,360",906,"1,602","1,244","1,380","1,247","1,435","1,381",762,"1,141","1,109","1,115","2,197","2,516","2,142"
2021년03월_여_70~79세,"19,914","1,164",674,"1,396","1,154",505,"1,148","1,509",611,"1,033",697,803,840,809,883,477,673,633,719,"1,456","1,381","1,349"
2021년03월_여_80~89세,"7,743",437,340,596,386,215,399,555,251,375,203,312,344,325,310,167,275,268,282,636,517,550
2021년03월_여_90~99세,"1,262",79,50,90,67,24,63,94,30,51,50,38,60,67,49,28,38,37,48,126,86,87
2021년03월_여_100세 이상,84,5,2,4,5,3,1,3,3,3,1,4,3,6,3,5,3,3,1,6,12,8
