카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년11월_계_총인구수,"103,301","7,265","3,196","2,937","5,389","4,255","4,642","4,593","5,166","2,863","3,156","4,586","8,263","5,374","7,858","19,453","14,305"
2021년11월_계_연령구간인구수,"103,301","7,265","3,196","2,937","5,389","4,255","4,642","4,593","5,166","2,863","3,156","4,586","8,263","5,374","7,858","19,453","14,305"
2021년11월_계_0~9세,"5,350",237,93,64,134,139,176,116,150,58,71,187,461,310,284,"1,298","1,572"
2021년11월_계_10~19세,"7,950",376,119,123,264,196,357,214,285,160,89,311,675,565,538,"2,001","1,677"
2021년11월_계_20~29세,"10,913",440,196,179,312,321,446,264,340,162,146,587,915,732,826,"3,277","1,770"
2021년11월_계_30~39세,"8,991",431,188,179,270,308,340,239,327,136,158,373,829,517,617,"2,252","1,827"
2021년11월_계_40~49세,"12,881",725,245,211,441,457,586,397,503,233,287,561,"1,139",751,990,"2,938","2,417"
2021년11월_계_50~59세,"17,883","1,230",586,451,973,938,915,766,908,498,576,792,"1,383",875,"1,487","3,264","2,241"
2021년11월_계_60~69세,"19,486","1,872",763,706,"1,414","1,066",924,"1,194","1,204",698,892,802,"1,479",881,"1,579","2,490","1,522"
2021년11월_계_70~79세,"11,404","1,127",534,524,883,514,500,723,793,467,550,586,841,459,948,"1,220",735
2021년11월_계_80~89세,"7,279",731,406,421,599,267,340,577,565,393,326,332,477,246,517,625,457
2021년11월_계_90~99세,"1,123",92,64,76,98,48,56,101,86,55,57,55,59,36,71,86,83
2021년11월_계_100세 이상,41,4,2,3,1,1,2,2,5,3,4,0,5,2,1,2,4
2021년11월_남_총인구수,"51,580","3,654","1,626","1,517","2,762","2,221","2,411","2,384","2,668","1,431","1,406","2,303","4,052","2,699","3,947","9,466","7,033"
2021년11월_남_연령구간인구수,"51,580","3,654","1,626","1,517","2,762","2,221","2,411","2,384","2,668","1,431","1,406","2,303","4,052","2,699","3,947","9,466","7,033"
2021년11월_남_0~9세,"2,781",136,39,32,69,85,88,68,78,31,34,102,251,163,148,665,792
2021년11월_남_10~19세,"4,102",186,79,60,140,115,174,120,145,78,47,170,332,283,277,"1,017",879
2021년11월_남_20~29세,"5,939",264,117,113,182,187,279,162,197,85,90,327,498,366,486,"1,644",942
2021년11월_남_30~39세,"4,846",270,100,107,154,176,189,137,196,84,81,202,454,285,347,"1,185",879
2021년11월_남_40~49세,"6,792",429,156,134,264,236,327,249,310,141,125,309,598,383,547,"1,419","1,165"
2021년11월_남_50~59세,"9,231",606,326,263,580,508,495,411,522,274,245,407,694,457,757,"1,578","1,108"
2021년11월_남_60~69세,"9,748",952,410,380,708,543,483,647,620,365,399,397,685,454,774,"1,160",771
2021년11월_남_70~79세,"5,264",525,253,249,443,249,248,350,388,209,244,252,363,226,395,541,329
2021년11월_남_80~89세,"2,573",260,125,160,195,108,115,214,184,150,124,124,163,78,192,235,146
2021년11월_남_90~99세,295,25,21,19,26,14,13,26,28,13,17,13,13,3,24,20,20
2021년11월_남_100세 이상,9,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2
2021년11월_여_총인구수,"51,721","3,611","1,570","1,420","2,627","2,034","2,231","2,209","2,498","1,432","1,750","2,283","4,211","2,675","3,911","9,987","7,272"
2021년11월_여_연령구간인구수,"51,721","3,611","1,570","1,420","2,627","2,034","2,231","2,209","2,498","1,432","1,750","2,283","4,211","2,675","3,911","9,987","7,272"
2021년11월_여_0~9세,"2,569",101,54,32,65,54,88,48,72,27,37,85,210,147,136,633,780
2021년11월_여_10~19세,"3,848",190,40,63,124,81,183,94,140,82,42,141,343,282,261,984,798
2021년11월_여_20~29세,"4,974",176,79,66,130,134,167,102,143,77,56,260,417,366,340,"1,633",828
2021년11월_여_30~39세,"4,145",161,88,72,116,132,151,102,131,52,77,171,375,232,270,"1,067",948
2021년11월_여_40~49세,"6,089",296,89,77,177,221,259,148,193,92,162,252,541,368,443,"1,519","1,252"
2021년11월_여_50~59세,"8,652",624,260,188,393,430,420,355,386,224,331,385,689,418,730,"1,686","1,133"
2021년11월_여_60~69세,"9,738",920,353,326,706,523,441,547,584,333,493,405,794,427,805,"1,330",751
2021년11월_여_70~79세,"6,140",602,281,275,440,265,252,373,405,258,306,334,478,233,553,679,406
2021년11월_여_80~89세,"4,706",471,281,261,404,159,225,363,381,243,202,208,314,168,325,390,311
2021년11월_여_90~99세,828,67,43,57,72,34,43,75,58,42,40,42,46,33,47,66,63
2021년11월_여_100세 이상,32,3,2,3,0,1,2,2,5,2,4,0,4,1,1,0,2
