,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년06월_계_총인구수,"724,183","61,421","92,857","104,334","14,942","23,880","53,835","29,406","19,761","9,117","4,178","57,499","36,770","18,764","4,526","80,911","35,906","76,076"
2021년06월_계_연령구간인구수,"724,183","61,421","92,857","104,334","14,942","23,880","53,835","29,406","19,761","9,117","4,178","57,499","36,770","18,764","4,526","80,911","35,906","76,076"
2021년06월_계_0~9세,"64,095","3,830","7,934","8,482","1,617",968,"3,832","1,670","1,194",336,196,"6,308","3,206",663,156,"10,484","4,683","8,536"
2021년06월_계_10~19세,"78,097","7,278","11,401","11,518","1,413","1,810","6,568","2,534","1,880",667,238,"7,201","4,894","1,156",189,"8,503","3,824","7,023"
2021년06월_계_20~29세,"85,889","7,709","10,628","12,215","1,624","3,201","6,795","3,972","2,545",815,406,"6,198","4,609","2,466",511,"9,322","3,739","9,134"
2021년06월_계_30~39세,"89,558","5,855","9,980","12,132","2,153","2,321","5,396","3,277","1,794",756,414,"7,543","4,347","2,042",491,"13,353","5,480","12,224"
2021년06월_계_40~49세,"131,327","10,741","17,157","19,677","2,561","3,208","10,041","4,199","3,209","1,025",499,"11,962","7,267","2,197",469,"16,043","7,340","13,732"
2021년06월_계_50~59세,"119,530","11,095","15,315","17,774","2,319","5,059","9,832","5,639","3,648","1,783",771,"8,405","5,989","3,877",888,"10,659","5,202","11,275"
2021년06월_계_60~69세,"87,831","7,877","11,491","12,468","1,963","4,222","6,029","4,754","2,848","1,967",904,"5,321","3,534","3,713","1,083","7,388","3,559","8,710"
2021년06월_계_70~79세,"45,345","4,713","5,983","6,889",831,"1,982","3,523","2,221","1,706","1,113",476,"3,131","1,930","1,644",480,"3,544","1,424","3,755"
2021년06월_계_80~89세,"19,626","2,028","2,628","2,794",390,969,"1,617","1,017",808,522,234,"1,224",876,875,232,"1,402",562,"1,448"
2021년06월_계_90~99세,"2,744",282,324,372,70,134,197,114,109,126,37,195,116,126,24,205,90,223
2021년06월_계_100세 이상,141,13,16,13,1,6,5,9,20,7,3,11,2,5,3,8,3,16
2021년06월_남_총인구수,"360,473","30,329","46,837","52,219","7,499","12,419","27,122","14,674","9,891","4,800","2,161","28,020","18,103","9,581","2,569","39,752","17,506","36,991"
2021년06월_남_연령구간인구수,"360,473","30,329","46,837","52,219","7,499","12,419","27,122","14,674","9,891","4,800","2,161","28,020","18,103","9,581","2,569","39,752","17,506","36,991"
2021년06월_남_0~9세,"33,021","2,004","4,125","4,395",836,543,"2,002",827,617,185,101,"3,269","1,635",335,80,"5,345","2,394","4,328"
2021년06월_남_10~19세,"40,042","3,726","5,888","6,007",695,916,"3,378","1,319","1,010",382,113,"3,700","2,522",605,96,"4,252","1,968","3,465"
2021년06월_남_20~29세,"44,768","4,105","5,638","6,436",840,"1,779","3,637","2,134","1,287",479,227,"3,197","2,301","1,374",299,"4,629","1,884","4,522"
2021년06월_남_30~39세,"44,232","2,909","4,952","6,047","1,079","1,280","2,747","1,742",929,411,215,"3,549","2,145","1,168",299,"6,362","2,495","5,903"
2021년06월_남_40~49세,"65,754","5,069","8,600","9,958","1,319","1,712","5,012","2,111","1,617",565,265,"5,771","3,542","1,165",300,"8,203","3,686","6,859"
2021년06월_남_50~59세,"61,049","5,613","8,125","9,200","1,187","2,673","5,208","2,716","1,902",986,418,"4,256","3,069","1,955",509,"5,283","2,546","5,403"
2021년06월_남_60~69세,"42,802","3,778","5,746","5,994",986,"2,228","2,953","2,396","1,379","1,028",476,"2,404","1,688","1,874",642,"3,427","1,648","4,155"
2021년06월_남_70~79세,"20,720","2,216","2,677","3,037",391,901,"1,529","1,032",768,550,241,"1,353",851,768,244,"1,702",657,"1,803"
2021년06월_남_80~89세,"7,420",826,997,"1,052",152,360,609,366,342,194,96,474,322,309,94,513,208,506
2021년06월_남_90~99세,633,79,87,90,13,27,46,29,35,18,6,45,28,27,6,35,19,43
2021년06월_남_100세 이상,32,4,2,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021년06월_여_총인구수,"363,710","31,092","46,020","52,115","7,443","11,461","26,713","14,732","9,870","4,317","2,017","29,479","18,667","9,183","1,957","41,159","18,400","39,085"
2021년06월_여_연령구간인구수,"363,710","31,092","46,020","52,115","7,443","11,461","26,713","14,732","9,870","4,317","2,017","29,479","18,667","9,183","1,957","41,159","18,400","39,085"
2021년06월_여_0~9세,"31,074","1,826","3,809","4,087",781,425,"1,830",843,577,151,95,"3,039","1,571",328,76,"5,139","2,289","4,208"
2021년06월_여_10~19세,"38,055","3,552","5,513","5,511",718,894,"3,190","1,215",870,285,125,"3,501","2,372",551,93,"4,251","1,856","3,558"
2021년06월_여_20~29세,"41,121","3,604","4,990","5,779",784,"1,422","3,158","1,838","1,258",336,179,"3,001","2,308","1,092",212,"4,693","1,855","4,612"
2021년06월_여_30~39세,"45,326","2,946","5,028","6,085","1,074","1,041","2,649","1,535",865,345,199,"3,994","2,202",874,192,"6,991","2,985","6,321"
2021년06월_여_40~49세,"65,573","5,672","8,557","9,719","1,242","1,496","5,029","2,088","1,592",460,234,"6,191","3,725","1,032",169,"7,840","3,654","6,873"
2021년06월_여_50~59세,"58,481","5,482","7,190","8,574","1,132","2,386","4,624","2,923","1,746",797,353,"4,149","2,920","1,922",379,"5,376","2,656","5,872"
2021년06월_여_60~69세,"45,029","4,099","5,745","6,474",977,"1,994","3,076","2,358","1,469",939,428,"2,917","1,846","1,839",441,"3,961","1,911","4,555"
2021년06월_여_70~79세,"24,625","2,497","3,306","3,852",440,"1,081","1,994","1,189",938,563,235,"1,778","1,079",876,236,"1,842",767,"1,952"
2021년06월_여_80~89세,"12,206","1,202","1,631","1,742",238,609,"1,008",651,466,328,138,750,554,566,138,889,354,942
2021년06월_여_90~99세,"2,111",203,237,282,57,107,151,85,74,108,31,150,88,99,18,170,71,180
2021년06월_여_100세 이상,109,9,14,10,0,6,4,7,15,5,0,9,2,4,3,7,2,12
