카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년02월_계_총인구수,"139,776","6,292","5,256","13,310","3,997","3,341","5,918","2,859","4,498","15,863","43,408","30,971","4,063"
2021년02월_계_연령구간인구수,"139,776","6,292","5,256","13,310","3,997","3,341","5,918","2,859","4,498","15,863","43,408","30,971","4,063"
2021년02월_계_0~9세,"11,771",240,248,825,135,95,195,81,188,928,"7,019","1,734",83
2021년02월_계_10~19세,"12,669",341,352,"1,121",265,198,299,142,334,"1,240","4,845","3,415",117
2021년02월_계_20~29세,"18,874",646,532,"1,603",430,368,627,291,497,"2,078","3,931","7,595",276
2021년02월_계_30~39세,"21,191",597,533,"1,606",375,288,641,250,454,"2,318","8,822","5,028",279
2021년02월_계_40~49세,"24,634",826,816,"2,035",547,495,776,402,611,"2,556","9,454","5,632",484
2021년02월_계_50~59세,"20,577","1,327",882,"2,319",740,639,"1,117",516,809,"2,808","4,576","3,939",905
2021년02월_계_60~69세,"16,155","1,303",850,"2,009",734,613,"1,106",559,804,"2,379","2,859","1,890","1,049"
2021년02월_계_70~79세,"9,367",643,665,"1,206",529,442,723,406,532,"1,019","1,381","1,216",605
2021년02월_계_80~89세,"3,821",307,316,501,204,166,347,175,223,435,451,479,217
2021년02월_계_90~99세,634,58,54,79,34,33,73,27,34,89,68,42,43
2021년02월_계_100세 이상,83,4,8,6,4,4,14,10,12,13,2,1,5
2021년02월_남_총인구수,"72,561","3,406","2,663","6,769","2,041","1,727","3,115","1,481","2,222","8,798","21,869","16,200","2,270"
2021년02월_남_연령구간인구수,"72,561","3,406","2,663","6,769","2,041","1,727","3,115","1,481","2,222","8,798","21,869","16,200","2,270"
2021년02월_남_0~9세,"6,079",127,146,411,63,59,92,53,91,477,"3,620",902,38
2021년02월_남_10~19세,"6,591",166,182,582,149,94,157,69,163,656,"2,502","1,816",55
2021년02월_남_20~29세,"9,577",377,292,855,243,208,342,165,267,"1,184","1,944","3,515",185
2021년02월_남_30~39세,"11,514",354,292,852,206,171,371,154,261,"1,409","4,272","2,996",176
2021년02월_남_40~49세,"13,444",497,442,"1,089",306,272,454,218,343,"1,506","4,995","3,004",318
2021년02월_남_50~59세,"11,351",772,476,"1,237",389,364,656,289,418,"1,582","2,371","2,261",536
2021년02월_남_60~69세,"8,082",680,409,"1,005",353,298,573,277,366,"1,292","1,303",965,561
2021년02월_남_70~79세,"4,350",303,290,537,242,203,332,171,230,516,683,530,313
2021년02월_남_80~89세,"1,388",114,117,181,77,52,116,70,67,152,163,198,81
2021년02월_남_90~99세,158,15,16,17,12,6,18,12,9,19,15,12,7
2021년02월_남_100세 이상,27,1,1,3,1,0,4,3,7,5,1,1,0
2021년02월_여_총인구수,"67,215","2,886","2,593","6,541","1,956","1,614","2,803","1,378","2,276","7,065","21,539","14,771","1,793"
2021년02월_여_연령구간인구수,"67,215","2,886","2,593","6,541","1,956","1,614","2,803","1,378","2,276","7,065","21,539","14,771","1,793"
2021년02월_여_0~9세,"5,692",113,102,414,72,36,103,28,97,451,"3,399",832,45
2021년02월_여_10~19세,"6,078",175,170,539,116,104,142,73,171,584,"2,343","1,599",62
2021년02월_여_20~29세,"9,297",269,240,748,187,160,285,126,230,894,"1,987","4,080",91
2021년02월_여_30~39세,"9,677",243,241,754,169,117,270,96,193,909,"4,550","2,032",103
2021년02월_여_40~49세,"11,190",329,374,946,241,223,322,184,268,"1,050","4,459","2,628",166
2021년02월_여_50~59세,"9,226",555,406,"1,082",351,275,461,227,391,"1,226","2,205","1,678",369
2021년02월_여_60~69세,"8,073",623,441,"1,004",381,315,533,282,438,"1,087","1,556",925,488
2021년02월_여_70~79세,"5,017",340,375,669,287,239,391,235,302,503,698,686,292
2021년02월_여_80~89세,"2,433",193,199,320,127,114,231,105,156,283,288,281,136
2021년02월_여_90~99세,476,43,38,62,22,27,55,15,25,70,53,30,36
2021년02월_여_100세 이상,56,3,7,3,3,4,10,7,5,8,1,0,5
