카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년05월_계_총인구수,"30,421","10,883","2,984","3,592","3,451","3,424","3,134","2,302",263,388
2021년05월_계_연령구간인구수,"30,421","10,883","2,984","3,592","3,451","3,424","3,134","2,302",263,388
2021년05월_계_0~9세,"1,622",867,105,181,117,111,104,98,14,25
2021년05월_계_10~19세,"2,192","1,157",162,246,156,187,111,124,7,42
2021년05월_계_20~29세,"2,518","1,257",196,252,214,221,210,133,15,20
2021년05월_계_30~39세,"2,167","1,110",167,244,185,167,144,115,14,21
2021년05월_계_40~49세,"3,541","1,605",304,385,351,311,231,271,30,53
2021년05월_계_50~59세,"4,967","1,696",517,562,599,602,493,384,47,67
2021년05월_계_60~69세,"5,408","1,525",591,745,720,658,650,415,43,61
2021년05월_계_70~79세,"4,615","1,052",534,534,635,661,664,420,50,65
2021년05월_계_80~89세,"2,992",540,362,386,412,434,472,316,41,29
2021년05월_계_90~99세,386,71,45,54,61,72,53,23,2,5
2021년05월_계_100세 이상,13,3,1,3,1,0,2,3,0,0
2021년05월_남_총인구수,"15,089","5,359","1,516","1,755","1,769","1,646","1,509","1,194",140,201
2021년05월_남_연령구간인구수,"15,089","5,359","1,516","1,755","1,769","1,646","1,509","1,194",140,201
2021년05월_남_0~9세,789,415,55,94,65,53,46,43,7,11
2021년05월_남_10~19세,"1,110",589,78,124,83,89,55,63,7,22
2021년05월_남_20~29세,"1,483",729,125,139,125,121,133,89,6,16
2021년05월_남_30~39세,"1,167",551,100,135,117,95,82,67,9,11
2021년05월_남_40~49세,"2,064",825,185,233,236,191,157,179,22,36
2021년05월_남_50~59세,"2,792",869,298,310,353,335,294,257,30,46
2021년05월_남_60~69세,"2,742",736,316,369,367,346,319,235,26,28
2021년05월_남_70~79세,"1,991",465,238,223,277,285,281,174,24,24
2021년05월_남_80~89세,879,164,111,121,132,122,131,84,8,6
2021년05월_남_90~99세,72,16,10,7,14,9,11,3,1,1
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"15,332","5,524","1,468","1,837","1,682","1,778","1,625","1,108",123,187
2021년05월_여_연령구간인구수,"15,332","5,524","1,468","1,837","1,682","1,778","1,625","1,108",123,187
2021년05월_여_0~9세,833,452,50,87,52,58,58,55,7,14
2021년05월_여_10~19세,"1,082",568,84,122,73,98,56,61,0,20
2021년05월_여_20~29세,"1,035",528,71,113,89,100,77,44,9,4
2021년05월_여_30~39세,"1,000",559,67,109,68,72,62,48,5,10
2021년05월_여_40~49세,"1,477",780,119,152,115,120,74,92,8,17
2021년05월_여_50~59세,"2,175",827,219,252,246,267,199,127,17,21
2021년05월_여_60~69세,"2,666",789,275,376,353,312,331,180,17,33
2021년05월_여_70~79세,"2,624",587,296,311,358,376,383,246,26,41
2021년05월_여_80~89세,"2,113",376,251,265,280,312,341,232,33,23
2021년05월_여_90~99세,314,55,35,47,47,63,42,20,1,4
2021년05월_여_100세 이상,13,3,1,3,1,0,2,3,0,0
