카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년04월_계_총인구수,"1,471,650","225,094","239,361","481,304","350,439","175,452"
2020년04월_계_연령구간인구수,"1,471,650","225,094","239,361","481,304","350,439","175,452"
2020년04월_계_0~9세,"119,414","15,810","16,161","39,847","36,106","11,490"
2020년04월_계_10~19세,"150,689","20,593","22,801","51,203","38,820","17,272"
2020년04월_계_20~29세,"212,490","30,455","31,463","73,810","52,212","24,550"
2020년04월_계_30~39세,"198,204","26,755","27,288","67,641","56,692","19,828"
2020년04월_계_40~49세,"241,035","34,438","37,928","79,964","60,730","27,975"
2020년04월_계_50~59세,"242,915","37,345","40,288","78,062","53,712","33,508"
2020년04월_계_60~69세,"172,219","31,636","32,823","52,735","31,780","23,245"
2020년04월_계_70~79세,"89,106","18,763","20,295","25,232","13,072","11,744"
2020년04월_계_80~89세,"39,602","8,119","8,985","11,108","6,239","5,151"
2020년04월_계_90~99세,"5,635","1,090","1,252","1,617","1,021",655
2020년04월_계_100세 이상,341,90,77,85,55,34
2020년04월_남_총인구수,"734,902","113,487","118,212","237,012","176,924","89,267"
2020년04월_남_연령구간인구수,"734,902","113,487","118,212","237,012","176,924","89,267"
2020년04월_남_0~9세,"61,364","8,163","8,263","20,516","18,597","5,825"
2020년04월_남_10~19세,"78,043","10,641","11,760","26,463","20,176","9,003"
2020년04월_남_20~29세,"111,701","16,208","16,155","37,671","28,028","13,639"
2020년04월_남_30~39세,"102,958","14,363","14,074","34,445","29,317","10,759"
2020년04월_남_40~49세,"120,240","18,087","19,258","38,732","29,924","14,239"
2020년04월_남_50~59세,"120,866","19,061","20,249","37,773","26,681","17,102"
2020년04월_남_60~69세,"83,844","15,303","15,583","25,532","15,931","11,495"
2020년04월_남_70~79세,"40,393","8,437","9,154","11,561","5,998","5,243"
2020년04월_남_80~89세,"14,118","2,928","3,402","3,925","2,037","1,826"
2020년04월_남_90~99세,"1,296",271,296,378,222,129
2020년04월_남_100세 이상,79,25,18,16,13,7
2020년04월_여_총인구수,"736,748","111,607","121,149","244,292","173,515","86,185"
2020년04월_여_연령구간인구수,"736,748","111,607","121,149","244,292","173,515","86,185"
2020년04월_여_0~9세,"58,050","7,647","7,898","19,331","17,509","5,665"
2020년04월_여_10~19세,"72,646","9,952","11,041","24,740","18,644","8,269"
2020년04월_여_20~29세,"100,789","14,247","15,308","36,139","24,184","10,911"
2020년04월_여_30~39세,"95,246","12,392","13,214","33,196","27,375","9,069"
2020년04월_여_40~49세,"120,795","16,351","18,670","41,232","30,806","13,736"
2020년04월_여_50~59세,"122,049","18,284","20,039","40,289","27,031","16,406"
2020년04월_여_60~69세,"88,375","16,333","17,240","27,203","15,849","11,750"
2020년04월_여_70~79세,"48,713","10,326","11,141","13,671","7,074","6,501"
2020년04월_여_80~89세,"25,484","5,191","5,583","7,183","4,202","3,325"
2020년04월_여_90~99세,"4,339",819,956,"1,239",799,526
2020년04월_여_100세 이상,262,65,59,69,42,27
