카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년12월_계_총인구수,"46,180","15,164","2,750","3,108","1,202","3,590","1,890","2,647","2,568","1,816","2,414","4,677","4,354"
2021년12월_계_연령구간인구수,"46,180","15,164","2,750","3,108","1,202","3,590","1,890","2,647","2,568","1,816","2,414","4,677","4,354"
2021년12월_계_0~9세,"2,177","1,117",125,89,25,118,46,49,76,57,86,208,181
2021년12월_계_10~19세,"2,985","1,264",106,160,46,233,102,96,111,76,126,319,346
2021년12월_계_20~29세,"4,543","1,714",213,257,84,284,172,490,202,142,167,437,381
2021년12월_계_30~39세,"3,534","1,572",188,206,66,231,104,136,162,106,163,309,291
2021년12월_계_40~49세,"5,118","2,033",298,292,98,327,174,204,245,175,230,544,498
2021년12월_계_50~59세,"8,192","2,450",499,589,242,681,381,420,446,321,446,900,817
2021년12월_계_60~69세,"8,766","2,333",592,710,288,749,417,508,529,408,527,922,783
2021년12월_계_70~79세,"6,148","1,595",421,489,179,540,274,393,422,318,399,554,564
2021년12월_계_80~89세,"4,077",928,265,275,148,384,191,301,314,184,239,418,430
2021년12월_계_90~99세,613,150,43,39,24,42,27,48,56,27,29,65,63
2021년12월_계_100세 이상,27,8,0,2,2,1,2,2,5,2,2,1,0
2021년12월_남_총인구수,"23,428","7,645","1,410","1,576",606,"1,815",988,"1,459","1,306",913,"1,216","2,349","2,145"
2021년12월_남_연령구간인구수,"23,428","7,645","1,410","1,576",606,"1,815",988,"1,459","1,306",913,"1,216","2,349","2,145"
2021년12월_남_0~9세,"1,062",531,60,39,9,66,22,23,35,33,40,113,91
2021년12월_남_10~19세,"1,543",675,57,81,21,105,65,48,57,35,64,177,158
2021년12월_남_20~29세,"2,688",979,113,150,45,171,97,404,112,77,91,236,213
2021년12월_남_30~39세,"1,822",794,105,112,30,120,53,78,96,48,76,166,144
2021년12월_남_40~49세,"2,912","1,100",192,167,58,202,99,118,159,110,132,295,280
2021년12월_남_50~59세,"4,548","1,305",290,321,140,373,217,241,264,177,258,487,475
2021년12월_남_60~69세,"4,590","1,187",304,378,166,401,244,262,262,208,275,490,413
2021년12월_남_70~79세,"2,777",710,175,233,80,235,124,177,202,150,200,250,241
2021년12월_남_80~89세,"1,339",330,105,84,51,131,62,96,105,65,75,116,119
2021년12월_남_90~99세,145,33,9,11,5,11,5,12,14,10,5,19,11
2021년12월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"22,752","7,519","1,340","1,532",596,"1,775",902,"1,188","1,262",903,"1,198","2,328","2,209"
2021년12월_여_연령구간인구수,"22,752","7,519","1,340","1,532",596,"1,775",902,"1,188","1,262",903,"1,198","2,328","2,209"
2021년12월_여_0~9세,"1,115",586,65,50,16,52,24,26,41,24,46,95,90
2021년12월_여_10~19세,"1,442",589,49,79,25,128,37,48,54,41,62,142,188
2021년12월_여_20~29세,"1,855",735,100,107,39,113,75,86,90,65,76,201,168
2021년12월_여_30~39세,"1,712",778,83,94,36,111,51,58,66,58,87,143,147
2021년12월_여_40~49세,"2,206",933,106,125,40,125,75,86,86,65,98,249,218
2021년12월_여_50~59세,"3,644","1,145",209,268,102,308,164,179,182,144,188,413,342
2021년12월_여_60~69세,"4,176","1,146",288,332,122,348,173,246,267,200,252,432,370
2021년12월_여_70~79세,"3,371",885,246,256,99,305,150,216,220,168,199,304,323
2021년12월_여_80~89세,"2,738",598,160,191,97,253,129,205,209,119,164,302,311
2021년12월_여_90~99세,468,117,34,28,19,31,22,36,42,17,24,46,52
2021년12월_여_100세 이상,25,7,0,2,1,1,2,2,5,2,2,1,0
