,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년11월_계_총인구수,"518,372","31,443","35,506","30,060","14,593","21,365","21,951","27,613","29,003","17,172","24,349","17,716","21,040","15,271","24,322","19,931","39,548","21,140","32,021","32,977","41,351"
2021년11월_계_연령구간인구수,"518,372","31,443","35,506","30,060","14,593","21,365","21,951","27,613","29,003","17,172","24,349","17,716","21,040","15,271","24,322","19,931","39,548","21,140","32,021","32,977","41,351"
2021년11월_계_0~9세,"38,300","2,911","3,376","1,583",562,"1,019","1,484","1,453","1,698",791,"1,625","1,259","1,358",566,"1,313","1,473","5,543","1,202","2,667","2,327","4,090"
2021년11월_계_10~19세,"48,705","3,077","4,381","1,787",931,"1,509","2,038","1,999","2,284","1,051","2,441","1,597","1,815",960,"2,182","2,178","3,986","1,836","3,508","3,275","5,870"
2021년11월_계_20~29세,"68,884","4,068","4,253","6,460","2,120","3,015","2,831","3,932","4,174","2,212","3,188","2,491","2,729","2,116","3,305","2,273","3,573","2,800","4,051","4,590","4,703"
2021년11월_계_30~39세,"69,191","4,398","4,272","5,765","1,591","3,015","2,688","3,613","3,993","2,155","2,807","2,158","2,729","1,745","2,743","2,256","7,000","2,258","4,313","4,586","5,106"
2021년11월_계_40~49세,"86,796","5,615","6,597","4,826","2,123","3,181","3,714","4,102","4,507","2,344","4,086","2,833","3,200","1,963","3,532","3,340","7,799","3,220","5,759","5,496","8,559"
2021년11월_계_50~59세,"89,040","4,980","5,719","4,499","2,904","3,712","3,848","5,155","5,192","3,222","4,306","3,136","3,754","2,945","4,785","3,414","4,974","4,249","5,564","5,692","6,990"
2021년11월_계_60~69세,"70,574","3,986","4,368","3,148","2,473","3,268","3,088","4,335","4,306","2,961","3,603","2,607","3,292","2,840","3,809","3,105","4,339","3,360","3,828","4,013","3,845"
2021년11월_계_70~79세,"31,336","1,607","1,766","1,384","1,265","1,774","1,557","2,026","1,895","1,517","1,593","1,165","1,410","1,486","1,635","1,273","1,668","1,447","1,530","1,909","1,429"
2021년11월_계_80~89세,"13,387",673,653,540,542,744,602,883,805,813,601,405,652,561,863,539,569,651,681,945,665
2021년11월_계_90~99세,"2,084",123,113,67,79,125,99,108,142,104,97,64,95,88,149,78,91,114,120,137,91
