,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년05월_계_총인구수,"372,206","20,207","21,316","17,772","20,768","21,961","17,071","25,601","26,220","19,124","19,129","36,612","36,678","48,622","41,125"
2020년05월_계_연령구간인구수,"372,206","20,207","21,316","17,772","20,768","21,961","17,071","25,601","26,220","19,124","19,129","36,612","36,678","48,622","41,125"
2020년05월_계_0~9세,"36,907","1,494","1,589",968,"1,092","1,499","1,106","1,395","2,378","1,522","1,669","3,222","4,912","7,312","6,749"
2020년05월_계_10~19세,"41,539","1,982","2,318","1,142","1,720","1,826","1,343","1,844","2,773","2,090","2,895","5,383","6,304","5,831","4,088"
2020년05월_계_20~29세,"50,869","2,864","3,151","2,660","3,338","3,483","2,339","3,665","3,777","2,827","2,598","5,873","3,694","6,032","4,568"
2020년05월_계_30~39세,"55,242","2,455","2,569","2,398","2,767","3,320","2,379","3,122","4,018","2,640","1,920","4,262","4,597","9,634","9,161"
2020년05월_계_40~49세,"65,987","3,245","3,462","2,380","3,464","3,194","2,353","3,876","4,313","3,151","3,477","6,710","8,554","9,886","7,922"
2020년05월_계_50~59세,"62,748","3,856","4,111","3,604","4,121","4,061","3,176","5,358","4,789","3,602","3,433","6,183","5,358","5,887","5,209"
2020년05월_계_60~69세,"35,528","2,335","2,336","2,764","2,539","2,658","2,381","3,661","2,695","2,026","1,831","3,182","2,077","2,627","2,416"
2020년05월_계_70~79세,"15,074","1,293","1,144","1,232","1,173","1,173","1,145","1,724",905,794,840,"1,181",765,"1,001",704
2020년05월_계_80~89세,"7,034",600,538,531,474,634,699,828,463,417,382,503,350,353,262
2020년05월_계_90~99세,"1,226",80,93,89,76,110,145,119,97,53,83,112,66,59,44
2020년05월_계_100세 이상,52,3,5,4,4,3,5,9,12,2,1,1,1,0,2
2020년05월_남_총인구수,"185,068","10,030","10,542","9,190","11,321","10,745","8,136","13,245","12,884","9,358","9,330","18,043","18,001","23,886","20,357"
2020년05월_남_연령구간인구수,"185,068","10,030","10,542","9,190","11,321","10,745","8,136","13,245","12,884","9,358","9,330","18,043","18,001","23,886","20,357"
2020년05월_남_0~9세,"18,841",777,803,510,573,773,564,719,"1,213",782,836,"1,660","2,506","3,697","3,428"
2020년05월_남_10~19세,"21,322","1,036","1,194",585,943,925,706,951,"1,384","1,073","1,483","2,756","3,240","2,974","2,072"
2020년05월_남_20~29세,"26,370","1,552","1,653","1,483","1,873","1,828","1,152","2,039","1,937","1,457","1,348","2,971","1,875","2,928","2,274"
2020년05월_남_30~39세,"27,275","1,249","1,278","1,376","1,634","1,734","1,245","1,797","2,006","1,333",851,"1,988","1,917","4,514","4,353"
2020년05월_남_40~49세,"32,433","1,593","1,684","1,332","1,979","1,542","1,117","2,048","2,055","1,455","1,592","3,092","4,026","4,899","4,019"
2020년05월_남_50~59세,"31,106","1,880","1,990","1,700","2,223","1,913","1,471","2,744","2,268","1,714","1,712","3,119","2,868","2,952","2,552"
2020년05월_남_60~69세,"18,307","1,151","1,191","1,440","1,367","1,347","1,184","1,859","1,410","1,045",967,"1,693","1,096","1,331","1,226"
2020년05월_남_70~79세,"6,885",567,542,564,559,481,478,781,444,359,392,579,339,455,345
2020년05월_남_80~89세,"2,232",201,183,180,153,175,195,274,140,125,128,160,119,118,81
2020년05월_남_90~99세,283,24,22,20,17,26,22,28,24,14,21,25,15,18,7
2020년05월_남_100세 이상,14,0,2,0,0,1,2,5,3,1,0,0,0,0,0
2020년05월_여_총인구수,"187,138","10,177","10,774","8,582","9,447","11,216","8,935","12,356","13,336","9,766","9,799","18,569","18,677","24,736","20,768"
2020년05월_여_연령구간인구수,"187,138","10,177","10,774","8,582","9,447","11,216","8,935","12,356","13,336","9,766","9,799","18,569","18,677","24,736","20,768"
2020년05월_여_0~9세,"18,066",717,786,458,519,726,542,676,"1,165",740,833,"1,562","2,406","3,615","3,321"
2020년05월_여_10~19세,"20,217",946,"1,124",557,777,901,637,893,"1,389","1,017","1,412","2,627","3,064","2,857","2,016"
2020년05월_여_20~29세,"24,499","1,312","1,498","1,177","1,465","1,655","1,187","1,626","1,840","1,370","1,250","2,902","1,819","3,104","2,294"
2020년05월_여_30~39세,"27,967","1,206","1,291","1,022","1,133","1,586","1,134","1,325","2,012","1,307","1,069","2,274","2,680","5,120","4,808"
2020년05월_여_40~49세,"33,554","1,652","1,778","1,048","1,485","1,652","1,236","1,828","2,258","1,696","1,885","3,618","4,528","4,987","3,903"
2020년05월_여_50~59세,"31,642","1,976","2,121","1,904","1,898","2,148","1,705","2,614","2,521","1,888","1,721","3,064","2,490","2,935","2,657"
2020년05월_여_60~69세,"17,221","1,184","1,145","1,324","1,172","1,311","1,197","1,802","1,285",981,864,"1,489",981,"1,296","1,190"
2020년05월_여_70~79세,"8,189",726,602,668,614,692,667,943,461,435,448,602,426,546,359
2020년05월_여_80~89세,"4,802",399,355,351,321,459,504,554,323,292,254,343,231,235,181
2020년05월_여_90~99세,943,56,71,69,59,84,123,91,73,39,62,87,51,41,37
2020년05월_여_100세 이상,38,3,3,4,4,2,3,4,9,1,1,1,1,0,2
