카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년03월_계_총인구수,"107,669","4,655","7,869","6,602","12,245","8,918","8,141","8,045","7,355","4,813","10,200","4,799","9,948","14,079"
2020년03월_계_연령구간인구수,"107,669","4,655","7,869","6,602","12,245","8,918","8,141","8,045","7,355","4,813","10,200","4,799","9,948","14,079"
2020년03월_계_0~9세,"5,609",230,377,261,929,650,692,482,108,129,534,104,385,728
2020년03월_계_10~19세,"7,417",291,568,444,952,893,792,598,337,216,545,205,556,"1,020"
2020년03월_계_20~29세,"13,527",636,779,"1,050","1,617","1,065",982,"1,583",788,439,"1,404",404,959,"1,821"
2020년03월_계_30~39세,"11,421",522,723,621,"1,619",955,957,"1,055",576,409,"1,313",414,844,"1,413"
2020년03월_계_40~49세,"14,680",593,"1,086",880,"1,827","1,397","1,282","1,082",895,650,"1,363",550,"1,289","1,786"
2020년03월_계_50~59세,"18,347",783,"1,365","1,047","1,904","1,497","1,326","1,137","1,347",843,"1,763",898,"1,798","2,639"
2020년03월_계_60~69세,"18,525",794,"1,413","1,130","1,683","1,270","1,107","1,126","1,546",997,"1,693","1,107","2,089","2,570"
2020년03월_계_70~79세,"12,163",510,"1,023",751,"1,131",775,635,629,"1,149",749,"1,116",780,"1,446","1,469"
2020년03월_계_80~89세,"5,125",259,475,354,497,361,317,291,513,327,399,290,500,542
2020년03월_계_90~99세,740,33,56,54,81,53,49,56,69,45,55,40,69,80
2020년03월_계_100세 이상,115,4,4,10,5,2,2,6,27,9,15,7,13,11
2020년03월_남_총인구수,"52,230","2,237","3,833","3,059","5,781","4,134","3,950","3,843","3,746","2,400","4,899","2,436","4,958","6,954"
2020년03월_남_연령구간인구수,"52,230","2,237","3,833","3,059","5,781","4,134","3,950","3,843","3,746","2,400","4,899","2,436","4,958","6,954"
2020년03월_남_0~9세,"2,922",114,200,134,480,333,374,255,53,61,287,54,198,379
2020년03월_남_10~19세,"3,748",141,264,220,477,410,422,291,179,114,282,97,301,550
2020년03월_남_20~29세,"6,720",322,423,474,782,528,500,721,415,233,649,223,521,929
2020년03월_남_30~39세,"5,918",278,380,320,787,455,453,528,332,220,692,255,472,746
2020년03월_남_40~49세,"7,600",312,570,442,899,655,613,555,526,378,694,331,691,934
2020년03월_남_50~59세,"9,359",394,681,518,931,694,654,564,749,477,889,492,971,"1,345"
2020년03월_남_60~69세,"8,628",354,660,489,751,581,534,529,777,481,771,523,998,"1,180"
2020년03월_남_70~79세,"5,298",225,458,330,480,344,269,272,502,328,469,336,630,655
2020년03월_남_80~89세,"1,835",88,187,115,174,122,121,116,188,93,148,111,158,214
2020년03월_남_90~99세,170,9,9,15,18,12,10,9,15,13,14,12,16,18
2020년03월_남_100세 이상,32,0,1,2,2,0,0,3,10,2,4,2,2,4
2020년03월_여_총인구수,"55,439","2,418","4,036","3,543","6,464","4,784","4,191","4,202","3,609","2,413","5,301","2,363","4,990","7,125"
2020년03월_여_연령구간인구수,"55,439","2,418","4,036","3,543","6,464","4,784","4,191","4,202","3,609","2,413","5,301","2,363","4,990","7,125"
2020년03월_여_0~9세,"2,687",116,177,127,449,317,318,227,55,68,247,50,187,349
2020년03월_여_10~19세,"3,669",150,304,224,475,483,370,307,158,102,263,108,255,470
2020년03월_여_20~29세,"6,807",314,356,576,835,537,482,862,373,206,755,181,438,892
2020년03월_여_30~39세,"5,503",244,343,301,832,500,504,527,244,189,621,159,372,667
2020년03월_여_40~49세,"7,080",281,516,438,928,742,669,527,369,272,669,219,598,852
2020년03월_여_50~59세,"8,988",389,684,529,973,803,672,573,598,366,874,406,827,"1,294"
2020년03월_여_60~69세,"9,897",440,753,641,932,689,573,597,769,516,922,584,"1,091","1,390"
2020년03월_여_70~79세,"6,865",285,565,421,651,431,366,357,647,421,647,444,816,814
2020년03월_여_80~89세,"3,290",171,288,239,323,239,196,175,325,234,251,179,342,328
2020년03월_여_90~99세,570,24,47,39,63,41,39,47,54,32,41,28,53,62
2020년03월_여_100세 이상,83,4,3,8,3,2,2,3,17,7,11,5,11,7
