카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년10월_계_총인구수,"43,093","7,255","18,438","8,758","8,642"
2021년10월_계_연령구간인구수,"43,093","7,255","18,438","8,758","8,642"
2021년10월_계_0~9세,"3,763",584,"1,167","1,306",706
2021년10월_계_10~19세,"6,254",932,"2,304","1,948","1,070"
2021년10월_계_20~29세,"4,827",769,"2,282",810,966
2021년10월_계_30~39세,"4,535",678,"1,693","1,301",863
2021년10월_계_40~49세,"8,230","1,187","3,050","2,477","1,516"
2021년10월_계_50~59세,"7,188","1,340","3,546",746,"1,556"
2021년10월_계_60~69세,"4,844","1,075","2,436",92,"1,241"
2021년10월_계_70~79세,"2,120",457,"1,124",55,484
2021년10월_계_80~89세,"1,137",188,718,21,210
2021년10월_계_90~99세,193,44,117,2,30
2021년10월_계_100세 이상,2,1,1,0,0
2021년10월_남_총인구수,"21,469","3,552","9,004","4,575","4,338"
2021년10월_남_연령구간인구수,"21,469","3,552","9,004","4,575","4,338"
2021년10월_남_0~9세,"1,895",294,594,649,358
2021년10월_남_10~19세,"3,286",464,"1,233","1,022",567
2021년10월_남_20~29세,"2,706",408,"1,243",485,570
2021년10월_남_30~39세,"2,266",328,863,649,426
2021년10월_남_40~49세,"3,995",557,"1,449","1,273",716
2021년10월_남_50~59세,"3,600",665,"1,729",444,762
2021년10월_남_60~69세,"2,330",542,"1,159",28,601
2021년10월_남_70~79세,979,224,489,14,252
2021년10월_남_80~89세,372,65,221,10,76
2021년10월_남_90~99세,39,5,23,1,10
2021년10월_남_100세 이상,1,0,1,0,0
2021년10월_여_총인구수,"21,624","3,703","9,434","4,183","4,304"
2021년10월_여_연령구간인구수,"21,624","3,703","9,434","4,183","4,304"
2021년10월_여_0~9세,"1,868",290,573,657,348
2021년10월_여_10~19세,"2,968",468,"1,071",926,503
2021년10월_여_20~29세,"2,121",361,"1,039",325,396
2021년10월_여_30~39세,"2,269",350,830,652,437
2021년10월_여_40~49세,"4,235",630,"1,601","1,204",800
2021년10월_여_50~59세,"3,588",675,"1,817",302,794
2021년10월_여_60~69세,"2,514",533,"1,277",64,640
2021년10월_여_70~79세,"1,141",233,635,41,232
2021년10월_여_80~89세,765,123,497,11,134
2021년10월_여_90~99세,154,39,94,1,20
2021년10월_여_100세 이상,1,1,0,0,0
