카테고리,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년01월_계_총인구수,"942,649","234,614","13,659","9,906","11,140","15,870","16,111","13,833","13,902","12,777","16,666","16,264","13,152","10,170","11,536","45,540","4,772","5,970","3,346","219,921","33,477","14,412","7,199","25,331","11,029","25,312","26,515","14,386","12,939","21,465","27,856","488,114","26,840","18,185","10,825","14,401","20,113","31,136","16,364","15,916","32,632","18,996","26,343","14,128","17,838","17,095","29,864","23,944","24,878","28,216","29,100","18,049","31,851","21,400"
2020년01월_계_연령구간인구수,"942,649","234,614","13,659","9,906","11,140","15,870","16,111","13,833","13,902","12,777","16,666","16,264","13,152","10,170","11,536","45,540","4,772","5,970","3,346","219,921","33,477","14,412","7,199","25,331","11,029","25,312","26,515","14,386","12,939","21,465","27,856","488,114","26,840","18,185","10,825","14,401","20,113","31,136","16,364","15,916","32,632","18,996","26,343","14,128","17,838","17,095","29,864","23,944","24,878","28,216","29,100","18,049","31,851","21,400"
2020년01월_계_0~9세,"71,758","15,976",573,749,440,619,834,717,779,433,921,"1,204",652,699,832,"5,278",576,454,216,"14,150","1,640",944,414,"1,369",740,"1,484","1,790",631,637,"1,511","2,990","41,632","2,102","1,283","1,213","1,136","1,550","2,152",978,"1,423","2,577","1,467","2,378","1,071","1,391","1,312","2,440","3,142","2,888","3,230","1,970","1,387","2,329","2,213"
2020년01월_계_10~19세,"90,958","17,801",781,943,682,858,"1,250",991,"1,336",756,"1,162","1,367","1,145",979,485,"4,023",441,425,177,"17,676","2,080",932,499,"2,134","1,152","2,197","1,946","1,054",993,"1,882","2,807","55,481","3,125","2,318","1,998","2,532","2,027","3,344","1,511","1,833","4,474","2,375","3,257","1,926","1,364","1,826","2,245","3,385","3,083","3,240","2,527","1,830","2,893","2,368"
2020년01월_계_20~29세,"132,345","33,885","2,070","1,283","1,694","2,819","2,437","1,975","2,007","1,756","2,433","2,211","1,735","1,417","2,209","5,721",692,"1,013",413,"31,573","5,692","1,622",995,"3,894","1,765","3,544","3,624","1,885","1,876","3,225","3,451","66,887","3,846","2,432",994,"1,872","3,187","4,757","2,115","2,148","4,597","2,882","3,485","1,907","2,872","2,232","4,285","2,381","3,024","3,846","4,195","2,753","4,579","2,498"
2020년01월_계_30~39세,"139,206","35,009","1,798","1,327","1,536","2,313","2,235","1,818","1,675","1,541","2,282","2,316","1,704","1,204","2,931","7,744",924,"1,128",533,"31,992","5,627","2,027","1,140","3,569","1,400","3,221","4,143","1,736","1,644","2,957","4,528","72,205","3,722","2,579",956,"1,675","3,673","5,247","3,054","2,396","4,345","2,434","3,719","1,416","2,914","2,228","5,588","3,236","3,544","4,157","4,751","2,850","4,667","3,054"
2020년01월_계_40~49세,"160,335","37,270","2,108","1,573","1,754","2,214","2,432","2,127","2,336","1,863","2,447","2,607","2,299","1,724","2,041","7,746",767,788,444,"34,393","4,820","2,291","1,086","3,946","1,778","4,050","4,251","2,170","1,926","3,141","4,934","88,672","4,839","3,754","2,679","3,333","3,331","5,995","2,766","2,907","6,560","3,371","4,781","2,517","2,773","2,845","4,540","5,238","4,747","4,792","4,577","3,050","5,248","4,029"
2020년01월_계_50~59세,"156,276","40,422","2,663","1,750","2,160","2,779","2,928","2,644","2,470","2,539","3,032","2,784","2,270","1,760","1,341","7,278",582,908,534,"39,708","5,766","2,711","1,344","4,478","1,903","4,630","4,811","3,052","2,664","4,138","4,211","76,146","4,237","2,771","1,451","2,077","2,921","4,642","2,450","2,471","4,844","3,368","4,134","2,357","2,772","2,635","4,728","3,318","3,921","4,727","4,606","2,977","5,245","3,494"
2020년01월_계_60~69세,"107,115","30,871","2,063","1,369","1,630","2,328","2,225","2,004","1,734","2,134","2,495","2,056","1,772","1,286","1,045","4,935",498,709,588,"29,161","4,425","2,264",993,"3,427","1,246","3,335","3,537","2,242","1,882","2,873","2,937","47,083","2,740","1,370",741,"1,034","1,986","2,448","1,684","1,321","2,658","1,804","2,508","1,607","2,123","2,166","3,510","1,917","2,193","2,551","3,308","1,694","3,341","2,379"
2020년01월_계_70~79세,"56,527","16,429","1,126",635,913,"1,395","1,225","1,076","1,069","1,225","1,367","1,182","1,145",784,466,"1,908",207,388,318,"14,871","2,379","1,132",485,"1,768",734,"2,015","1,722","1,149",917,"1,196","1,374","25,227","1,408",955,496,481,"1,003","1,634","1,050",817,"1,555",788,"1,356",831,"1,093","1,195","1,663",887,983,"1,119","1,947",940,"2,119",907
2020년01월_계_80~89세,"23,720","5,883",405,228,282,466,458,410,428,436,449,442,361,277,153,784,70,134,100,"5,379",893,382,182,637,265,731,597,388,322,460,522,"12,458",701,628,250,218,367,810,632,503,871,435,610,410,436,553,734,369,418,474,"1,013",476,"1,169",381
2020년01월_계_90~99세,"3,969",877,52,34,39,68,70,56,50,76,65,81,44,36,28,121,15,22,20,846,126,71,32,95,41,87,83,69,68,77,97,"2,246",115,93,46,42,66,100,121,95,146,69,113,81,96,98,124,68,75,78,201,90,252,77
2020년01월_계_100세 이상,440,191,20,15,10,11,17,15,18,18,13,14,25,4,5,2,0,1,3,172,29,36,29,14,5,18,11,10,10,5,5,77,5,2,1,1,2,7,3,2,5,3,2,5,4,5,7,3,2,2,5,2,9,0
2020년01월_남_총인구수,"466,582","118,562","7,098","4,893","5,792","8,042","8,071","7,029","7,024","6,597","8,389","8,018","6,766","5,024","6,253","22,345","2,507","2,953","1,761","111,364","17,335","7,618","3,704","12,373","5,359","12,609","13,729","7,471","6,711","10,854","13,601","236,656","13,220","8,677","5,288","7,139","9,976","14,685","7,758","7,699","15,786","9,359","12,874","6,938","8,817","8,107","14,736","11,708","12,107","13,585","13,686","8,758","15,294","10,459"
2020년01월_남_연령구간인구수,"466,582","118,562","7,098","4,893","5,792","8,042","8,071","7,029","7,024","6,597","8,389","8,018","6,766","5,024","6,253","22,345","2,507","2,953","1,761","111,364","17,335","7,618","3,704","12,373","5,359","12,609","13,729","7,471","6,711","10,854","13,601","236,656","13,220","8,677","5,288","7,139","9,976","14,685","7,758","7,699","15,786","9,359","12,874","6,938","8,817","8,107","14,736","11,708","12,107","13,585","13,686","8,758","15,294","10,459"
2020년01월_남_0~9세,"36,757","8,074",292,377,229,315,422,348,390,210,449,607,346,358,411,"2,683",290,235,112,"7,308",814,497,208,683,397,800,947,321,334,764,"1,543","21,375","1,092",657,610,576,778,"1,081",532,758,"1,319",769,"1,227",569,708,635,"1,266","1,612","1,519","1,665",979,742,"1,155","1,126"
2020년01월_남_10~19세,"46,667","9,189",416,474,353,453,669,505,690,424,602,728,597,504,246,"1,977",243,205,103,"9,069","1,076",506,254,"1,050",533,"1,123",992,529,530,"1,023","1,453","28,409","1,654","1,203","1,021","1,330","1,007","1,670",830,946,"2,264","1,227","1,658","1,048",706,926,"1,108","1,734","1,535","1,650","1,269",903,"1,517","1,203"
2020년01월_남_20~29세,"67,910","17,789","1,140",667,886,"1,422","1,242","1,089","1,085",961,"1,289","1,136",945,708,"1,166","2,880",423,503,247,"16,500","2,964",869,509,"1,876",866,"1,921","1,995","1,045","1,006","1,699","1,750","33,621","2,007","1,195",530,974,"1,667","2,120","1,067","1,082","2,277","1,524","1,807","1,002","1,472","1,096","2,259","1,177","1,515","1,905","2,038","1,350","2,289","1,268"
2020년01월_남_30~39세,"70,346","18,574","1,023",656,868,"1,279","1,222",975,896,890,"1,248","1,205",939,637,"1,685","3,680",507,579,285,"17,097","3,178","1,053",632,"1,825",700,"1,748","2,260",984,934,"1,563","2,220","34,675","1,849","1,196",390,820,"1,911","2,401","1,532","1,140","2,069","1,227","1,792",628,"1,463","1,020","2,991","1,408","1,608","1,903","2,242","1,404","2,283","1,398"
2020년01월_남_40~49세,"79,277","19,754","1,189",780,985,"1,216","1,282","1,122","1,204","1,031","1,274","1,334","1,261",890,"1,207","3,939",406,392,242,"18,129","2,654","1,306",582,"2,025",889,"2,038","2,348","1,178","1,051","1,595","2,463","41,394","2,235","1,666","1,237","1,553","1,577","2,698","1,261","1,361","2,994","1,502","2,201","1,114","1,347","1,313","2,279","2,525","2,272","2,283","2,139","1,447","2,425","1,965"
2020년01월_남_50~59세,"77,797","20,493","1,419",858,"1,162","1,422","1,472","1,361","1,284","1,358","1,502","1,324","1,181",866,718,"3,537",290,471,268,"19,926","2,941","1,515",682,"2,231",946,"2,298","2,415","1,632","1,360","1,981","1,925","37,378","2,018","1,425",799,"1,088","1,418","2,328","1,150","1,198","2,476","1,661","2,065","1,183","1,330","1,243","2,163","1,731","1,986","2,262","2,176","1,450","2,513","1,715"
2020년01월_남_60~69세,"52,565","14,924",977,668,794,"1,115","1,049","1,015",844,"1,014","1,189",972,826,622,507,"2,462",227,346,297,"14,480","2,252","1,158",529,"1,630",591,"1,568","1,750","1,119",957,"1,507","1,419","23,161","1,359",654,362,495,966,"1,212",790,637,"1,301",919,"1,253",815,"1,075","1,076","1,705",953,"1,059","1,224","1,593",846,"1,666","1,201"
2020년01월_남_70~79세,"25,527","7,425",490,319,404,628,549,456,461,532,640,517,499,330,245,911,97,180,167,"6,770","1,097",523,222,800,338,822,807,528,426,578,629,"11,332",674,396,225,220,483,764,394,341,680,369,617,403,511,550,727,409,448,531,826,396,920,448
2020년01월_남_80~89세,"8,621","2,067",133,82,97,174,142,132,159,148,178,173,150,101,62,244,22,36,34,"1,859",326,147,75,236,91,257,196,121,99,136,175,"4,695",292,258,100,74,157,368,177,203,365,142,222,156,179,224,217,146,148,142,363,193,447,122
2020년01월_남_90~99세,997,214,14,7,12,17,15,22,7,22,15,17,12,7,4,30,2,5,6,183,26,29,6,15,7,29,16,12,12,8,23,600,38,27,14,9,12,40,24,32,40,18,32,19,25,23,21,13,16,20,59,27,78,13
2020년01월_남_100세 이상,118,59,5,5,2,1,7,4,4,7,3,5,10,1,2,2,0,1,0,43,7,15,5,2,1,5,3,2,2,0,1,16,2,0,0,0,0,3,1,1,1,1,0,1,1,1,0,0,1,0,2,0,1,0
2020년01월_여_총인구수,"476,067","116,052","6,561","5,013","5,348","7,828","8,040","6,804","6,878","6,180","8,277","8,246","6,386","5,146","5,283","23,195","2,265","3,017","1,585","108,557","16,142","6,794","3,495","12,958","5,670","12,703","12,786","6,915","6,228","10,611","14,255","251,458","13,620","9,508","5,537","7,262","10,137","16,451","8,606","8,217","16,846","9,637","13,469","7,190","9,021","8,988","15,128","12,236","12,771","14,631","15,414","9,291","16,557","10,941"
2020년01월_여_연령구간인구수,"476,067","116,052","6,561","5,013","5,348","7,828","8,040","6,804","6,878","6,180","8,277","8,246","6,386","5,146","5,283","23,195","2,265","3,017","1,585","108,557","16,142","6,794","3,495","12,958","5,670","12,703","12,786","6,915","6,228","10,611","14,255","251,458","13,620","9,508","5,537","7,262","10,137","16,451","8,606","8,217","16,846","9,637","13,469","7,190","9,021","8,988","15,128","12,236","12,771","14,631","15,414","9,291","16,557","10,941"
2020년01월_여_0~9세,"35,001","7,902",281,372,211,304,412,369,389,223,472,597,306,341,421,"2,595",286,219,104,"6,842",826,447,206,686,343,684,843,310,303,747,"1,447","20,257","1,010",626,603,560,772,"1,071",446,665,"1,258",698,"1,151",502,683,677,"1,174","1,530","1,369","1,565",991,645,"1,174","1,087"
2020년01월_여_10~19세,"44,291","8,612",365,469,329,405,581,486,646,332,560,639,548,475,239,"2,046",198,220,74,"8,607","1,004",426,245,"1,084",619,"1,074",954,525,463,859,"1,354","27,072","1,471","1,115",977,"1,202","1,020","1,674",681,887,"2,210","1,148","1,599",878,658,900,"1,137","1,651","1,548","1,590","1,258",927,"1,376","1,165"
2020년01월_여_20~29세,"64,435","16,096",930,616,808,"1,397","1,195",886,922,795,"1,144","1,075",790,709,"1,043","2,841",269,510,166,"15,073","2,728",753,486,"2,018",899,"1,623","1,629",840,870,"1,526","1,701","33,266","1,839","1,237",464,898,"1,520","2,637","1,048","1,066","2,320","1,358","1,678",905,"1,400","1,136","2,026","1,204","1,509","1,941","2,157","1,403","2,290","1,230"
2020년01월_여_30~39세,"68,860","16,435",775,671,668,"1,034","1,013",843,779,651,"1,034","1,111",765,567,"1,246","4,064",417,549,248,"14,895","2,449",974,508,"1,744",700,"1,473","1,883",752,710,"1,394","2,308","37,530","1,873","1,383",566,855,"1,762","2,846","1,522","1,256","2,276","1,207","1,927",788,"1,451","1,208","2,597","1,828","1,936","2,254","2,509","1,446","2,384","1,656"
2020년01월_여_40~49세,"81,058","17,516",919,793,769,998,"1,150","1,005","1,132",832,"1,173","1,273","1,038",834,834,"3,807",361,396,202,"16,264","2,166",985,504,"1,921",889,"2,012","1,903",992,875,"1,546","2,471","47,278","2,604","2,088","1,442","1,780","1,754","3,297","1,505","1,546","3,566","1,869","2,580","1,403","1,426","1,532","2,261","2,713","2,475","2,509","2,438","1,603","2,823","2,064"
2020년01월_여_50~59세,"78,479","19,929","1,244",892,998,"1,357","1,456","1,283","1,186","1,181","1,530","1,460","1,089",894,623,"3,741",292,437,266,"19,782","2,825","1,196",662,"2,247",957,"2,332","2,396","1,420","1,304","2,157","2,286","38,768","2,219","1,346",652,989,"1,503","2,314","1,300","1,273","2,368","1,707","2,069","1,174","1,442","1,392","2,565","1,587","1,935","2,465","2,430","1,527","2,732","1,779"
2020년01월_여_60~69세,"54,550","15,947","1,086",701,836,"1,213","1,176",989,890,"1,120","1,306","1,084",946,664,538,"2,473",271,363,291,"14,681","2,173","1,106",464,"1,797",655,"1,767","1,787","1,123",925,"1,366","1,518","23,922","1,381",716,379,539,"1,020","1,236",894,684,"1,357",885,"1,255",792,"1,048","1,090","1,805",964,"1,134","1,327","1,715",848,"1,675","1,178"
2020년01월_여_70~79세,"31,000","9,004",636,316,509,767,676,620,608,693,727,665,646,454,221,997,110,208,151,"8,101","1,282",609,263,968,396,"1,193",915,621,491,618,745,"13,895",734,559,271,261,520,870,656,476,875,419,739,428,582,645,936,478,535,588,"1,121",544,"1,199",459
2020년01월_여_80~89세,"15,099","3,816",272,146,185,292,316,278,269,288,271,269,211,176,91,540,48,98,66,"3,520",567,235,107,401,174,474,401,267,223,324,347,"7,763",409,370,150,144,210,442,455,300,506,293,388,254,257,329,517,223,270,332,650,283,722,259
2020년01월_여_90~99세,"2,972",663,38,27,27,51,55,34,43,54,50,64,32,29,24,91,13,17,14,663,100,42,26,80,34,58,67,57,56,69,74,"1,646",77,66,32,33,54,60,97,63,106,51,81,62,71,75,103,55,59,58,142,63,174,64
2020년01월_여_100세 이상,322,132,15,10,8,10,10,11,14,11,10,9,15,3,3,0,0,0,3,129,22,21,24,12,4,13,8,8,8,5,4,61,3,2,1,1,2,4,2,1,4,2,2,4,3,4,7,3,1,2,3,2,8,0
