카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년07월_계_총인구수,"262,537","25,781","36,155","20,979","6,094","5,592","3,373","3,762","3,035","10,172","6,664","20,400","37,216","29,998","16,136","37,180"
2020년07월_계_연령구간인구수,"262,537","25,781","36,155","20,979","6,094","5,592","3,373","3,762","3,035","10,172","6,664","20,400","37,216","29,998","16,136","37,180"
2020년07월_계_0~9세,"20,985","1,737","2,514","2,404",190,151,80,111,87,609,248,"2,103","3,018","3,337","1,071","3,325"
2020년07월_계_10~19세,"22,859","2,792","3,674","1,170",294,257,107,159,117,608,417,"2,017","4,091","2,282",835,"4,039"
2020년07월_계_20~29세,"35,826","3,814","5,304","3,183",547,487,212,273,266,"1,616","1,029","2,137","4,527","3,806","3,641","4,984"
2020년07월_계_30~39세,"33,517","2,622","3,975","4,218",508,420,212,237,197,"1,211",694,"2,849","4,163","4,628","2,840","4,743"
2020년07월_계_40~49세,"41,592","4,111","6,484","2,991",659,636,272,406,295,"1,369",850,"3,559","6,622","4,533","2,238","6,567"
2020년07월_계_50~59세,"44,638","4,242","6,840","2,847","1,218","1,081",635,737,611,"1,944","1,310","3,061","6,317","5,121","2,432","6,242"
2020년07월_계_60~69세,"33,818","3,233","3,875","2,261","1,370","1,246",839,845,692,"1,714","1,099","2,503","4,678","3,534","1,769","4,160"
2020년07월_계_70~79세,"19,152","2,081","2,247","1,224",808,818,595,555,481,761,648,"1,496","2,558","1,924",879,"2,077"
2020년07월_계_80~89세,"9,055","1,029","1,136",611,438,442,368,380,243,302,333,597,"1,104",750,388,934
2020년07월_계_90~99세,"1,026",108,99,66,55,52,51,56,44,36,33,69,132,79,40,106
2020년07월_계_100세 이상,69,12,7,4,7,2,2,3,2,2,3,9,6,4,3,3
2020년07월_남_총인구수,"132,218","12,962","18,803","11,118","3,256","2,852","1,775","1,957","1,551","4,928","3,315","10,032","17,844","14,438","8,782","18,605"
2020년07월_남_연령구간인구수,"132,218","12,962","18,803","11,118","3,256","2,852","1,775","1,957","1,551","4,928","3,315","10,032","17,844","14,438","8,782","18,605"
2020년07월_남_0~9세,"10,733",930,"1,291","1,263",109,76,41,56,44,290,138,"1,065","1,481","1,667",564,"1,718"
2020년07월_남_10~19세,"11,883","1,468","1,886",604,152,135,57,85,68,323,229,"1,097","2,002","1,148",453,"2,176"
2020년07월_남_20~29세,"19,682","2,140","2,996","1,779",324,283,139,162,165,850,561,"1,151","2,345","2,017","2,018","2,752"
2020년07월_남_30~39세,"17,958","1,426","2,256","2,371",287,267,140,144,110,616,401,"1,444","2,032","2,285","1,733","2,446"
2020년07월_남_40~49세,"21,288","2,011","3,336","1,722",405,385,176,242,181,654,434,"1,781","3,219","2,191","1,297","3,254"
2020년07월_남_50~59세,"22,437","2,183","3,687","1,464",686,546,349,421,332,919,653,"1,471","3,036","2,343","1,272","3,075"
2020년07월_남_60~69세,"16,493","1,553","1,999","1,144",733,642,467,463,341,826,530,"1,145","2,202","1,612",861,"1,975"
2020년07월_남_70~79세,"8,404",864,946,548,398,367,277,257,227,348,257,636,"1,089",855,443,892
2020년07월_남_80~89세,"3,103",362,376,208,149,142,121,114,69,95,104,224,407,297,134,301
2020년07월_남_90~99세,225,23,30,15,9,9,8,13,12,7,8,16,31,22,6,16
2020년07월_남_100세 이상,12,2,0,0,4,0,0,0,2,0,0,2,0,1,1,0
2020년07월_여_총인구수,"130,319","12,819","17,352","9,861","2,838","2,740","1,598","1,805","1,484","5,244","3,349","10,368","19,372","15,560","7,354","18,575"
2020년07월_여_연령구간인구수,"130,319","12,819","17,352","9,861","2,838","2,740","1,598","1,805","1,484","5,244","3,349","10,368","19,372","15,560","7,354","18,575"
2020년07월_여_0~9세,"10,252",807,"1,223","1,141",81,75,39,55,43,319,110,"1,038","1,537","1,670",507,"1,607"
2020년07월_여_10~19세,"10,976","1,324","1,788",566,142,122,50,74,49,285,188,920,"2,089","1,134",382,"1,863"
2020년07월_여_20~29세,"16,144","1,674","2,308","1,404",223,204,73,111,101,766,468,986,"2,182","1,789","1,623","2,232"
2020년07월_여_30~39세,"15,559","1,196","1,719","1,847",221,153,72,93,87,595,293,"1,405","2,131","2,343","1,107","2,297"
2020년07월_여_40~49세,"20,304","2,100","3,148","1,269",254,251,96,164,114,715,416,"1,778","3,403","2,342",941,"3,313"
2020년07월_여_50~59세,"22,201","2,059","3,153","1,383",532,535,286,316,279,"1,025",657,"1,590","3,281","2,778","1,160","3,167"
2020년07월_여_60~69세,"17,325","1,680","1,876","1,117",637,604,372,382,351,888,569,"1,358","2,476","1,922",908,"2,185"
2020년07월_여_70~79세,"10,748","1,217","1,301",676,410,451,318,298,254,413,391,860,"1,469","1,069",436,"1,185"
2020년07월_여_80~89세,"5,952",667,760,403,289,300,247,266,174,207,229,373,697,453,254,633
2020년07월_여_90~99세,801,85,69,51,46,43,43,43,32,29,25,53,101,57,34,90
2020년07월_여_100세 이상,57,10,7,4,3,2,2,3,0,2,3,7,6,3,2,3
