,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년12월_계_총인구수,"36,870","10,735","4,724","4,822","1,859","1,673","3,282","2,540","3,530","1,676","2,029"
2020년12월_계_연령구간인구수,"36,870","10,735","4,724","4,822","1,859","1,673","3,282","2,540","3,530","1,676","2,029"
2020년12월_계_0~9세,"1,736",638,260,298,71,37,151,97,100,35,49
2020년12월_계_10~19세,"2,544","1,016",233,379,124,105,178,164,154,94,97
2020년12월_계_20~29세,"2,820","1,017",335,410,121,121,219,174,194,109,120
2020년12월_계_30~39세,"3,078",934,707,476,96,98,292,136,178,65,96
2020년12월_계_40~49세,"4,978","1,680",728,751,213,174,446,295,318,175,198
2020년12월_계_50~59세,"6,986","1,921",776,914,374,332,646,502,746,383,392
2020년12월_계_60~69세,"7,575","1,783",878,925,418,373,784,555,885,430,544
2020년12월_계_70~79세,"4,520","1,092",553,477,280,269,371,351,551,242,334
2020년12월_계_80~89세,"2,231",533,214,171,147,129,171,223,349,121,173
2020년12월_계_90~99세,352,106,31,15,15,24,22,41,52,21,25
2020년12월_계_100세 이상,50,15,9,6,0,11,2,2,3,1,1
2020년12월_남_총인구수,"19,174","5,464","2,494","2,541",962,835,"1,756","1,276","1,877",905,"1,064"
2020년12월_남_연령구간인구수,"19,174","5,464","2,494","2,541",962,835,"1,756","1,276","1,877",905,"1,064"
2020년12월_남_0~9세,893,332,131,155,35,13,76,49,49,21,32
2020년12월_남_10~19세,"1,322",534,110,195,64,56,92,82,87,52,50
2020년12월_남_20~29세,"1,608",580,182,239,69,70,128,106,102,68,64
2020년12월_남_30~39세,"1,724",486,414,250,54,61,180,76,109,38,56
2020년12월_남_40~49세,"2,901",883,451,421,135,107,279,168,209,110,138
2020년12월_남_50~59세,"3,826","1,033",432,518,205,186,335,275,416,227,199
2020년12월_남_60~69세,"3,991",937,419,472,232,187,434,277,495,239,299
2020년12월_남_70~79세,"2,028",481,251,218,111,103,172,158,266,109,159
2020년12월_남_80~89세,781,176,88,67,53,39,54,74,130,39,61
2020년12월_남_90~99세,80,18,13,2,4,6,5,10,14,2,6
2020년12월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2020년12월_여_총인구수,"17,696","5,271","2,230","2,281",897,838,"1,526","1,264","1,653",771,965
2020년12월_여_연령구간인구수,"17,696","5,271","2,230","2,281",897,838,"1,526","1,264","1,653",771,965
2020년12월_여_0~9세,843,306,129,143,36,24,75,48,51,14,17
2020년12월_여_10~19세,"1,222",482,123,184,60,49,86,82,67,42,47
2020년12월_여_20~29세,"1,212",437,153,171,52,51,91,68,92,41,56
2020년12월_여_30~39세,"1,354",448,293,226,42,37,112,60,69,27,40
2020년12월_여_40~49세,"2,077",797,277,330,78,67,167,127,109,65,60
2020년12월_여_50~59세,"3,160",888,344,396,169,146,311,227,330,156,193
2020년12월_여_60~69세,"3,584",846,459,453,186,186,350,278,390,191,245
2020년12월_여_70~79세,"2,492",611,302,259,169,166,199,193,285,133,175
2020년12월_여_80~89세,"1,450",357,126,104,94,90,117,149,219,82,112
2020년12월_여_90~99세,272,88,18,13,11,18,17,31,38,19,19
2020년12월_여_100세 이상,30,11,6,2,0,4,1,1,3,1,1
