,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년03월_계_총인구수,"300,187","7,631","6,659","45,136","16,047","19,348","25,641","29,985","2,770","20,584","20,303","4,007","3,641","50,449","47,986"
2021년03월_계_연령구간인구수,"300,187","7,631","6,659","45,136","16,047","19,348","25,641","29,985","2,770","20,584","20,303","4,007","3,641","50,449","47,986"
2021년03월_계_0~9세,"30,539",342,306,"3,730",979,"1,108","2,129","4,450",82,"2,909","2,626",125,160,"4,926","6,667"
2021년03월_계_10~19세,"26,000",415,404,"3,825","1,079","1,154","2,515","2,958",146,"1,878","2,063",204,171,"3,956","5,232"
2021년03월_계_20~29세,"37,340",957,996,"5,175","2,143","2,553","3,100","3,312",343,"2,453","2,248",490,478,"9,055","4,037"
2021년03월_계_30~39세,"50,838","1,005","1,017","6,576","2,307","2,945","3,365","5,418",367,"4,086","3,420",433,482,"11,780","7,637"
2021년03월_계_40~49세,"53,013","1,018",922,"7,164","2,207","2,553","4,436","5,936",380,"3,583","4,002",533,445,"9,298","10,536"
2021년03월_계_50~59세,"42,875","1,444","1,233","7,052","2,835","3,440","4,142","3,860",577,"2,640","2,982",795,728,"5,317","5,830"
2021년03월_계_60~69세,"36,155","1,530","1,028","6,815","2,739","3,414","3,466","2,576",508,"1,874","2,088",781,732,"3,756","4,848"
2021년03월_계_70~79세,"16,478",605,522,"3,429","1,252","1,508","1,738",976,244,787,650,403,291,"1,726","2,347"
2021년03월_계_80~89세,"5,856",254,199,"1,177",441,575,644,385,105,306,186,206,140,522,716
2021년03월_계_90~99세,"1,031",53,30,184,60,92,103,106,17,61,37,34,13,110,131
2021년03월_계_100세 이상,62,8,2,9,5,6,3,8,1,7,1,3,1,3,5
2021년03월_남_총인구수,"150,678","4,218","3,430","22,344","8,115","9,754","12,764","14,906","1,539","10,356","9,937","2,258","2,073","25,348","23,636"
2021년03월_남_연령구간인구수,"150,678","4,218","3,430","22,344","8,115","9,754","12,764","14,906","1,539","10,356","9,937","2,258","2,073","25,348","23,636"
2021년03월_남_0~9세,"15,658",167,152,"1,912",498,568,"1,138","2,241",45,"1,526","1,303",66,82,"2,560","3,400"
2021년03월_남_10~19세,"13,198",226,213,"1,990",575,595,"1,275","1,499",75,952,"1,010",114,88,"1,936","2,650"
2021년03월_남_20~29세,"18,933",557,533,"2,663","1,179","1,406","1,659","1,674",206,"1,225","1,122",274,271,"4,124","2,040"
2021년03월_남_30~39세,"25,749",601,593,"3,361","1,240","1,611","1,724","2,542",229,"1,990","1,549",267,301,"6,251","3,490"
2021년03월_남_40~49세,"27,779",620,513,"3,636","1,150","1,329","2,210","3,108",223,"1,866","2,039",321,283,"4,962","5,519"
2021년03월_남_50~59세,"21,371",821,632,"3,367","1,347","1,690","2,036","1,909",315,"1,326","1,418",496,425,"2,714","2,875"
2021년03월_남_60~69세,"17,463",816,492,"3,220","1,313","1,644","1,627","1,253",280,952,"1,063",431,413,"1,711","2,248"
2021년03월_남_70~79세,"8,219",301,228,"1,693",619,717,828,523,121,410,361,194,153,893,"1,178"
2021년03월_남_80~89세,"2,062",93,69,453,178,182,243,132,38,91,61,89,53,173,207
2021년03월_남_90~99세,231,13,5,46,13,10,24,23,7,17,11,5,4,24,29
2021년03월_남_100세 이상,15,3,0,3,3,2,0,2,0,1,0,1,0,0,0
2021년03월_여_총인구수,"149,509","3,413","3,229","22,792","7,932","9,594","12,877","15,079","1,231","10,228","10,366","1,749","1,568","25,101","24,350"
2021년03월_여_연령구간인구수,"149,509","3,413","3,229","22,792","7,932","9,594","12,877","15,079","1,231","10,228","10,366","1,749","1,568","25,101","24,350"
2021년03월_여_0~9세,"14,881",175,154,"1,818",481,540,991,"2,209",37,"1,383","1,323",59,78,"2,366","3,267"
2021년03월_여_10~19세,"12,802",189,191,"1,835",504,559,"1,240","1,459",71,926,"1,053",90,83,"2,020","2,582"
2021년03월_여_20~29세,"18,407",400,463,"2,512",964,"1,147","1,441","1,638",137,"1,228","1,126",216,207,"4,931","1,997"
2021년03월_여_30~39세,"25,089",404,424,"3,215","1,067","1,334","1,641","2,876",138,"2,096","1,871",166,181,"5,529","4,147"
2021년03월_여_40~49세,"25,234",398,409,"3,528","1,057","1,224","2,226","2,828",157,"1,717","1,963",212,162,"4,336","5,017"
2021년03월_여_50~59세,"21,504",623,601,"3,685","1,488","1,750","2,106","1,951",262,"1,314","1,564",299,303,"2,603","2,955"
2021년03월_여_60~69세,"18,692",714,536,"3,595","1,426","1,770","1,839","1,323",228,922,"1,025",350,319,"2,045","2,600"
2021년03월_여_70~79세,"8,259",304,294,"1,736",633,791,910,453,123,377,289,209,138,833,"1,169"
2021년03월_여_80~89세,"3,794",161,130,724,263,393,401,253,67,215,125,117,87,349,509
2021년03월_여_90~99세,800,40,25,138,47,82,79,83,10,44,26,29,9,86,102
2021년03월_여_100세 이상,47,5,2,6,2,4,3,6,1,6,1,2,1,3,5
