,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년08월_계_총인구수,"29,268","10,658","5,443","2,490","2,110","3,327","1,943","1,544","1,753"
2020년08월_계_연령구간인구수,"29,268","10,658","5,443","2,490","2,110","3,327","1,943","1,544","1,753"
2020년08월_계_0~9세,"1,215",645,263,60,64,84,48,19,32
2020년08월_계_10~19세,"2,034",967,421,102,143,179,79,36,107
2020년08월_계_20~29세,"2,286","1,143",493,118,102,154,95,78,103
2020년08월_계_30~39세,"2,046","1,043",423,105,88,153,78,72,84
2020년08월_계_40~49세,"3,367","1,507",706,193,193,341,155,126,146
2020년08월_계_50~59세,"5,768","2,024","1,002",536,412,703,416,310,365
2020년08월_계_60~69세,"6,217","1,777",997,642,543,814,547,438,459
2020년08월_계_70~79세,"3,923",980,744,442,367,548,314,266,262
2020년08월_계_80~89세,"2,116",500,355,242,175,310,189,174,171
2020년08월_계_90~99세,275,70,38,44,20,40,21,25,17
2020년08월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년08월_남_총인구수,"14,832","5,345","2,818","1,236","1,138","1,604","1,051",779,861
2020년08월_남_연령구간인구수,"14,832","5,345","2,818","1,236","1,138","1,604","1,051",779,861
2020년08월_남_0~9세,633,332,141,30,41,39,24,10,16
2020년08월_남_10~19세,"1,083",491,225,56,98,101,51,14,47
2020년08월_남_20~29세,"1,331",637,305,60,61,94,67,43,64
2020년08월_남_30~39세,"1,093",546,232,52,51,85,44,42,41
2020년08월_남_40~49세,"1,858",796,409,110,113,171,96,80,83
2020년08월_남_50~59세,"3,085","1,076",542,295,222,366,221,171,192
2020년08월_남_60~69세,"3,192",866,497,340,281,387,324,244,253
2020년08월_남_70~79세,"1,749",418,322,190,197,248,149,117,108
2020년08월_남_80~89세,732,169,134,89,69,105,65,51,50
2020년08월_남_90~99세,68,12,10,12,5,7,9,7,6
2020년08월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년08월_여_총인구수,"14,436","5,313","2,625","1,254",972,"1,723",892,765,892
2020년08월_여_연령구간인구수,"14,436","5,313","2,625","1,254",972,"1,723",892,765,892
2020년08월_여_0~9세,582,313,122,30,23,45,24,9,16
2020년08월_여_10~19세,951,476,196,46,45,78,28,22,60
2020년08월_여_20~29세,955,506,188,58,41,60,28,35,39
2020년08월_여_30~39세,953,497,191,53,37,68,34,30,43
2020년08월_여_40~49세,"1,509",711,297,83,80,170,59,46,63
2020년08월_여_50~59세,"2,683",948,460,241,190,337,195,139,173
2020년08월_여_60~69세,"3,025",911,500,302,262,427,223,194,206
2020년08월_여_70~79세,"2,174",562,422,252,170,300,165,149,154
2020년08월_여_80~89세,"1,384",331,221,153,106,205,124,123,121
2020년08월_여_90~99세,207,58,28,32,15,33,12,18,11
2020년08월_여_100세 이상,13,0,0,4,3,0,0,0,6
