,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년08월_계_총인구수,"526,718","22,765","27,776","30,868","37,979","39,886","27,802","22,917","25,203","27,571","20,904","35,917","39,425","20,772","27,263","24,850","33,836","23,286","21,417","16,281"
2020년08월_계_연령구간인구수,"526,718","22,765","27,776","30,868","37,979","39,886","27,802","22,917","25,203","27,571","20,904","35,917","39,425","20,772","27,263","24,850","33,836","23,286","21,417","16,281"
2020년08월_계_0~9세,"34,289","1,253","1,843","2,312","2,212","2,967","1,236","1,582","1,625","1,999","1,228","2,212","2,457","1,046","1,470","1,155","2,630","2,566","1,477","1,019"
2020년08월_계_10~19세,"54,189","1,762","2,229","2,201","2,781","4,510","3,303","2,890","4,497","5,801","2,405","3,285","3,423","1,927","2,169","2,120","3,113","2,151","2,222","1,400"
2020년08월_계_20~29세,"73,591","3,880","3,299","3,654","6,816","6,658","4,769","3,152","3,321","2,997","2,612","4,406","5,413","3,327","3,278","3,471","4,677","2,714","2,747","2,400"
2020년08월_계_30~39세,"65,815","2,817","3,367","4,731","5,494","5,269","2,796","2,596","1,944","2,046","2,016","4,402","5,005","2,391","3,014","2,711","4,983","4,861","2,868","2,504"
2020년08월_계_40~49세,"87,517","3,470","4,390","4,718","5,510","6,692","4,337","4,135","5,189","6,681","3,633","6,036","5,814","3,213","4,055","3,798","5,685","3,965","3,627","2,569"
2020년08월_계_50~59세,"88,167","3,627","4,623","4,861","5,862","6,106","5,007","3,963","4,618","4,490","3,643","5,708","7,080","3,950","4,866","4,561","5,649","3,037","3,630","2,886"
2020년08월_계_60~69세,"66,909","3,117","4,367","4,549","5,384","4,363","3,469","2,462","2,256","2,009","2,611","4,808","5,846","2,820","4,289","3,628","3,935","2,212","2,726","2,058"
2020년08월_계_70~79세,"37,375","1,987","2,505","2,599","2,729","2,235","1,821","1,358","1,111",982,"1,884","3,320","2,903","1,436","2,771","2,298","1,986","1,172","1,372",906
2020년08월_계_80~89세,"16,173",726,987,"1,084","1,016",928,924,681,543,488,751,"1,507","1,225",561,"1,186",942,993,525,645,461
2020년08월_계_90~99세,"2,413",109,150,144,159,144,133,94,84,66,108,218,209,88,136,139,180,79,99,74
2020년08월_계_100세 이상,280,17,16,15,16,14,7,4,15,12,13,15,50,13,29,27,5,4,4,4
2020년08월_남_총인구수,"254,463","11,730","13,402","14,793","18,546","19,456","13,387","10,927","12,332","13,464","10,114","16,609","19,180","10,277","13,538","12,103","15,734","11,203","10,189","7,479"
2020년08월_남_연령구간인구수,"254,463","11,730","13,402","14,793","18,546","19,456","13,387","10,927","12,332","13,464","10,114","16,609","19,180","10,277","13,538","12,103","15,734","11,203","10,189","7,479"
2020년08월_남_0~9세,"17,683",639,934,"1,198","1,142","1,533",653,822,861,"1,088",619,"1,111","1,280",530,755,590,"1,341","1,320",755,512
2020년08월_남_10~19세,"28,095",955,"1,153","1,137","1,391","2,297","1,835","1,474","2,254","3,058","1,346","1,572","1,782",991,"1,175","1,088","1,614","1,096","1,173",704
2020년08월_남_20~29세,"37,839","2,248","1,752","1,842","3,450","3,289","2,556","1,602","1,748","1,556","1,350","2,283","2,761","1,671","1,752","1,835","2,264","1,314","1,439","1,127"
2020년08월_남_30~39세,"32,835","1,532","1,706","2,368","2,805","2,631","1,417","1,226",916,882,"1,033","2,156","2,522","1,243","1,576","1,442","2,326","2,412","1,432","1,210"
2020년08월_남_40~49세,"41,638","1,792","2,210","2,363","2,794","3,167","1,925","1,917","2,279","2,919","1,690","2,956","2,798","1,557","2,049","1,860","2,611","1,966","1,640","1,145"
2020년08월_남_50~59세,"42,774","1,817","2,220","2,266","2,803","3,014","2,402","1,920","2,399","2,412","1,817","2,702","3,328","1,965","2,462","2,221","2,599","1,436","1,697","1,294"
2020년08월_남_60~69세,"31,130","1,491","1,959","2,025","2,500","2,091","1,592","1,157","1,183",979,"1,222","2,085","2,826","1,394","2,043","1,693","1,768",961,"1,236",925
