카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년07월_계_총인구수,"322,486","19,179","25,063","16,377","22,124","8,841","27,548","48,921","21,419","32,525","26,855","30,779","17,019","14,796","11,040"
2020년07월_계_연령구간인구수,"322,486","19,179","25,063","16,377","22,124","8,841","27,548","48,921","21,419","32,525","26,855","30,779","17,019","14,796","11,040"
2020년07월_계_0~9세,"24,509",866,"2,058","1,330","1,886",482,"1,690","3,660","1,257","2,259","2,077","3,581","1,588","1,240",535
2020년07월_계_10~19세,"31,166","1,136","3,169","1,221","2,408",597,"2,187","4,493","1,835","3,667","3,349","3,296","1,869","1,335",604
2020년07월_계_20~29세,"46,317","2,697","3,353","2,154","3,003","1,399","4,172","7,857","3,324","5,787","3,781","3,489","2,320","1,868","1,113"
2020년07월_계_30~39세,"43,057","2,292","2,946","2,078","2,902","1,240","3,981","7,839","2,329","3,661","3,169","4,797","2,387","2,061","1,375"
2020년07월_계_40~49세,"52,361","2,529","4,435","2,508","3,776","1,377","4,215","8,500","3,181","5,425","4,348","5,494","2,684","2,426","1,463"
2020년07월_계_50~59세,"62,349","3,873","4,790","3,293","3,892","1,761","5,430","9,291","4,804","6,667","5,510","4,941","3,277","2,732","2,088"
2020년07월_계_60~69세,"40,328","3,533","2,702","2,374","2,695","1,229","3,791","5,145","2,923","3,224","3,167","3,311","2,001","2,042","2,191"
2020년07월_계_70~79세,"16,200","1,668","1,188","1,016","1,142",571,"1,427","1,577","1,237","1,286","1,058","1,389",640,781,"1,220"
2020년07월_계_80~89세,"5,504",525,358,346,367,163,587,489,474,485,357,438,226,281,408
2020년07월_계_90~99세,661,54,62,54,50,21,64,66,55,63,39,40,27,27,39
2020년07월_계_100세 이상,34,6,2,3,3,1,4,4,0,1,0,3,0,3,4
2020년07월_남_총인구수,"164,493","9,771","12,885","8,327","11,187","4,696","13,892","25,245","10,930","16,662","13,464","15,399","8,543","7,605","5,887"
2020년07월_남_연령구간인구수,"164,493","9,771","12,885","8,327","11,187","4,696","13,892","25,245","10,930","16,662","13,464","15,399","8,543","7,605","5,887"
2020년07월_남_0~9세,"12,614",441,"1,099",686,973,253,881,"1,855",708,"1,160","1,056","1,789",801,641,271
2020년07월_남_10~19세,"16,444",576,"1,721",661,"1,243",306,"1,164","2,321",968,"1,908","1,832","1,713",999,700,332
2020년07월_남_20~29세,"25,871","1,550","1,901","1,174","1,671",824,"2,311","4,304","1,870","3,320","2,174","1,854","1,252","1,013",653
2020년07월_남_30~39세,"22,857","1,310","1,530","1,081","1,513",708,"2,149","4,259","1,278","1,972","1,581","2,359","1,202","1,100",815
2020년07월_남_40~49세,"25,526","1,347","2,056","1,277","1,825",733,"2,096","4,141","1,543","2,490","1,888","2,754","1,244","1,253",879
2020년07월_남_50~59세,"31,424","1,920","2,489","1,674","1,973",907,"2,608","4,719","2,410","3,372","2,688","2,490","1,639","1,370","1,165"
2020년07월_남_60~69세,"20,048","1,673","1,354","1,141","1,312",621,"1,834","2,645","1,445","1,659","1,614","1,616","1,029","1,043","1,062"
2020년07월_남_70~79세,"7,722",763,597,487,529,280,654,828,547,607,515,662,306,384,563
2020년07월_남_80~89세,"1,865",184,128,135,134,61,182,161,150,164,109,154,68,95,140
2020년07월_남_90~99세,112,6,9,9,13,3,12,11,11,10,7,8,3,3,7
2020년07월_남_100세 이상,10,1,1,2,1,0,1,1,0,0,0,0,0,3,0
2020년07월_여_총인구수,"157,993","9,408","12,178","8,050","10,937","4,145","13,656","23,676","10,489","15,863","13,391","15,380","8,476","7,191","5,153"
2020년07월_여_연령구간인구수,"157,993","9,408","12,178","8,050","10,937","4,145","13,656","23,676","10,489","15,863","13,391","15,380","8,476","7,191","5,153"
2020년07월_여_0~9세,"11,895",425,959,644,913,229,809,"1,805",549,"1,099","1,021","1,792",787,599,264
2020년07월_여_10~19세,"14,722",560,"1,448",560,"1,165",291,"1,023","2,172",867,"1,759","1,517","1,583",870,635,272
2020년07월_여_20~29세,"20,446","1,147","1,452",980,"1,332",575,"1,861","3,553","1,454","2,467","1,607","1,635","1,068",855,460
2020년07월_여_30~39세,"20,200",982,"1,416",997,"1,389",532,"1,832","3,580","1,051","1,689","1,588","2,438","1,185",961,560
2020년07월_여_40~49세,"26,835","1,182","2,379","1,231","1,951",644,"2,119","4,359","1,638","2,935","2,460","2,740","1,440","1,173",584
2020년07월_여_50~59세,"30,925","1,953","2,301","1,619","1,919",854,"2,822","4,572","2,394","3,295","2,822","2,451","1,638","1,362",923
2020년07월_여_60~69세,"20,280","1,860","1,348","1,233","1,383",608,"1,957","2,500","1,478","1,565","1,553","1,695",972,999,"1,129"
2020년07월_여_70~79세,"8,478",905,591,529,613,291,773,749,690,679,543,727,334,397,657
2020년07월_여_80~89세,"3,639",341,230,211,233,102,405,328,324,321,248,284,158,186,268
2020년07월_여_90~99세,549,48,53,45,37,18,52,55,44,53,32,32,24,24,32
2020년07월_여_100세 이상,24,5,1,1,2,1,3,3,0,1,0,3,0,0,4
