카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년09월_계_총인구수,"91,146","14,291","26,374","6,967","4,348","14,278","6,004","5,766","4,575","1,861","1,948","2,680","1,084",970
2021년09월_계_연령구간인구수,"91,146","14,291","26,374","6,967","4,348","14,278","6,004","5,766","4,575","1,861","1,948","2,680","1,084",970
2021년09월_계_0~9세,"6,458",671,"2,753",344,270,"1,598",202,179,216,54,51,71,31,18
2021년09월_계_10~19세,"8,153","1,123","3,406",480,368,"1,353",338,367,265,101,63,206,43,40
2021년09월_계_20~29세,"8,774","1,759","2,764",653,374,"1,359",495,522,337,115,83,193,73,47
2021년09월_계_30~39세,"8,948","1,187","3,312",530,317,"2,144",386,350,327,96,88,115,56,40
2021년09월_계_40~49세,"13,266","1,982","4,825",876,613,"2,510",565,577,517,181,179,280,81,80
2021년09월_계_50~59세,"15,223","2,459","3,769","1,312",790,"2,163","1,162","1,186",824,322,370,452,245,169
2021년09월_계_60~69세,"14,661","2,430","2,813","1,339",792,"1,644","1,409","1,290",899,419,494,570,311,251
2021년09월_계_70~79세,"9,334","1,565","1,684",863,514,978,851,765,680,311,364,441,136,182
2021년09월_계_80~89세,"5,440",966,888,489,265,460,514,465,435,216,227,290,94,131
2021년09월_계_90~99세,861,146,156,77,43,66,78,63,74,45,28,59,14,12
2021년09월_계_100세 이상,28,3,4,4,2,3,4,2,1,1,1,3,0,0
2021년09월_남_총인구수,"46,839","7,377","13,735","3,601","2,223","7,171","3,112","2,890","2,339",956,978,"1,406",555,496
2021년09월_남_연령구간인구수,"46,839","7,377","13,735","3,601","2,223","7,171","3,112","2,890","2,339",956,978,"1,406",555,496
2021년09월_남_0~9세,"3,197",332,"1,399",162,138,783,96,79,98,28,24,34,16,8
2021년09월_남_10~19세,"4,275",564,"1,788",260,189,686,184,187,162,55,40,118,22,20
2021년09월_남_20~29세,"4,930",967,"1,606",380,216,682,289,285,210,65,41,113,42,34
2021년09월_남_30~39세,"4,632",691,"1,656",275,163,"1,056",225,177,176,50,56,60,23,24
2021년09월_남_40~49세,"7,263","1,089","2,603",486,327,"1,341",331,302,307,106,107,161,53,50
2021년09월_남_50~59세,"8,506","1,435","2,113",759,437,"1,151",624,633,454,188,206,284,129,93
2021년09월_남_60~69세,"7,641","1,234","1,442",695,404,848,735,704,471,229,259,312,178,130
2021년09월_남_70~79세,"4,363",704,791,393,245,455,432,370,303,150,158,218,65,79
2021년09월_남_80~89세,"1,837",329,300,169,98,151,178,143,140,78,83,92,22,54
2021년09월_남_90~99세,189,30,35,22,6,18,17,10,17,7,4,14,5,4
2021년09월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년09월_여_총인구수,"44,307","6,914","12,639","3,366","2,125","7,107","2,892","2,876","2,236",905,970,"1,274",529,474
2021년09월_여_연령구간인구수,"44,307","6,914","12,639","3,366","2,125","7,107","2,892","2,876","2,236",905,970,"1,274",529,474
2021년09월_여_0~9세,"3,261",339,"1,354",182,132,815,106,100,118,26,27,37,15,10
2021년09월_여_10~19세,"3,878",559,"1,618",220,179,667,154,180,103,46,23,88,21,20
2021년09월_여_20~29세,"3,844",792,"1,158",273,158,677,206,237,127,50,42,80,31,13
2021년09월_여_30~39세,"4,316",496,"1,656",255,154,"1,088",161,173,151,46,32,55,33,16
2021년09월_여_40~49세,"6,003",893,"2,222",390,286,"1,169",234,275,210,75,72,119,28,30
2021년09월_여_50~59세,"6,717","1,024","1,656",553,353,"1,012",538,553,370,134,164,168,116,76
2021년09월_여_60~69세,"7,020","1,196","1,371",644,388,796,674,586,428,190,235,258,133,121
2021년09월_여_70~79세,"4,971",861,893,470,269,523,419,395,377,161,206,223,71,103
2021년09월_여_80~89세,"3,603",637,588,320,167,309,336,322,295,138,144,198,72,77
2021년09월_여_90~99세,672,116,121,55,37,48,61,53,57,38,24,45,9,8
2021년09월_여_100세 이상,22,1,2,4,2,3,3,2,0,1,1,3,0,0
