,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년09월_계_총인구수,"23,345","8,248","2,321","3,772","2,031","2,017","2,415","1,195","1,346"
2020년09월_계_연령구간인구수,"23,345","8,248","2,321","3,772","2,031","2,017","2,415","1,195","1,346"
2020년09월_계_0~9세,699,435,39,89,37,21,44,17,17
2020년09월_계_10~19세,993,597,53,132,54,43,67,24,23
2020년09월_계_20~29세,"1,521",719,112,261,134,111,96,30,58
2020년09월_계_30~39세,"1,359",667,109,185,97,83,110,52,56
2020년09월_계_40~49세,"2,193","1,106",149,307,146,146,177,78,84
2020년09월_계_50~59세,"4,333","1,506",453,713,413,365,413,212,258
2020년09월_계_60~69세,"5,278","1,461",545,966,506,509,594,308,389
2020년09월_계_70~79세,"4,046","1,058",457,683,364,407,522,268,287
2020년09월_계_80~89세,"2,587",614,357,394,241,300,349,182,150
2020년09월_계_90~99세,320,78,44,41,39,29,41,24,24
2020년09월_계_100세 이상,16,7,3,1,0,3,2,0,0
2020년09월_남_총인구수,"11,908","4,267","1,182","1,929","1,035","1,012","1,169",603,711
2020년09월_남_연령구간인구수,"11,908","4,267","1,182","1,929","1,035","1,012","1,169",603,711
2020년09월_남_0~9세,371,236,18,49,22,9,15,11,11
2020년09월_남_10~19세,544,337,30,59,35,20,36,12,15
2020년09월_남_20~29세,918,431,65,162,85,67,53,21,34
2020년09월_남_30~39세,764,359,60,94,60,53,65,35,38
2020년09월_남_40~49세,"1,294",599,96,194,85,102,115,52,51
2020년09월_남_50~59세,"2,437",828,261,401,236,200,231,132,148
2020년09월_남_60~69세,"2,775",749,295,528,257,268,290,160,228
2020년09월_남_70~79세,"1,858",496,211,312,162,188,236,118,135
2020년09월_남_80~89세,883,213,136,124,85,98,120,57,50
2020년09월_남_90~99세,63,18,10,6,8,7,8,5,1
2020년09월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년09월_여_총인구수,"11,437","3,981","1,139","1,843",996,"1,005","1,246",592,635
2020년09월_여_연령구간인구수,"11,437","3,981","1,139","1,843",996,"1,005","1,246",592,635
2020년09월_여_0~9세,328,199,21,40,15,12,29,6,6
2020년09월_여_10~19세,449,260,23,73,19,23,31,12,8
2020년09월_여_20~29세,603,288,47,99,49,44,43,9,24
2020년09월_여_30~39세,595,308,49,91,37,30,45,17,18
2020년09월_여_40~49세,899,507,53,113,61,44,62,26,33
2020년09월_여_50~59세,"1,896",678,192,312,177,165,182,80,110
2020년09월_여_60~69세,"2,503",712,250,438,249,241,304,148,161
2020년09월_여_70~79세,"2,188",562,246,371,202,219,286,150,152
2020년09월_여_80~89세,"1,704",401,221,270,156,202,229,125,100
2020년09월_여_90~99세,257,60,34,35,31,22,33,19,23
2020년09월_여_100세 이상,15,6,3,1,0,3,2,0,0
