카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년02월_계_총인구수,"822,470","78,295","17,306","83,286","39,307","7,349","5,862","6,869","10,941","7,075","9,824","10,264","4,040","11,285","19,162","43,649","28,188","24,494","31,968","13,812","23,378","50,361","35,846","41,596","53,364","37,816","29,197","75,792","22,144"
2020년02월_계_연령구간인구수,"822,470","78,295","17,306","83,286","39,307","7,349","5,862","6,869","10,941","7,075","9,824","10,264","4,040","11,285","19,162","43,649","28,188","24,494","31,968","13,812","23,378","50,361","35,846","41,596","53,364","37,816","29,197","75,792","22,144"
2020년02월_계_0~9세,"105,869","8,544","1,020","10,943","4,094",345,250,273,500,185,317,437,121,454,"3,555","4,718","2,870","2,717","4,574","1,451","1,957","6,604","4,739","6,266","9,909","6,102","4,423","14,656","3,845"
2020년02월_계_10~19세,"93,486","9,678","1,465","9,746","3,389",518,350,452,826,324,471,635,166,820,"1,780","4,070","3,232","4,026","3,892","1,931","2,324","6,997","6,441","5,277","8,403","3,802","2,733","7,863","1,875"
2020년02월_계_20~29세,"97,343","9,402","1,791","9,705","5,222",851,610,722,"1,009",550,"1,000","1,001",392,"1,298","2,270","6,909","4,544","2,825","4,038","1,647","3,062","7,191","3,602","5,667","4,147","3,992","4,080","7,222","2,594"
2020년02월_계_30~39세,"149,915","11,251","1,694","15,943","6,857",681,506,743,904,548,"1,034",906,392,"1,144","4,484","9,332","4,609","3,367","6,035","1,651","3,163","9,677","4,604","8,701","10,064","9,401","7,515","18,625","6,084"
2020년02월_계_40~49세,"157,288","15,389","2,786","16,527","6,406","1,039",695,"1,014","1,469",833,"1,502","1,340",501,"1,716","3,489","7,709","5,184","5,443","5,897","2,793","4,049","10,451","8,768","8,362","12,960","7,249","5,234","14,723","3,760"
2020년02월_계_50~59세,"109,180","11,799","3,446","10,312","6,269","1,559","1,271","1,432","2,183","1,626","2,318","2,230",951,"2,375","2,349","5,619","3,932","3,115","4,327","2,168","4,146","5,968","4,449","3,885","4,980","3,795","2,990","7,482","2,204"
2020년02월_계_60~69세,"63,299","7,177","2,570","5,741","4,086","1,235","1,078","1,153","1,956","1,583","1,778","1,915",802,"1,838",892,"3,178","2,209","1,602","2,147","1,262","2,793","2,173","1,857","1,923","1,897","2,163","1,429","3,621","1,241"
2020년02월_계_70~79세,"30,412","3,489","1,595","2,839","1,938",727,654,687,"1,231",821,834,"1,097",432,"1,001",224,"1,453","1,140",935,722,633,"1,269",904,990,"1,098",705,952,548,"1,128",366
2020년02월_계_80~89세,"13,701","1,341",830,"1,362",915,350,377,343,733,520,494,634,255,555,103,572,418,411,283,247,552,350,348,370,256,317,209,408,148
2020년02월_계_90~99세,"1,869",212,104,158,128,41,68,46,122,76,71,62,27,75,16,87,49,53,51,27,55,44,45,46,43,40,35,61,27
2020년02월_계_100세 이상,108,13,5,10,3,3,3,4,8,9,5,7,1,9,0,2,1,0,2,2,8,2,3,1,0,3,1,3,0
2020년02월_남_총인구수,"425,993","39,684","9,367","44,376","21,346","3,867","3,297","4,073","5,881","3,938","5,921","5,867","2,449","6,518","9,679","23,356","14,413","11,943","16,186","7,082","12,306","25,748","17,642","21,227","26,520","18,890","15,118","38,079","11,220"
2020년02월_남_연령구간인구수,"425,993","39,684","9,367","44,376","21,346","3,867","3,297","4,073","5,881","3,938","5,921","5,867","2,449","6,518","9,679","23,356","14,413","11,943","16,186","7,082","12,306","25,748","17,642","21,227","26,520","18,890","15,118","38,079","11,220"
2020년02월_남_0~9세,"54,193","4,247",532,"5,692","2,119",180,140,149,260,95,175,249,64,243,"1,752","2,409","1,502","1,363","2,309",760,"1,014","3,369","2,402","3,196","5,050","3,167","2,277","7,521","1,957"
2020년02월_남_10~19세,"47,713","4,822",747,"4,999","1,761",275,190,251,454,172,252,344,93,433,904,"2,061","1,652","2,027","1,991","1,014","1,228","3,572","3,271","2,733","4,214","1,920","1,440","3,963",930
2020년02월_남_20~29세,"52,252","5,011","1,086","5,303","3,027",471,366,468,598,358,654,612,253,817,"1,178","3,897","2,479","1,420","2,160",891,"1,764","3,776","1,812","3,036","2,039","1,888","2,016","3,583","1,289"
