카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년12월_계_총인구수,"90,593","30,930","4,071","19,257","5,184","5,191","3,568","3,184","12,654","3,619","2,935"
2020년12월_계_연령구간인구수,"90,593","30,930","4,071","19,257","5,184","5,191","3,568","3,184","12,654","3,619","2,935"
2020년12월_계_0~9세,"6,625","2,834",165,"1,488",185,302,105,104,"1,164",176,102
2020년12월_계_10~19세,"8,817","3,320",254,"2,545",355,467,167,166,"1,160",189,194
2020년12월_계_20~29세,"9,419","3,426",555,"2,195",472,495,272,205,"1,319",265,215
2020년12월_계_30~39세,"9,233","3,726",316,"1,923",375,438,226,181,"1,527",306,215
2020년12월_계_40~49세,"14,569","5,200",546,"3,708",705,742,423,409,"2,066",429,341
2020년12월_계_50~59세,"15,638","5,117",720,"3,461",932,941,593,496,"2,171",638,569
2020년12월_계_60~69세,"13,905","4,433",723,"2,188","1,102",875,809,702,"1,739",728,606
2020년12월_계_70~79세,"8,082","1,945",481,"1,188",711,650,624,581,927,539,436
2020년12월_계_80~89세,"3,750",808,266,491,299,257,301,304,511,297,216
2020년12월_계_90~99세,524,120,44,70,44,18,44,30,68,47,39
2020년12월_계_100세 이상,31,1,1,0,4,6,4,6,2,5,2
2020년12월_남_총인구수,"45,991","15,399","2,232","9,976","2,538","2,631","1,798","1,576","6,498","1,808","1,535"
2020년12월_남_연령구간인구수,"45,991","15,399","2,232","9,976","2,538","2,631","1,798","1,576","6,498","1,808","1,535"
2020년12월_남_0~9세,"3,414","1,462",79,768,102,148,51,59,603,87,55
2020년12월_남_10~19세,"4,589","1,658",148,"1,366",188,245,89,92,597,99,107
2020년12월_남_20~29세,"5,560","1,987",389,"1,314",262,289,171,106,752,157,133
2020년12월_남_30~39세,"4,941","1,947",192,"1,016",199,239,145,107,807,160,129
2020년12월_남_40~49세,"7,580","2,566",321,"1,822",382,423,255,244,"1,112",247,208
2020년12월_남_50~59세,"8,073","2,424",399,"1,865",457,499,318,281,"1,147",344,339
2020년12월_남_60~69세,"6,719","2,149",357,"1,065",527,400,359,323,867,363,309
2020년12월_남_70~79세,"3,654",900,230,564,305,290,295,227,433,234,176
2020년12월_남_80~89세,"1,341",280,108,181,106,91,100,126,171,105,73
2020년12월_남_90~99세,111,26,8,15,8,6,14,11,9,9,5
2020년12월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년12월_여_총인구수,"44,602","15,531","1,839","9,281","2,646","2,560","1,770","1,608","6,156","1,811","1,400"
2020년12월_여_연령구간인구수,"44,602","15,531","1,839","9,281","2,646","2,560","1,770","1,608","6,156","1,811","1,400"
2020년12월_여_0~9세,"3,211","1,372",86,720,83,154,54,45,561,89,47
2020년12월_여_10~19세,"4,228","1,662",106,"1,179",167,222,78,74,563,90,87
2020년12월_여_20~29세,"3,859","1,439",166,881,210,206,101,99,567,108,82
2020년12월_여_30~39세,"4,292","1,779",124,907,176,199,81,74,720,146,86
2020년12월_여_40~49세,"6,989","2,634",225,"1,886",323,319,168,165,954,182,133
2020년12월_여_50~59세,"7,565","2,693",321,"1,596",475,442,275,215,"1,024",294,230
2020년12월_여_60~69세,"7,186","2,284",366,"1,123",575,475,450,379,872,365,297
2020년12월_여_70~79세,"4,428","1,045",251,624,406,360,329,354,494,305,260
2020년12월_여_80~89세,"2,409",528,158,310,193,166,201,178,340,192,143
2020년12월_여_90~99세,413,94,36,55,36,12,30,19,59,38,34
2020년12월_여_100세 이상,22,1,0,0,2,5,3,6,2,2,1
