카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년08월_계_총인구수,"103,386","7,292","3,203","2,956","5,425","4,264","4,663","4,585","5,172","2,893","3,163","4,567","8,250","5,415","7,892","19,378","14,268"
2021년08월_계_연령구간인구수,"103,386","7,292","3,203","2,956","5,425","4,264","4,663","4,585","5,172","2,893","3,163","4,567","8,250","5,415","7,892","19,378","14,268"
2021년08월_계_0~9세,"5,467",250,95,60,148,153,181,110,155,63,74,188,463,332,292,"1,325","1,578"
2021년08월_계_10~19세,"7,984",395,119,126,277,191,353,210,278,157,89,316,674,566,528,"2,007","1,698"
2021년08월_계_20~29세,"10,898",439,201,184,308,320,459,273,355,174,147,580,922,730,844,"3,212","1,750"
2021년08월_계_30~39세,"9,104",450,195,176,279,312,341,236,334,146,160,370,825,521,641,"2,265","1,853"
2021년08월_계_40~49세,"12,995",743,257,219,453,467,586,413,506,239,294,561,"1,151",774,981,"2,942","2,409"
2021년08월_계_50~59세,"17,900","1,241",584,460,986,947,930,765,903,496,578,779,"1,381",856,"1,509","3,263","2,222"
2021년08월_계_60~69세,"19,304","1,833",754,701,"1,406","1,052",909,"1,177","1,192",704,888,799,"1,465",892,"1,562","2,460","1,510"
2021년08월_계_70~79세,"11,386","1,126",534,530,875,510,498,721,796,472,551,588,843,463,954,"1,207",718
2021년08월_계_80~89세,"7,203",721,400,424,597,264,346,575,564,390,323,326,460,243,514,608,448
2021년08월_계_90~99세,"1,104",91,61,73,95,47,58,104,84,49,53,60,61,36,66,87,79
2021년08월_계_100세 이상,41,3,3,3,1,1,2,1,5,3,6,0,5,2,1,2,3
2021년08월_남_총인구수,"51,672","3,666","1,635","1,532","2,782","2,239","2,408","2,378","2,674","1,453","1,418","2,286","4,051","2,716","3,964","9,429","7,041"
2021년08월_남_연령구간인구수,"51,672","3,666","1,635","1,532","2,782","2,239","2,408","2,378","2,674","1,453","1,418","2,286","4,051","2,716","3,964","9,429","7,041"
2021년08월_남_0~9세,"2,833",142,42,32,79,94,88,63,82,33,35,100,251,172,152,677,791
2021년08월_남_10~19세,"4,119",197,80,61,147,108,171,120,138,76,50,173,329,278,274,"1,024",893
2021년08월_남_20~29세,"5,976",267,118,120,180,188,280,170,209,91,90,316,498,370,493,"1,637",949
2021년08월_남_30~39세,"4,881",273,106,103,156,180,191,133,200,90,80,203,456,287,365,"1,171",887
2021년08월_남_40~49세,"6,850",436,163,140,273,241,319,258,309,144,131,312,604,397,540,"1,420","1,163"
2021년08월_남_50~59세,"9,230",613,325,266,582,515,500,414,519,275,249,399,689,442,765,"1,568","1,109"
2021년08월_남_60~69세,"9,688",931,405,377,709,542,483,635,617,370,403,392,690,458,766,"1,145",765
2021년08월_남_70~79세,"5,246",519,252,255,435,249,248,345,386,210,240,254,361,230,398,540,324
2021년08월_남_80~89세,"2,557",262,123,161,196,107,116,210,186,153,124,122,161,78,190,228,140
2021년08월_남_90~99세,284,25,21,17,24,15,12,30,28,10,16,15,11,3,21,17,19
2021년08월_남_100세 이상,8,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1
2021년08월_여_총인구수,"51,714","3,626","1,568","1,424","2,643","2,025","2,255","2,207","2,498","1,440","1,745","2,281","4,199","2,699","3,928","9,949","7,227"
2021년08월_여_연령구간인구수,"51,714","3,626","1,568","1,424","2,643","2,025","2,255","2,207","2,498","1,440","1,745","2,281","4,199","2,699","3,928","9,949","7,227"
2021년08월_여_0~9세,"2,634",108,53,28,69,59,93,47,73,30,39,88,212,160,140,648,787
2021년08월_여_10~19세,"3,865",198,39,65,130,83,182,90,140,81,39,143,345,288,254,983,805
2021년08월_여_20~29세,"4,922",172,83,64,128,132,179,103,146,83,57,264,424,360,351,"1,575",801
2021년08월_여_30~39세,"4,223",177,89,73,123,132,150,103,134,56,80,167,369,234,276,"1,094",966
2021년08월_여_40~49세,"6,145",307,94,79,180,226,267,155,197,95,163,249,547,377,441,"1,522","1,246"
2021년08월_여_50~59세,"8,670",628,259,194,404,432,430,351,384,221,329,380,692,414,744,"1,695","1,113"
2021년08월_여_60~69세,"9,616",902,349,324,697,510,426,542,575,334,485,407,775,434,796,"1,315",745
2021년08월_여_70~79세,"6,140",607,282,275,440,261,250,376,410,262,311,334,482,233,556,667,394
2021년08월_여_80~89세,"4,646",459,277,263,401,157,230,365,378,237,199,204,299,165,324,380,308
2021년08월_여_90~99세,820,66,40,56,71,32,46,74,56,39,37,45,50,33,45,70,60
2021년08월_여_100세 이상,33,2,3,3,0,1,2,1,5,2,6,0,4,1,1,0,2
