카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년06월_계_총인구수,"145,105","12,185","9,151","12,786","16,756","11,438","10,397","10,931","11,115","6,982","9,658","15,842","9,211","8,653"
2021년06월_계_연령구간인구수,"145,105","12,185","9,151","12,786","16,756","11,438","10,397","10,931","11,115","6,982","9,658","15,842","9,211","8,653"
2021년06월_계_0~9세,"6,664",747,338,962,820,481,374,356,448,240,526,740,317,315
2021년06월_계_10~19세,"9,206","1,031",511,"1,044","1,289",725,596,580,623,384,627,885,473,438
2021년06월_계_20~29세,"20,261","1,237","1,107","1,268","2,067","1,808","2,009","1,533","1,615","1,386","1,461","2,394","1,323","1,053"
2021년06월_계_30~39세,"16,971","1,223","1,112","1,551","1,796","1,349","1,264","1,147","1,217",827,"1,256","2,145","1,115",969
2021년06월_계_40~49세,"19,843","1,924","1,306","1,832","2,425","1,519","1,318","1,459","1,338",832,"1,402","2,281","1,164","1,043"
2021년06월_계_50~59세,"24,571","2,008","1,627","2,079","2,907","2,012","1,614","1,919","2,000","1,108","1,557","2,640","1,574","1,526"
2021년06월_계_60~69세,"24,265","1,745","1,557","2,047","2,825","1,913","1,563","2,026","2,096","1,098","1,477","2,471","1,697","1,750"
2021년06월_계_70~79세,"14,904","1,367",951,"1,216","1,626","1,091","1,081","1,289","1,193",716,863,"1,515",985,"1,011"
2021년06월_계_80~89세,"7,449",779,581,689,890,468,522,554,518,347,427,670,510,494
2021년06월_계_90~99세,950,123,61,95,109,71,55,66,64,43,58,101,51,53
2021년06월_계_100세 이상,21,1,0,3,2,1,1,2,3,1,4,0,2,1
2021년06월_남_총인구수,"69,755","5,752","4,418","6,106","7,998","5,588","4,934","5,405","5,395","3,316","4,626","7,729","4,361","4,127"
2021년06월_남_연령구간인구수,"69,755","5,752","4,418","6,106","7,998","5,588","4,934","5,405","5,395","3,316","4,626","7,729","4,361","4,127"
2021년06월_남_0~9세,"3,441",414,173,492,428,256,183,194,213,143,245,383,159,158
2021년06월_남_10~19세,"4,839",562,282,505,662,389,289,314,336,211,335,470,254,230
2021년06월_남_20~29세,"10,079",627,534,666,"1,050",909,939,771,846,596,715,"1,210",654,562
2021년06월_남_30~39세,"8,967",609,601,806,916,709,684,650,673,418,643,"1,122",589,547
2021년06월_남_40~49세,"10,057",950,672,891,"1,168",790,676,809,689,447,676,"1,169",592,528
2021년06월_남_50~59세,"12,016",991,810,958,"1,447",962,804,"1,001",991,549,779,"1,275",729,720
2021년06월_남_60~69세,"11,118",750,740,954,"1,265",894,725,935,959,508,700,"1,155",759,774
2021년06월_남_70~79세,"6,345",546,382,549,696,481,453,534,515,309,376,656,435,413
2021년06월_남_80~89세,"2,686",277,215,258,337,181,170,187,163,123,149,268,178,180
2021년06월_남_90~99세,204,26,9,27,29,17,11,9,10,12,8,21,11,14
2021년06월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,0,0,1,1
2021년06월_여_총인구수,"75,350","6,433","4,733","6,680","8,758","5,850","5,463","5,526","5,720","3,666","5,032","8,113","4,850","4,526"
2021년06월_여_연령구간인구수,"75,350","6,433","4,733","6,680","8,758","5,850","5,463","5,526","5,720","3,666","5,032","8,113","4,850","4,526"
2021년06월_여_0~9세,"3,223",333,165,470,392,225,191,162,235,97,281,357,158,157
2021년06월_여_10~19세,"4,367",469,229,539,627,336,307,266,287,173,292,415,219,208
2021년06월_여_20~29세,"10,182",610,573,602,"1,017",899,"1,070",762,769,790,746,"1,184",669,491
2021년06월_여_30~39세,"8,004",614,511,745,880,640,580,497,544,409,613,"1,023",526,422
2021년06월_여_40~49세,"9,786",974,634,941,"1,257",729,642,650,649,385,726,"1,112",572,515
2021년06월_여_50~59세,"12,555","1,017",817,"1,121","1,460","1,050",810,918,"1,009",559,778,"1,365",845,806
2021년06월_여_60~69세,"13,147",995,817,"1,093","1,560","1,019",838,"1,091","1,137",590,777,"1,316",938,976
2021년06월_여_70~79세,"8,559",821,569,667,930,610,628,755,678,407,487,859,550,598
2021년06월_여_80~89세,"4,763",502,366,431,553,287,352,367,355,224,278,402,332,314
2021년06월_여_90~99세,746,97,52,68,80,54,44,57,54,31,50,80,40,39
2021년06월_여_100세 이상,18,1,0,3,2,1,1,1,3,1,4,0,1,0
