,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년11월_계_총인구수,"1,137,345","218,096","320,716","157,111","218,882","222,540"
2020년11월_계_연령구간인구수,"1,137,345","218,096","320,716","157,111","218,882","222,540"
2020년11월_계_0~9세,"98,943","16,705","24,008","15,012","25,313","17,905"
2020년11월_계_10~19세,"112,596","20,195","30,652","15,594","23,667","22,488"
2020년11월_계_20~29세,"145,257","27,045","45,988","17,823","27,885","26,516"
2020년11월_계_30~39세,"152,323","26,495","42,356","23,186","34,316","25,970"
2020년11월_계_40~49세,"188,183","34,404","51,785","26,021","38,559","37,414"
2020년11월_계_50~59세,"209,890","41,551","61,988","25,801","38,730","41,820"
2020년11월_계_60~69세,"144,424","31,679","41,222","22,612","19,566","29,345"
2020년11월_계_70~79세,"59,874","14,202","16,396","8,198","7,387","13,691"
2020년11월_계_80~89세,"22,602","5,145","5,610","2,465","2,998","6,384"
2020년11월_계_90~99세,"3,081",618,677,373,440,973
2020년11월_계_100세 이상,172,57,34,26,21,34
2020년11월_남_총인구수,"584,305","110,500","163,513","82,126","113,325","114,841"
2020년11월_남_연령구간인구수,"584,305","110,500","163,513","82,126","113,325","114,841"
2020년11월_남_0~9세,"50,834","8,620","12,361","7,684","12,998","9,171"
2020년11월_남_10~19세,"59,281","10,789","16,211","8,227","12,352","11,702"
2020년11월_남_20~29세,"81,504","15,078","25,620","10,047","15,725","15,034"
2020년11월_남_30~39세,"80,872","13,892","22,529","12,767","17,862","13,822"
2020년11월_남_40~49세,"95,742","17,512","25,239","14,142","19,717","19,132"
2020년11월_남_50~59세,"106,843","20,715","31,188","12,788","20,014","22,138"
2020년11월_남_60~69세,"72,840","15,450","20,487","11,440","10,278","15,185"
2020년11월_남_70~79세,"28,376","6,531","7,821","4,172","3,427","6,425"
2020년11월_남_80~89세,"7,459","1,796","1,927",803,883,"2,050"
2020년11월_남_90~99세,520,105,122,51,65,177
2020년11월_남_100세 이상,34,12,8,5,4,5
2020년11월_여_총인구수,"553,040","107,596","157,203","74,985","105,557","107,699"
2020년11월_여_연령구간인구수,"553,040","107,596","157,203","74,985","105,557","107,699"
2020년11월_여_0~9세,"48,109","8,085","11,647","7,328","12,315","8,734"
2020년11월_여_10~19세,"53,315","9,406","14,441","7,367","11,315","10,786"
2020년11월_여_20~29세,"63,753","11,967","20,368","7,776","12,160","11,482"
2020년11월_여_30~39세,"71,451","12,603","19,827","10,419","16,454","12,148"
2020년11월_여_40~49세,"92,441","16,892","26,546","11,879","18,842","18,282"
2020년11월_여_50~59세,"103,047","20,836","30,800","13,013","18,716","19,682"
2020년11월_여_60~69세,"71,584","16,229","20,735","11,172","9,288","14,160"
2020년11월_여_70~79세,"31,498","7,671","8,575","4,026","3,960","7,266"
2020년11월_여_80~89세,"15,143","3,349","3,683","1,662","2,115","4,334"
2020년11월_여_90~99세,"2,561",513,555,322,375,796
2020년11월_여_100세 이상,138,45,26,21,17,29
