,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년04월_계_총인구수,"42,757","6,817","18,339","8,946","8,655"
2020년04월_계_연령구간인구수,"42,757","6,817","18,339","8,946","8,655"
2020년04월_계_0~9세,"4,047",633,"1,280","1,352",782
2020년04월_계_10~19세,"6,483",891,"2,427","2,038","1,127"
2020년04월_계_20~29세,"4,879",728,"2,376",779,996
2020년04월_계_30~39세,"4,712",690,"1,668","1,410",944
2020년04월_계_40~49세,"8,453","1,112","3,239","2,531","1,571"
2020년04월_계_50~59세,"6,838","1,290","3,446",662,"1,440"
2020년04월_계_60~69세,"4,153",901,"2,037",89,"1,126"
2020년04월_계_70~79세,"1,947",366,"1,091",56,434
2020년04월_계_80~89세,"1,066",166,672,26,202
2020년04월_계_90~99세,169,37,98,3,31
2020년04월_계_100세 이상,10,3,5,0,2
2020년04월_남_총인구수,"21,294","3,309","8,998","4,634","4,353"
2020년04월_남_연령구간인구수,"21,294","3,309","8,998","4,634","4,353"
2020년04월_남_0~9세,"2,060",312,675,680,393
2020년04월_남_10~19세,"3,384",455,"1,275","1,056",598
2020년04월_남_20~29세,"2,729",386,"1,306",449,588
2020년04월_남_30~39세,"2,319",326,845,682,466
2020년04월_남_40~49세,"4,097",516,"1,530","1,309",742
2020년04월_남_50~59세,"3,447",637,"1,687",412,711
2020년04월_남_60~69세,"2,015",446,984,22,563
2020년04월_남_70~79세,871,179,468,15,209
2020년04월_남_80~89세,337,48,207,8,74
2020년04월_남_90~99세,35,4,21,1,9
2020년04월_남_100세 이상,0,0,0,0,0
2020년04월_여_총인구수,"21,463","3,508","9,341","4,312","4,302"
2020년04월_여_연령구간인구수,"21,463","3,508","9,341","4,312","4,302"
2020년04월_여_0~9세,"1,987",321,605,672,389
2020년04월_여_10~19세,"3,099",436,"1,152",982,529
2020년04월_여_20~29세,"2,150",342,"1,070",330,408
2020년04월_여_30~39세,"2,393",364,823,728,478
2020년04월_여_40~49세,"4,356",596,"1,709","1,222",829
2020년04월_여_50~59세,"3,391",653,"1,759",250,729
2020년04월_여_60~69세,"2,138",455,"1,053",67,563
2020년04월_여_70~79세,"1,076",187,623,41,225
2020년04월_여_80~89세,729,118,465,18,128
2020년04월_여_90~99세,134,33,77,2,22
2020년04월_여_100세 이상,10,3,5,0,2
