카테고리,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년02월_계_총인구수,"476,945","22,749","15,192","17,537","16,455","16,261","12,463","27,543","19,320","12,275","23,942","21,671","25,170","11,236","14,995","21,702","41,555","15,808","50,666","3,810","17,156","36,360","12,966","20,113"
2021년02월_계_연령구간인구수,"476,945","22,749","15,192","17,537","16,455","16,261","12,463","27,543","19,320","12,275","23,942","21,671","25,170","11,236","14,995","21,702","41,555","15,808","50,666","3,810","17,156","36,360","12,966","20,113"
2021년02월_계_0~9세,"37,628","2,143",711,848,"1,101",984,625,"1,708","1,197",849,"1,906","1,133","1,458",384,772,"1,818","5,362","1,297","6,258",101,"1,654","3,164",965,"1,190"
2021년02월_계_10~19세,"49,273","3,025","1,012","1,415","1,464","1,237",637,"2,429","1,279","1,128","2,657","1,671","2,057",564,"1,309","2,710","4,734","1,624","6,160",164,"3,398","4,324","1,331","2,944"
2021년02월_계_20~29세,"73,777","2,828","2,457","2,480","2,040","2,160","2,471","5,431","4,553","1,670","3,161","4,207","5,650","2,835","1,869","2,780","5,052","2,785","6,822",296,"1,656","5,511","2,393","2,670"
2021년02월_계_30~39세,"65,617","2,654","1,593","1,827","1,757","2,011","2,142","4,652","3,579","1,490","2,724","3,449","4,200","1,850","1,540","2,638","6,630","2,046","8,140",271,"1,418","5,364","1,956","1,686"
2021년02월_계_40~49세,"78,138","4,337","1,819","2,413","2,315","2,292","1,727","4,507","2,827","1,881","4,048","3,113","3,816","1,547","1,949","3,433","7,800","2,379","9,507",409,"4,013","6,392","2,150","3,464"
2021년02월_계_50~59세,"77,428","3,529","2,665","3,006","3,125","2,946","1,792","4,415","2,553","1,973","3,926","3,429","4,075","1,927","2,846","3,952","5,701","2,813","7,502",717,"2,426","6,308","2,227","3,575"
2021년02월_계_60~69세,"55,653","2,474","2,700","3,058","2,711","2,592","1,666","2,676","1,959","1,815","3,130","2,965","2,530","1,301","2,552","2,930","3,937","1,607","3,713",764,"1,340","3,482","1,247","2,504"
2021년02월_계_70~79세,"26,176","1,214","1,546","1,672","1,285","1,402",942,"1,105",949,"1,007","1,663","1,175",906,569,"1,292",934,"1,570",801,"1,693",597,817,"1,190",459,"1,388"
2021년02월_계_80~89세,"11,456",474,607,720,570,550,405,544,365,397,640,457,432,224,730,437,647,400,754,395,366,544,199,599
2021년02월_계_90~99세,"1,704",68,76,93,85,81,51,73,54,61,81,64,45,33,134,69,116,54,108,91,65,77,39,86
2021년02월_계_100세 이상,95,3,6,5,2,6,5,3,5,4,6,8,1,2,2,1,6,2,9,5,3,4,0,7
2021년02월_남_총인구수,"234,558","11,187","7,698","8,857","8,053","8,281","5,927","13,275","9,384","5,944","11,513","11,045","12,598","6,018","7,131","10,657","20,437","7,546","24,780","1,960","8,443","17,618","6,493","9,713"
2021년02월_남_연령구간인구수,"234,558","11,187","7,698","8,857","8,053","8,281","5,927","13,275","9,384","5,944","11,513","11,045","12,598","6,018","7,131","10,657","20,437","7,546","24,780","1,960","8,443","17,618","6,493","9,713"
2021년02월_남_0~9세,"19,404","1,097",384,464,581,528,334,906,606,428,963,608,740,204,377,925,"2,748",667,"3,202",60,845,"1,635",486,616
2021년02월_남_10~19세,"25,424","1,534",522,740,776,650,326,"1,281",659,562,"1,278",884,974,302,675,"1,469","2,416",844,"3,160",85,"1,785","2,253",691,"1,558"
2021년02월_남_20~29세,"37,579","1,440","1,345","1,375","1,096","1,164","1,122","2,493","2,079",853,"1,660","2,216","2,899","1,521","1,003","1,525","2,532","1,313","3,446",165,878,"2,720","1,308","1,426"
2021년02월_남_30~39세,"33,548","1,302",898,999,902,"1,107","1,115","2,370","1,903",761,"1,362","1,973","2,260","1,117",798,"1,253","3,186","1,035","3,996",162,594,"2,578","1,046",831
2021년02월_남_40~49세,"37,846","2,074","1,002","1,296","1,130","1,200",896,"2,134","1,467",916,"1,920","1,559","1,946",874,910,"1,567","3,921","1,083","4,506",246,"1,800","2,876","1,012","1,511"
2021년02월_남_50~59세,"37,462","1,756","1,302","1,478","1,434","1,490",823,"2,126","1,167",951,"1,858","1,630","1,979",986,"1,329","1,812","2,740","1,303","3,723",389,"1,307","3,040","1,056","1,783"
2021년02월_남_60~69세,"26,730","1,180","1,269","1,419","1,334","1,251",739,"1,282",926,829,"1,423","1,392","1,208",653,"1,266","1,498","1,892",820,"1,732",427,669,"1,753",614,"1,154"
2021년02월_남_70~79세,"12,028",601,722,777,580,639,410,481,421,470,781,600,438,273,541,441,737,331,766,273,387,552,200,607
2021년02월_남_80~89세,"4,123",187,232,287,198,232,145,188,144,160,243,171,145,80,202,152,236,136,231,133,153,192,70,206
2021년02월_남_90~99세,396,15,21,22,21,19,16,14,12,14,22,10,9,7,29,15,28,14,15,20,23,19,10,21
2021년02월_남_100세 이상,18,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,1,0,3,0,2,0,0,0
2021년02월_여_총인구수,"242,387","11,562","7,494","8,680","8,402","7,980","6,536","14,268","9,936","6,331","12,429","10,626","12,572","5,218","7,864","11,045","21,118","8,262","25,886","1,850","8,713","18,742","6,473","10,400"
2021년02월_여_연령구간인구수,"242,387","11,562","7,494","8,680","8,402","7,980","6,536","14,268","9,936","6,331","12,429","10,626","12,572","5,218","7,864","11,045","21,118","8,262","25,886","1,850","8,713","18,742","6,473","10,400"
2021년02월_여_0~9세,"18,224","1,046",327,384,520,456,291,802,591,421,943,525,718,180,395,893,"2,614",630,"3,056",41,809,"1,529",479,574
2021년02월_여_10~19세,"23,849","1,491",490,675,688,587,311,"1,148",620,566,"1,379",787,"1,083",262,634,"1,241","2,318",780,"3,000",79,"1,613","2,071",640,"1,386"
2021년02월_여_20~29세,"36,198","1,388","1,112","1,105",944,996,"1,349","2,938","2,474",817,"1,501","1,991","2,751","1,314",866,"1,255","2,520","1,472","3,376",131,778,"2,791","1,085","1,244"
2021년02월_여_30~39세,"32,069","1,352",695,828,855,904,"1,027","2,282","1,676",729,"1,362","1,476","1,940",733,742,"1,385","3,444","1,011","4,144",109,824,"2,786",910,855
2021년02월_여_40~49세,"40,292","2,263",817,"1,117","1,185","1,092",831,"2,373","1,360",965,"2,128","1,554","1,870",673,"1,039","1,866","3,879","1,296","5,001",163,"2,213","3,516","1,138","1,953"
2021년02월_여_50~59세,"39,966","1,773","1,363","1,528","1,691","1,456",969,"2,289","1,386","1,022","2,068","1,799","2,096",941,"1,517","2,140","2,961","1,510","3,779",328,"1,119","3,268","1,171","1,792"
2021년02월_여_60~69세,"28,923","1,294","1,431","1,639","1,377","1,341",927,"1,394","1,033",986,"1,707","1,573","1,322",648,"1,286","1,432","2,045",787,"1,981",337,671,"1,729",633,"1,350"
2021년02월_여_70~79세,"14,148",613,824,895,705,763,532,624,528,537,882,575,468,296,751,493,833,470,927,324,430,638,259,781
2021년02월_여_80~89세,"7,333",287,375,433,372,318,260,356,221,237,397,286,287,144,528,285,411,264,523,262,213,352,129,393
2021년02월_여_90~99세,"1,308",53,55,71,64,62,35,59,42,47,59,54,36,26,105,54,88,40,93,71,42,58,29,65
2021년02월_여_100세 이상,77,2,5,5,1,5,4,3,5,4,3,6,1,1,1,1,5,2,6,5,1,4,0,7
