,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년12월_계_총인구수,"940,064","241,701","13,510","20,144","11,265","15,550","15,712","13,556","13,539","12,595","16,110","15,836","10,691","9,992","11,123","45,425","4,782","8,607","3,264","216,131","33,921","14,064","7,029","24,649","10,665","24,562","25,874","13,794","12,571","21,179","27,823","482,232","26,445","18,124","10,690","14,012","19,721","31,031","15,954","15,555","32,363","18,784","25,960","13,759","17,660","16,847","29,151","23,932","24,930","27,710","28,820","17,792","31,413","21,579"
2020년12월_계_연령구간인구수,"940,064","241,701","13,510","20,144","11,265","15,550","15,712","13,556","13,539","12,595","16,110","15,836","10,691","9,992","11,123","45,425","4,782","8,607","3,264","216,131","33,921","14,064","7,029","24,649","10,665","24,562","25,874","13,794","12,571","21,179","27,823","482,232","26,445","18,124","10,690","14,012","19,721","31,031","15,954","15,555","32,363","18,784","25,960","13,759","17,660","16,847","29,151","23,932","24,930","27,710","28,820","17,792","31,413","21,579"
2020년12월_계_0~9세,"68,835","15,869",510,"1,778",420,512,753,632,706,392,792,"1,071",529,604,743,"5,050",515,701,161,"13,260","1,585",876,431,"1,265",663,"1,294","1,664",534,573,"1,473","2,902","39,706","1,998","1,278","1,188","1,031","1,443","2,064",919,"1,326","2,463","1,440","2,307","1,029","1,337","1,278","2,198","3,046","2,774","2,924","1,903","1,356","2,226","2,178"
2020년12월_계_10~19세,"87,839","17,565",723,"1,609",647,778,"1,111",916,"1,200",690,"1,084","1,283",891,930,438,"4,128",442,528,167,"16,587","1,970",871,459,"1,937","1,028","2,005","1,834",979,893,"1,769","2,842","53,687","2,980","2,242","1,975","2,450","1,930","3,304","1,388","1,771","4,348","2,337","3,123","1,853","1,301","1,808","2,085","3,428","3,041","3,115","2,360","1,686","2,750","2,412"
2020년12월_계_20~29세,"132,278","35,235","2,018","2,635","1,749","2,806","2,507","1,945","2,073","1,768","2,345","2,183","1,365","1,395","2,281","5,483",741,"1,412",529,"31,252","5,873","1,563",946,"3,829","1,812","3,652","3,512","1,783","1,795","3,146","3,341","65,791","3,729","2,501",969,"1,859","3,124","4,753","2,073","2,056","4,598","2,777","3,401","1,800","2,751","2,147","4,177","2,360","3,069","3,829","4,101","2,698","4,554","2,465"
2020년12월_계_30~39세,"137,008","35,971","1,819","3,425","1,533","2,179","2,166","1,740","1,642","1,460","2,104","2,222","1,334","1,137","2,628","7,333",887,"1,833",529,"31,123","5,826","1,918","1,105","3,375","1,397","3,049","4,007","1,613","1,580","2,901","4,352","69,914","3,633","2,456",888,"1,532","3,505","5,021","2,954","2,294","4,257","2,378","3,615","1,356","2,890","2,100","5,377","3,129","3,594","3,839","4,667","2,809","4,501","3,119"
2020년12월_계_40~49세,"157,165","37,651","2,024","3,005","1,748","2,110","2,277","2,034","2,149","1,762","2,328","2,453","1,832","1,641","2,009","8,008",761,"1,079",431,"32,908","4,791","2,198","1,045","3,700","1,633","3,714","3,996","1,995","1,811","3,058","4,967","86,606","4,638","3,746","2,647","3,176","3,224","5,924","2,665","2,836","6,353","3,271","4,664","2,405","2,763","2,790","4,359","5,277","4,690","4,710","4,425","2,984","5,000","4,059"
2020년12월_계_50~59세,"155,792","41,247","2,531","3,484","2,142","2,719","2,804","2,556","2,383","2,543","2,879","2,743","1,828","1,742","1,326","7,146",608,"1,317",496,"38,243","5,577","2,618","1,225","4,330","1,779","4,476","4,620","2,924","2,555","3,947","4,192","76,302","4,286","2,833","1,470","2,101","2,926","4,801","2,385","2,408","5,015","3,313","4,113","2,404","2,678","2,599","4,574","3,410","3,953","4,780","4,587","2,921","5,231","3,514"
2020년12월_계_60~69세,"113,617","33,482","2,233","2,675","1,701","2,411","2,260","2,114","1,809","2,198","2,592","2,144","1,534","1,387","1,065","5,256",519,"1,040",544,"30,714","4,684","2,314","1,086","3,611","1,304","3,437","3,729","2,324","1,990","3,085","3,150","49,421","2,878","1,395",764,"1,102","2,090","2,491","1,750","1,426","2,733","1,928","2,619","1,623","2,267","2,229","3,751","1,977","2,339","2,784","3,496","1,821","3,515","2,443"
2020년12월_계_70~79세,"57,948","17,169","1,139","1,097",954,"1,433","1,247","1,107","1,063","1,233","1,433","1,179",982,810,463,"2,030",214,491,294,"15,306","2,492","1,181",484,"1,823",728,"2,048","1,783","1,158",957,"1,246","1,406","25,473","1,449",930,479,490,"1,012","1,678","1,030",814,"1,547",829,"1,355",806,"1,114","1,198","1,722",875,980,"1,161","2,005",941,"2,123",935
