,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년07월_계_총인구수,"214,584","11,125","17,059","8,767","4,503","11,271","12,847","18,587","33,361","22,769","22,192","20,284","10,901","20,918"
2021년07월_계_연령구간인구수,"214,584","11,125","17,059","8,767","4,503","11,271","12,847","18,587","33,361","22,769","22,192","20,284","10,901","20,918"
2021년07월_계_0~9세,"15,859",516,"1,322",391,205,909,414,"1,261","3,315",980,"1,421","1,949","1,303","1,873"
2021년07월_계_10~19세,"19,668",678,"1,296",591,295,"1,080",629,"1,534","3,663","1,944","2,210","1,935","1,273","2,540"
2021년07월_계_20~29세,"25,864","1,288","2,056","1,256",545,"1,471","1,517","2,201","3,697","3,096","2,858","2,149","1,306","2,424"
2021년07월_계_30~39세,"25,662","1,339","2,378","1,023",480,"1,573","1,263","2,257","4,250","2,010","2,249","2,726","1,622","2,492"
2021년07월_계_40~49세,"33,548","1,506","2,576","1,118",517,"1,770","1,542","2,707","5,904","3,242","3,229","3,406","1,817","4,214"
2021년07월_계_50~59세,"40,402","1,938","3,314","1,741",895,"2,022","2,495","3,350","5,768","5,006","4,655","3,584","1,983","3,651"
2021년07월_계_60~69세,"33,052","2,103","2,678","1,543",955,"1,491","2,846","3,160","4,398","3,884","3,613","2,990","1,079","2,312"
2021년07월_계_70~79세,"14,559","1,259","1,041",790,444,682,"1,509","1,439","1,726","1,805","1,419","1,093",363,989
2021년07월_계_80~89세,"5,329",443,352,276,153,241,584,611,556,730,475,410,134,364
2021년07월_계_90~99세,626,53,44,38,14,32,48,67,82,72,60,40,20,56
2021년07월_계_100세 이상,15,2,2,0,0,0,0,0,2,0,3,2,1,3
2021년07월_남_총인구수,"108,678","5,679","8,851","4,467","2,272","5,609","6,637","9,313","16,621","11,563","11,262","10,247","5,468","10,689"
2021년07월_남_연령구간인구수,"108,678","5,679","8,851","4,467","2,272","5,609","6,637","9,313","16,621","11,563","11,262","10,247","5,468","10,689"
2021년07월_남_0~9세,"8,161",257,672,214,122,442,226,679,"1,758",484,715,972,651,969
2021년07월_남_10~19세,"10,478",358,676,314,160,565,324,830,"1,921","1,077","1,196","1,036",671,"1,350"
2021년07월_남_20~29세,"14,447",702,"1,135",677,296,805,863,"1,225","2,092","1,782","1,628","1,207",717,"1,318"
2021년07월_남_30~39세,"13,516",749,"1,294",572,287,847,765,"1,171","2,074","1,130","1,178","1,393",776,"1,280"
2021년07월_남_40~49세,"17,145",862,"1,392",601,263,872,843,"1,381","2,888","1,601","1,590","1,800",886,"2,166"
2021년07월_남_50~59세,"20,097","1,028","1,714",858,421,967,"1,294","1,640","2,725","2,486","2,316","1,754",996,"1,898"
2021년07월_남_60~69세,"16,112","1,011","1,318",733,468,694,"1,439","1,529","2,140","1,913","1,764","1,451",546,"1,106"
2021년07월_남_70~79세,"6,738",545,510,390,199,335,655,620,823,835,685,499,165,477
2021년07월_남_80~89세,"1,884",159,136,101,53,76,218,220,191,241,183,132,55,119
2021년07월_남_90~99세,98,8,4,7,3,6,10,18,9,14,7,2,5,5
2021년07월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년07월_여_총인구수,"105,906","5,446","8,208","4,300","2,231","5,662","6,210","9,274","16,740","11,206","10,930","10,037","5,433","10,229"
2021년07월_여_연령구간인구수,"105,906","5,446","8,208","4,300","2,231","5,662","6,210","9,274","16,740","11,206","10,930","10,037","5,433","10,229"
2021년07월_여_0~9세,"7,698",259,650,177,83,467,188,582,"1,557",496,706,977,652,904
2021년07월_여_10~19세,"9,190",320,620,277,135,515,305,704,"1,742",867,"1,014",899,602,"1,190"
2021년07월_여_20~29세,"11,417",586,921,579,249,666,654,976,"1,605","1,314","1,230",942,589,"1,106"
2021년07월_여_30~39세,"12,146",590,"1,084",451,193,726,498,"1,086","2,176",880,"1,071","1,333",846,"1,212"
2021년07월_여_40~49세,"16,403",644,"1,184",517,254,898,699,"1,326","3,016","1,641","1,639","1,606",931,"2,048"
2021년07월_여_50~59세,"20,305",910,"1,600",883,474,"1,055","1,201","1,710","3,043","2,520","2,339","1,830",987,"1,753"
2021년07월_여_60~69세,"16,940","1,092","1,360",810,487,797,"1,407","1,631","2,258","1,971","1,849","1,539",533,"1,206"
2021년07월_여_70~79세,"7,821",714,531,400,245,347,854,819,903,970,734,594,198,512
2021년07월_여_80~89세,"3,445",284,216,175,100,165,366,391,365,489,292,278,79,245
2021년07월_여_90~99세,528,45,40,31,11,26,38,49,73,58,53,38,15,51
2021년07월_여_100세 이상,13,2,2,0,0,0,0,0,2,0,3,1,1,2
