,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년04월_계_총인구수,"133,638","6,801","1,979","1,278","2,042","2,233",710,"3,274","4,628","18,947","9,941","6,025","4,996","10,339","17,932","11,256","15,863","15,394"
2020년04월_계_연령구간인구수,"133,638","6,801","1,979","1,278","2,042","2,233",710,"3,274","4,628","18,947","9,941","6,025","4,996","10,339","17,932","11,256","15,863","15,394"
2020년04월_계_0~9세,"9,151",289,56,32,46,64,16,94,102,"1,653",841,278,216,832,"1,393",789,742,"1,708"
2020년04월_계_10~19세,"12,027",365,96,44,77,206,39,140,224,"2,453","1,160",448,328,902,"1,854","1,211","1,180","1,300"
2020년04월_계_20~29세,"14,909",476,128,65,81,90,30,182,373,"2,244","1,289",643,580,"1,086","2,698","1,369","1,973","1,602"
2020년04월_계_30~39세,"13,451",453,114,65,81,83,41,137,233,"2,091","1,084",529,428,"1,151","2,151","1,116","1,427","2,267"
2020년04월_계_40~49세,"18,791",714,139,95,147,185,77,250,425,"3,403","1,640",768,568,"1,507","2,734","1,751","1,989","2,399"
2020년04월_계_50~59세,"24,253","1,305",414,281,423,416,144,631,955,"3,371","1,772","1,065",930,"1,797","3,151","2,136","3,054","2,408"
2020년04월_계_60~69세,"21,837","1,604",521,314,545,559,182,918,"1,159","2,178","1,266","1,214","1,055","1,538","2,195","1,514","3,130","1,945"
2020년04월_계_70~79세,"12,318",968,286,230,383,395,95,546,698,"1,068",549,726,626,"1,013","1,076",902,"1,598","1,159"
2020년04월_계_80~89세,"6,034",542,192,133,232,206,70,322,398,439,290,299,237,449,607,408,664,546
2020년04월_계_90~99세,793,83,28,15,21,29,15,49,58,41,48,50,26,46,72,55,100,57
2020년04월_계_100세 이상,74,2,5,4,6,0,1,5,3,6,2,5,2,18,1,5,6,3
2020년04월_남_총인구수,"67,030","3,453","1,063",655,"1,057","1,141",356,"1,670","2,431","9,311","4,913","3,017","2,487","5,168","8,968","5,644","7,935","7,761"
2020년04월_남_연령구간인구수,"67,030","3,453","1,063",655,"1,057","1,141",356,"1,670","2,431","9,311","4,913","3,017","2,487","5,168","8,968","5,644","7,935","7,761"
2020년04월_남_0~9세,"4,663",151,33,18,24,37,5,52,52,817,446,139,109,442,705,402,364,867
2020년04월_남_10~19세,"6,232",187,58,21,42,111,21,84,129,"1,235",591,236,171,470,949,633,641,653
2020년04월_남_20~29세,"8,290",271,88,33,60,56,21,108,239,"1,230",676,346,335,593,"1,480",779,"1,115",860
2020년04월_남_30~39세,"6,993",237,68,40,47,47,24,76,151,"1,022",527,302,235,584,"1,143",563,783,"1,144"
2020년04월_남_40~49세,"9,678",396,78,59,92,117,46,145,267,"1,623",799,404,311,801,"1,337",859,"1,035","1,309"
2020년04월_남_50~59세,"12,378",703,234,147,223,212,77,328,492,"1,717",896,537,460,892,"1,601","1,137","1,464","1,258"
2020년04월_남_60~69세,"10,844",833,290,170,285,298,87,479,609,"1,051",633,575,470,753,"1,118",741,"1,522",930
2020년04월_남_70~79세,"5,578",460,136,114,195,188,39,264,321,461,233,343,304,448,435,375,746,516
2020년04월_남_80~89세,"2,175",195,67,51,79,71,32,119,158,146,99,121,84,165,187,144,244,213
2020년04월_남_90~99세,174,20,9,1,7,4,4,13,12,8,12,12,8,13,13,9,20,9
2020년04월_남_100세 이상,25,0,2,1,3,0,0,2,1,1,1,2,0,7,0,2,1,2
2020년04월_여_총인구수,"66,608","3,348",916,623,985,"1,092",354,"1,604","2,197","9,636","5,028","3,008","2,509","5,171","8,964","5,612","7,928","7,633"
2020년04월_여_연령구간인구수,"66,608","3,348",916,623,985,"1,092",354,"1,604","2,197","9,636","5,028","3,008","2,509","5,171","8,964","5,612","7,928","7,633"
2020년04월_여_0~9세,"4,488",138,23,14,22,27,11,42,50,836,395,139,107,390,688,387,378,841
2020년04월_여_10~19세,"5,795",178,38,23,35,95,18,56,95,"1,218",569,212,157,432,905,578,539,647
2020년04월_여_20~29세,"6,619",205,40,32,21,34,9,74,134,"1,014",613,297,245,493,"1,218",590,858,742
2020년04월_여_30~39세,"6,458",216,46,25,34,36,17,61,82,"1,069",557,227,193,567,"1,008",553,644,"1,123"
2020년04월_여_40~49세,"9,113",318,61,36,55,68,31,105,158,"1,780",841,364,257,706,"1,397",892,954,"1,090"
2020년04월_여_50~59세,"11,875",602,180,134,200,204,67,303,463,"1,654",876,528,470,905,"1,550",999,"1,590","1,150"
2020년04월_여_60~69세,"10,993",771,231,144,260,261,95,439,550,"1,127",633,639,585,785,"1,077",773,"1,608","1,015"
2020년04월_여_70~79세,"6,740",508,150,116,188,207,56,282,377,607,316,383,322,565,641,527,852,643
2020년04월_여_80~89세,"3,859",347,125,82,153,135,38,203,240,293,191,178,153,284,420,264,420,333
2020년04월_여_90~99세,619,63,19,14,14,25,11,36,46,33,36,38,18,33,59,46,80,48
2020년04월_여_100세 이상,49,2,3,3,3,0,1,3,2,5,1,3,2,11,1,3,5,1
