카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년02월_계_총인구수,"280,847","6,925","7,866","7,147","2,310","1,570","1,931","2,670","3,109","3,012","3,320","5,292","4,374","4,570","2,606","1,580","3,438","4,820","7,080","22,639","9,416","11,626","38,268","8,568","23,249","14,360","25,326","15,442","6,701","31,632"
2021년02월_계_연령구간인구수,"280,847","6,925","7,866","7,147","2,310","1,570","1,931","2,670","3,109","3,012","3,320","5,292","4,374","4,570","2,606","1,580","3,438","4,820","7,080","22,639","9,416","11,626","38,268","8,568","23,249","14,360","25,326","15,442","6,701","31,632"
2021년02월_계_0~9세,"18,791",361,528,267,64,27,31,71,106,90,176,338,86,185,68,24,99,303,316,"1,663",422,484,"3,592",857,"1,476","1,246","2,238",622,538,"2,513"
2021년02월_계_10~19세,"27,541",580,614,499,133,60,92,143,136,148,160,330,203,283,101,84,140,331,426,"2,210",709,819,"4,309",982,"2,697","2,036","3,404","1,106",650,"4,156"
2021년02월_계_20~29세,"35,665",611,670,653,177,97,127,180,215,137,308,668,260,392,238,99,368,486,906,"2,514","1,362","1,323","4,666",900,"3,297","2,323","3,541","3,919",765,"4,463"
2021년02월_계_30~39세,"28,156",522,765,515,130,66,81,147,205,156,269,471,206,342,150,69,309,497,769,"2,404",895,976,"4,353","1,166","2,373","1,598","3,057","1,471",839,"3,355"
2021년02월_계_40~49세,"41,636",801,"1,053",776,214,131,173,225,322,278,329,585,403,528,236,141,412,713,830,"3,466","1,250","1,474","6,246","1,435","3,580","2,756","4,928","1,690","1,044","5,617"
2021년02월_계_50~59세,"48,781","1,194","1,332","1,312",427,259,357,378,566,492,552,912,732,815,552,236,550,935,"1,131","4,013","1,864","1,905","6,277","1,266","4,451","2,516","4,530","2,274","1,086","5,867"
2021년02월_계_60~69세,"40,896","1,401","1,452","1,415",457,381,460,617,660,727,638,"1,001","1,013",943,533,361,737,852,"1,310","3,481","1,652","2,147","4,878","1,074","3,331","1,024","2,186","2,059",906,"3,200"
2021년02월_계_70~79세,"24,635",869,858,988,410,281,347,531,528,559,520,629,828,575,397,318,559,476,903,"1,907",859,"1,736","2,557",609,"1,332",585,955,"1,451",514,"1,554"
2021년02월_계_80~89세,"12,584",498,504,602,241,222,219,324,330,366,323,312,526,427,271,214,212,194,434,867,350,672,"1,190",245,592,239,424,709,281,796
2021년02월_계_90~99세,"2,054",82,87,110,53,44,41,54,40,55,43,44,110,78,57,31,47,30,53,105,51,87,193,32,117,37,59,130,75,109
2021년02월_계_100세 이상,108,6,3,10,4,2,3,0,1,4,2,2,7,2,3,3,5,3,2,9,2,3,7,2,3,0,4,11,3,2
2021년02월_남_총인구수,"139,818","3,400","3,888","3,615","1,139",799,981,"1,342","1,638","1,486","1,673","2,778","2,249","2,366","1,334",779,"1,817","2,550","3,640","11,164","4,794","5,912","18,500","4,255","11,427","7,025","12,356","7,761","3,463","15,687"
2021년02월_남_연령구간인구수,"139,818","3,400","3,888","3,615","1,139",799,981,"1,342","1,638","1,486","1,673","2,778","2,249","2,366","1,334",779,"1,817","2,550","3,640","11,164","4,794","5,912","18,500","4,255","11,427","7,025","12,356","7,761","3,463","15,687"
2021년02월_남_0~9세,"9,630",189,264,141,30,12,21,36,49,38,77,182,54,103,40,11,61,165,169,826,235,256,"1,848",421,750,628,"1,168",321,279,"1,256"
2021년02월_남_10~19세,"14,070",271,312,263,62,40,46,68,86,68,86,156,119,160,57,48,79,157,220,"1,175",394,451,"2,140",523,"1,378","1,072","1,707",511,330,"2,091"
2021년02월_남_20~29세,"19,415",344,363,379,101,50,72,103,123,85,180,439,145,235,140,57,198,269,469,"1,379",737,749,"2,406",482,"1,801","1,203","1,892","2,164",444,"2,406"
2021년02월_남_30~39세,"14,763",278,414,280,78,44,49,105,114,103,159,260,137,180,94,36,189,265,455,"1,254",511,554,"2,110",570,"1,216",788,"1,511",857,463,"1,689"
2021년02월_남_40~49세,"21,243",439,562,447,121,84,114,147,207,156,196,333,267,323,154,93,248,398,469,"1,804",675,827,"3,076",754,"1,691","1,242","2,273",912,538,"2,693"
2021년02월_남_50~59세,"24,785",620,671,703,230,158,209,207,332,280,313,476,405,467,304,124,287,520,627,"1,992",895,971,"2,981",642,"2,118","1,280","2,265","1,134",568,"3,006"
2021년02월_남_60~69세,"20,284",708,719,735,250,190,239,321,372,361,313,518,534,486,276,187,387,447,614,"1,643",821,"1,004","2,356",512,"1,658",495,"1,031",970,479,"1,658"
2021년02월_남_70~79세,"11,030",377,384,442,175,132,156,238,231,258,250,290,378,271,173,142,268,252,440,785,399,782,"1,139",258,621,235,373,663,253,665
