카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년09월_계_총인구수,"25,650","10,831","1,273","1,537","2,569","2,706","2,279","1,478","2,977"
2020년09월_계_연령구간인구수,"25,650","10,831","1,273","1,537","2,569","2,706","2,279","1,478","2,977"
2020년09월_계_0~9세,"1,168",703,45,49,55,113,65,50,88
2020년09월_계_10~19세,"1,871","1,069",68,73,153,181,108,61,158
2020년09월_계_20~29세,"1,971","1,050",69,85,159,188,115,103,202
2020년09월_계_30~39세,"1,685",893,55,77,115,177,132,89,147
2020년09월_계_40~49세,"2,948","1,449",147,151,246,338,171,169,277
2020년09월_계_50~59세,"4,624","1,942",238,281,550,451,380,225,557
2020년09월_계_60~69세,"4,614","1,658",270,294,560,503,453,269,607
2020년09월_계_70~79세,"3,897","1,244",211,309,393,422,467,294,557
2020년09월_계_80~89세,"2,478",709,148,194,282,286,331,186,342
2020년09월_계_90~99세,372,109,21,21,53,43,55,31,39
2020년09월_계_100세 이상,22,5,1,3,3,4,2,1,3
2020년09월_남_총인구수,"12,454","5,269",631,757,"1,248","1,344","1,062",702,"1,441"
2020년09월_남_연령구간인구수,"12,454","5,269",631,757,"1,248","1,344","1,062",702,"1,441"
2020년09월_남_0~9세,576,343,22,26,31,56,30,24,44
2020년09월_남_10~19세,994,577,37,33,76,103,58,37,73
2020년09월_남_20~29세,"1,054",556,38,43,93,99,54,51,120
2020년09월_남_30~39세,896,442,25,39,69,105,78,51,87
2020년09월_남_40~49세,"1,608",735,87,97,134,189,104,100,162
2020년09월_남_50~59세,"2,549","1,005",138,171,308,270,225,122,310
2020년09월_남_60~69세,"2,267",817,144,147,274,244,207,131,303
2020년09월_남_70~79세,"1,627",528,86,130,158,177,198,119,231
2020년09월_남_80~89세,802,241,53,65,91,91,97,59,105
2020년09월_남_90~99세,79,25,1,6,14,9,11,8,5
2020년09월_남_100세 이상,2,0,0,0,0,1,0,0,1
2020년09월_여_총인구수,"13,196","5,562",642,780,"1,321","1,362","1,217",776,"1,536"
2020년09월_여_연령구간인구수,"13,196","5,562",642,780,"1,321","1,362","1,217",776,"1,536"
2020년09월_여_0~9세,592,360,23,23,24,57,35,26,44
2020년09월_여_10~19세,877,492,31,40,77,78,50,24,85
2020년09월_여_20~29세,917,494,31,42,66,89,61,52,82
2020년09월_여_30~39세,789,451,30,38,46,72,54,38,60
2020년09월_여_40~49세,"1,340",714,60,54,112,149,67,69,115
2020년09월_여_50~59세,"2,075",937,100,110,242,181,155,103,247
2020년09월_여_60~69세,"2,347",841,126,147,286,259,246,138,304
2020년09월_여_70~79세,"2,270",716,125,179,235,245,269,175,326
2020년09월_여_80~89세,"1,676",468,95,129,191,195,234,127,237
2020년09월_여_90~99세,293,84,20,15,39,34,44,23,34
2020년09월_여_100세 이상,20,5,1,3,3,3,2,1,2
