카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년11월_계_총인구수,"121,154","30,901","10,513","4,844","13,924","8,279","9,988","3,898","3,812","4,674","7,001","18,070","5,250"
2021년11월_계_연령구간인구수,"121,154","30,901","10,513","4,844","13,924","8,279","9,988","3,898","3,812","4,674","7,001","18,070","5,250"
2021년11월_계_0~9세,"7,112","2,144",883,181,752,482,627,122,100,131,240,"1,222",228
2021년11월_계_10~19세,"9,794","3,198",959,249,"1,034",581,877,215,153,205,379,"1,626",318
2021년11월_계_20~29세,"10,614","3,584",823,337,"1,252",751,620,245,221,276,473,"1,646",386
2021년11월_계_30~39세,"10,698","3,139","1,147",363,"1,170",783,847,270,191,298,423,"1,692",375
2021년11월_계_40~49세,"16,298","4,752","1,677",511,"1,840","1,094","1,508",408,351,389,711,"2,451",606
2021년11월_계_50~59세,"20,849","5,344","1,647",876,"2,455","1,432","1,745",686,669,903,"1,225","2,961",906
2021년11월_계_60~69세,"24,802","4,878","1,903","1,326","2,904","1,775","2,199","1,039","1,075","1,228","1,821","3,350","1,304"
2021년11월_계_70~79세,"13,209","2,451",974,699,"1,661",894,"1,060",558,599,713,"1,003","1,893",704
2021년11월_계_80~89세,"6,679","1,236",433,254,734,430,421,309,398,435,604,"1,051",374
2021년11월_계_90~99세,"1,057",167,63,45,117,56,82,45,50,91,120,173,48
2021년11월_계_100세 이상,42,8,4,3,5,1,2,1,5,5,2,5,1
2021년11월_남_총인구수,"60,817","15,482","5,222","2,437","6,936","4,211","4,961","1,989","1,959","2,347","3,558","9,066","2,649"
2021년11월_남_연령구간인구수,"60,817","15,482","5,222","2,437","6,936","4,211","4,961","1,989","1,959","2,347","3,558","9,066","2,649"
2021년11월_남_0~9세,"3,640","1,104",433,93,395,233,309,62,61,77,136,625,112
2021년11월_남_10~19세,"5,145","1,629",512,146,536,311,455,113,89,106,223,855,170
2021년11월_남_20~29세,"5,928","1,990",432,192,691,445,352,143,125,160,263,919,216
2021년11월_남_30~39세,"5,414","1,605",555,192,585,409,386,150,103,166,217,858,188
2021년11월_남_40~49세,"8,267","2,287",828,257,940,590,760,220,210,207,394,"1,249",325
2021년11월_남_50~59세,"10,710","2,750",849,436,"1,209",732,884,364,350,481,647,"1,524",484
2021년11월_남_60~69세,"12,361","2,448",930,636,"1,412",890,"1,057",533,552,616,966,"1,671",650
2021년11월_남_70~79세,"6,520","1,190",496,372,818,430,568,278,289,346,469,910,354
2021년11월_남_80~89세,"2,582",434,173,103,319,156,170,120,165,169,213,418,142
2021년11월_남_90~99세,243,44,14,9,29,15,20,6,13,18,30,37,8
2021년11월_남_100세 이상,7,1,0,1,2,0,0,0,2,1,0,0,0
2021년11월_여_총인구수,"60,337","15,419","5,291","2,407","6,988","4,068","5,027","1,909","1,853","2,327","3,443","9,004","2,601"
2021년11월_여_연령구간인구수,"60,337","15,419","5,291","2,407","6,988","4,068","5,027","1,909","1,853","2,327","3,443","9,004","2,601"
2021년11월_여_0~9세,"3,472","1,040",450,88,357,249,318,60,39,54,104,597,116
2021년11월_여_10~19세,"4,649","1,569",447,103,498,270,422,102,64,99,156,771,148
2021년11월_여_20~29세,"4,686","1,594",391,145,561,306,268,102,96,116,210,727,170
2021년11월_여_30~39세,"5,284","1,534",592,171,585,374,461,120,88,132,206,834,187
2021년11월_여_40~49세,"8,031","2,465",849,254,900,504,748,188,141,182,317,"1,202",281
2021년11월_여_50~59세,"10,139","2,594",798,440,"1,246",700,861,322,319,422,578,"1,437",422
2021년11월_여_60~69세,"12,441","2,430",973,690,"1,492",885,"1,142",506,523,612,855,"1,679",654
2021년11월_여_70~79세,"6,689","1,261",478,327,843,464,492,280,310,367,534,983,350
2021년11월_여_80~89세,"4,097",802,260,151,415,274,251,189,233,266,391,633,232
2021년11월_여_90~99세,814,123,49,36,88,41,62,39,37,73,90,136,40
2021년11월_여_100세 이상,35,7,4,2,3,1,2,1,3,4,2,5,1
