카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년04월_계_총인구수,"61,680","7,056","6,068","7,713","10,582","3,653","1,650","2,878","7,971","4,427","6,677","3,005"
2021년04월_계_연령구간인구수,"61,680","7,056","6,068","7,713","10,582","3,653","1,650","2,878","7,971","4,427","6,677","3,005"
2021년04월_계_0~9세,"3,606",435,245,337,834,127,84,80,465,324,570,105
2021년04월_계_10~19세,"4,969",619,471,612,891,216,114,152,679,444,577,194
2021년04월_계_20~29세,"6,520",765,703,779,"1,173",382,176,263,837,534,618,290
2021년04월_계_30~39세,"6,678",784,515,737,"1,423",337,161,219,871,569,815,247
2021년04월_계_40~49세,"9,786","1,204",841,"1,188","1,768",495,253,361,"1,307",789,"1,158",422
2021년04월_계_50~59세,"9,990","1,175","1,058","1,257","1,596",675,250,478,"1,292",766,"1,003",440
2021년04월_계_60~69세,"10,173","1,101","1,090","1,379","1,541",717,297,621,"1,263",583,"1,000",581
2021년04월_계_70~79세,"6,597",625,768,928,980,439,198,428,847,297,605,482
2021년04월_계_80~89세,"2,907",301,323,440,327,244,103,242,346,101,269,211
2021년04월_계_90~99세,419,46,51,53,44,21,13,30,57,17,56,31
2021년04월_계_100세 이상,35,1,3,3,5,0,1,4,7,3,6,2
2021년04월_남_총인구수,"31,159","3,627","3,081","3,823","5,217","1,882",810,"1,479","4,075","2,312","3,343","1,510"
2021년04월_남_연령구간인구수,"31,159","3,627","3,081","3,823","5,217","1,882",810,"1,479","4,075","2,312","3,343","1,510"
2021년04월_남_0~9세,"1,883",237,129,177,420,67,39,46,256,168,298,46
2021년04월_남_10~19세,"2,584",321,243,298,468,107,58,74,350,221,326,118
2021년04월_남_20~29세,"3,541",428,384,421,614,216,95,165,487,271,314,146
2021년04월_남_30~39세,"3,575",407,274,415,718,190,92,128,473,330,409,139
2021년04월_남_40~49세,"5,298",653,445,655,926,283,134,217,693,411,638,243
2021년04월_남_50~59세,"5,337",650,583,669,773,379,127,276,693,425,516,246
2021년04월_남_60~69세,"4,916",556,533,650,717,366,151,287,601,298,474,283
2021년04월_남_70~79세,"2,911",271,348,385,447,185,85,188,375,146,275,206
2021년04월_남_80~89세,"1,010",93,131,141,124,81,25,89,128,37,86,75
2021년04월_남_90~99세,96,10,11,12,8,8,4,7,17,4,7,8
2021년04월_남_100세 이상,8,1,0,0,2,0,0,2,2,1,0,0
2021년04월_여_총인구수,"30,521","3,429","2,987","3,890","5,365","1,771",840,"1,399","3,896","2,115","3,334","1,495"
2021년04월_여_연령구간인구수,"30,521","3,429","2,987","3,890","5,365","1,771",840,"1,399","3,896","2,115","3,334","1,495"
2021년04월_여_0~9세,"1,723",198,116,160,414,60,45,34,209,156,272,59
2021년04월_여_10~19세,"2,385",298,228,314,423,109,56,78,329,223,251,76
2021년04월_여_20~29세,"2,979",337,319,358,559,166,81,98,350,263,304,144
2021년04월_여_30~39세,"3,103",377,241,322,705,147,69,91,398,239,406,108
2021년04월_여_40~49세,"4,488",551,396,533,842,212,119,144,614,378,520,179
2021년04월_여_50~59세,"4,653",525,475,588,823,296,123,202,599,341,487,194
2021년04월_여_60~69세,"5,257",545,557,729,824,351,146,334,662,285,526,298
2021년04월_여_70~79세,"3,686",354,420,543,533,254,113,240,472,151,330,276
2021년04월_여_80~89세,"1,897",208,192,299,203,163,78,153,218,64,183,136
2021년04월_여_90~99세,323,36,40,41,36,13,9,23,40,13,49,23
2021년04월_여_100세 이상,27,0,3,3,3,0,1,2,5,2,6,2
