,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년01월_계_총인구수,"540,929","27,802","43,608","24,118","26,873","11,373","3,675","23,485","6,709","5,291","44,007","25,475","19,943","12,661","22,074","7,423","5,770","22,773","10,708","4,111","86,384","53,936","25,138","27,592"
2021년01월_계_연령구간인구수,"540,929","27,802","43,608","24,118","26,873","11,373","3,675","23,485","6,709","5,291","44,007","25,475","19,943","12,661","22,074","7,423","5,770","22,773","10,708","4,111","86,384","53,936","25,138","27,592"
2021년01월_계_0~9세,"49,332","1,555","3,982","1,909","4,071",491,119,"2,714",310,154,"2,909","1,324","2,333",711,"1,611",573,169,"1,042",537,127,"11,150","5,740","3,379","2,422"
2021년01월_계_10~19세,"53,435","1,738","5,802","1,966","3,182",821,207,"1,883",482,290,"4,897","2,321","1,834",896,"2,221",494,298,"1,743",651,204,"9,394","6,224","3,126","2,761"
2021년01월_계_20~29세,"73,980","2,967","5,764","3,084","2,363","1,490",351,"3,612",703,439,"7,149","3,657","2,644","2,434","2,930","1,050",728,"3,949","1,627",607,"11,477","7,400","3,381","4,174"
2021년01월_계_30~39세,"81,379","3,009","5,624","3,930","4,895","1,343",349,"4,545",611,346,"5,349","3,091","3,391","2,235","2,598","1,259",639,"2,893","1,490",433,"16,770","8,058","4,634","3,887"
2021년01월_계_40~49세,"94,298","3,959","8,611","4,619","5,439","1,690",474,"3,738",889,623,"7,599","4,122","3,645","2,114","3,719","1,213",784,"3,461","1,598",514,"16,456","9,490","5,121","4,420"
2021년01월_계_50~59세,"87,462","5,135","6,936","3,897","2,961","2,146",675,"3,395","1,308",978,"8,171","4,845","3,207","1,977","4,074","1,150","1,008","4,264","1,903",811,"11,672","8,650","3,191","5,108"
2021년01월_계_60~69세,"55,895","4,756","3,803","2,643","2,182","1,814",743,"1,999","1,168","1,140","4,522","3,268","1,748","1,238","2,752",867,"1,001","2,989","1,528",741,"5,829","4,913","1,481","2,770"
2021년01월_계_70~79세,"28,675","2,880","1,930","1,323","1,101","1,023",460,996,710,782,"2,220","1,838",718,702,"1,390",512,705,"1,586",883,458,"2,407","2,219",545,"1,287"
2021년01월_계_80~89세,"14,213","1,543",999,639,560,488,271,516,458,460,"1,033",874,357,305,659,250,353,749,417,186,"1,081","1,096",248,671
2021년01월_계_90~99세,"2,023",210,148,104,112,63,24,82,68,76,140,118,60,44,106,44,62,86,59,26,140,132,32,87
2021년01월_계_100세 이상,237,50,9,4,7,4,2,5,2,3,18,17,6,5,14,11,23,11,15,4,8,14,0,5
2021년01월_남_총인구수,"279,690","14,198","22,444","14,440","14,200","6,240","2,019","12,434","3,582","2,783","22,595","12,898","10,402","6,803","11,013","3,718","2,930","11,726","5,576","2,155","43,845","26,719","13,096","13,874"
2021년01월_남_연령구간인구수,"279,690","14,198","22,444","14,440","14,200","6,240","2,019","12,434","3,582","2,783","22,595","12,898","10,402","6,803","11,013","3,718","2,930","11,726","5,576","2,155","43,845","26,719","13,096","13,874"
2021년01월_남_0~9세,"25,144",801,"1,979",947,"2,109",245,52,"1,352",169,86,"1,488",656,"1,175",338,819,296,92,548,259,64,"5,724","2,932","1,774","1,239"
2021년01월_남_10~19세,"27,558",908,"2,934","1,057","1,643",444,124,935,249,147,"2,519","1,207",906,429,"1,118",256,166,922,336,119,"4,863","3,268","1,594","1,414"
2021년01월_남_20~29세,"40,620","1,716","3,125","1,983","1,315",906,227,"2,119",411,256,"4,011","1,996","1,436","1,382","1,598",580,402,"2,148",923,354,"5,917","3,802","1,808","2,205"
2021년01월_남_30~39세,"44,259","1,678","3,052","2,606","2,539",851,205,"2,483",372,201,"2,990","1,745","1,789","1,346","1,321",692,387,"1,644",887,260,"8,655","4,051","2,424","2,081"
2021년01월_남_40~49세,"50,182","2,211","4,407","3,020","3,084",990,304,"2,088",534,391,"3,859","2,194","2,003","1,202","1,908",663,476,"1,823",836,285,"8,408","4,561","2,712","2,223"
2021년01월_남_50~59세,"45,999","2,805","3,791","2,459","1,663","1,186",383,"1,764",751,567,"4,180","2,442","1,672","1,069","2,058",595,537,"2,192","1,023",433,"5,936","4,260","1,703","2,530"
2021년01월_남_60~69세,"27,797","2,228","1,946","1,474","1,096",947,407,"1,012",593,584,"2,211","1,540",947,622,"1,357",365,461,"1,449",746,355,"2,876","2,437",756,"1,388"
2021년01월_남_70~79세,"12,522","1,219",823,648,548,482,219,485,322,375,963,762,327,285,565,171,264,698,395,208,"1,064",933,243,523
2021년01월_남_80~89세,"5,032",565,353,220,179,174,92,180,157,160,334,305,132,121,233,83,121,274,153,67,369,438,76,246
2021년01월_남_90~99세,503,50,34,26,24,14,5,13,24,16,33,42,13,8,30,12,14,25,14,9,31,36,6,24
2021년01월_남_100세 이상,74,17,0,0,0,1,1,3,0,0,7,9,2,1,6,5,10,3,4,1,2,1,0,1
2021년01월_여_총인구수,"261,239","13,604","21,164","9,678","12,673","5,133","1,656","11,051","3,127","2,508","21,412","12,577","9,541","5,858","11,061","3,705","2,840","11,047","5,132","1,956","42,539","27,217","12,042","13,718"
2021년01월_여_연령구간인구수,"261,239","13,604","21,164","9,678","12,673","5,133","1,656","11,051","3,127","2,508","21,412","12,577","9,541","5,858","11,061","3,705","2,840","11,047","5,132","1,956","42,539","27,217","12,042","13,718"
2021년01월_여_0~9세,"24,188",754,"2,003",962,"1,962",246,67,"1,362",141,68,"1,421",668,"1,158",373,792,277,77,494,278,63,"5,426","2,808","1,605","1,183"
2021년01월_여_10~19세,"25,877",830,"2,868",909,"1,539",377,83,948,233,143,"2,378","1,114",928,467,"1,103",238,132,821,315,85,"4,531","2,956","1,532","1,347"
2021년01월_여_20~29세,"33,360","1,251","2,639","1,101","1,048",584,124,"1,493",292,183,"3,138","1,661","1,208","1,052","1,332",470,326,"1,801",704,253,"5,560","3,598","1,573","1,969"
2021년01월_여_30~39세,"37,120","1,331","2,572","1,324","2,356",492,144,"2,062",239,145,"2,359","1,346","1,602",889,"1,277",567,252,"1,249",603,173,"8,115","4,007","2,210","1,806"
2021년01월_여_40~49세,"44,116","1,748","4,204","1,599","2,355",700,170,"1,650",355,232,"3,740","1,928","1,642",912,"1,811",550,308,"1,638",762,229,"8,048","4,929","2,409","2,197"
2021년01월_여_50~59세,"41,463","2,330","3,145","1,438","1,298",960,292,"1,631",557,411,"3,991","2,403","1,535",908,"2,016",555,471,"2,072",880,378,"5,736","4,390","1,488","2,578"
2021년01월_여_60~69세,"28,098","2,528","1,857","1,169","1,086",867,336,987,575,556,"2,311","1,728",801,616,"1,395",502,540,"1,540",782,386,"2,953","2,476",725,"1,382"
2021년01월_여_70~79세,"16,153","1,661","1,107",675,553,541,241,511,388,407,"1,257","1,076",391,417,825,341,441,888,488,250,"1,343","1,286",302,764
2021년01월_여_80~89세,"9,181",978,646,419,381,314,179,336,301,300,699,569,225,184,426,167,232,475,264,119,712,658,172,425
2021년01월_여_90~99세,"1,520",160,114,78,88,49,19,69,44,60,107,76,47,36,76,32,48,61,45,17,109,96,26,63
2021년01월_여_100세 이상,163,33,9,4,7,3,1,2,2,3,11,8,4,4,8,6,13,8,11,3,6,13,0,4
