,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년11월_계_총인구수,"26,330","9,468","1,681","1,155","1,018","1,505","1,506","1,430","1,809",737,"2,773",990,"1,115","1,143"
2021년11월_계_연령구간인구수,"26,330","9,468","1,681","1,155","1,018","1,505","1,506","1,430","1,809",737,"2,773",990,"1,115","1,143"
2021년11월_계_0~9세,999,659,27,11,33,28,32,34,32,17,75,28,9,14
2021년11월_계_10~19세,"1,458",885,47,29,28,54,55,37,53,28,147,41,26,28
2021년11월_계_20~29세,"1,832",950,90,70,59,95,79,81,96,26,189,35,32,30
2021년11월_계_30~39세,"1,630",893,87,55,45,62,83,51,66,31,132,54,32,39
2021년11월_계_40~49세,"2,693","1,461",116,77,60,120,124,108,133,44,252,61,53,84
2021년11월_계_50~59세,"4,486","1,629",308,210,172,274,273,241,305,103,493,138,169,171
2021년11월_계_60~69세,"5,786","1,519",447,313,252,374,376,363,493,218,597,234,294,306
2021년11월_계_70~79세,"3,814",859,277,202,177,248,229,249,333,135,482,204,212,207
2021년11월_계_80~89세,"3,126",541,237,157,164,219,216,223,266,118,349,168,246,222
2021년11월_계_90~99세,500,71,43,31,28,31,39,43,32,16,57,27,42,40
2021년11월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년11월_남_총인구수,"12,979","4,690",836,570,492,746,752,694,925,349,"1,333",523,519,550
2021년11월_남_연령구간인구수,"12,979","4,690",836,570,492,746,752,694,925,349,"1,333",523,519,550
2021년11월_남_0~9세,521,347,13,7,13,16,17,17,17,9,35,19,5,6
2021년11월_남_10~19세,766,460,24,16,17,26,24,14,32,18,78,28,16,13
2021년11월_남_20~29세,"1,065",522,49,47,38,66,42,48,58,16,114,24,24,17
2021년11월_남_30~39세,875,428,53,39,25,32,53,29,35,22,81,37,14,27
2021년11월_남_40~49세,"1,533",757,76,46,41,68,78,67,82,29,157,48,30,54
2021년11월_남_50~59세,"2,510",894,179,109,101,156,153,146,165,56,275,76,98,102
2021년11월_남_60~69세,"3,084",741,256,162,134,210,214,196,286,110,293,149,163,170
2021년11월_남_70~79세,"1,620",373,116,87,75,96,101,103,158,55,204,84,81,87
2021년11월_남_80~89세,901,151,60,50,43,70,63,58,86,32,91,53,82,62
2021년11월_남_90~99세,103,17,10,7,5,6,7,16,6,2,5,5,6,11
2021년11월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년11월_여_총인구수,"13,351","4,778",845,585,526,759,754,736,884,388,"1,440",467,596,593
2021년11월_여_연령구간인구수,"13,351","4,778",845,585,526,759,754,736,884,388,"1,440",467,596,593
2021년11월_여_0~9세,478,312,14,4,20,12,15,17,15,8,40,9,4,8
2021년11월_여_10~19세,692,425,23,13,11,28,31,23,21,10,69,13,10,15
2021년11월_여_20~29세,767,428,41,23,21,29,37,33,38,10,75,11,8,13
2021년11월_여_30~39세,755,465,34,16,20,30,30,22,31,9,51,17,18,12
2021년11월_여_40~49세,"1,160",704,40,31,19,52,46,41,51,15,95,13,23,30
2021년11월_여_50~59세,"1,976",735,129,101,71,118,120,95,140,47,218,62,71,69
2021년11월_여_60~69세,"2,702",778,191,151,118,164,162,167,207,108,304,85,131,136
2021년11월_여_70~79세,"2,194",486,161,115,102,152,128,146,175,80,278,120,131,120
2021년11월_여_80~89세,"2,225",390,177,107,121,149,153,165,180,86,258,115,164,160
2021년11월_여_90~99세,397,54,33,24,23,25,32,27,26,14,52,22,36,29
2021년11월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
