,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년10월_계_총인구수,"42,797","7,690","19,169","3,119","3,882","2,576","1,748",994,"2,703",191,725
2021년10월_계_연령구간인구수,"42,797","7,690","19,169","3,119","3,882","2,576","1,748",994,"2,703",191,725
2021년10월_계_0~9세,"2,568",676,"1,462",81,120,79,43,22,60,4,21
2021년10월_계_10~19세,"3,050",398,"1,924",156,181,138,64,45,99,9,36
2021년10월_계_20~29세,"5,156","1,194","2,352",320,467,216,127,67,316,44,53
2021년10월_계_30~39세,"4,097","1,009","2,119",175,254,159,125,60,141,13,42
2021년10월_계_40~49세,"4,756",763,"2,606",265,384,231,131,77,223,15,61
2021년10월_계_50~59세,"6,938","1,020","3,172",558,677,486,317,144,402,26,136
2021년10월_계_60~69세,"7,965","1,171","2,943",725,900,592,506,249,671,41,167
2021년10월_계_70~79세,"4,867",839,"1,519",479,535,411,242,204,489,23,126
2021년10월_계_80~89세,"2,961",529,906,327,322,246,163,115,266,14,73
2021년10월_계_90~99세,413,86,159,30,39,17,27,10,33,2,10
2021년10월_계_100세 이상,26,5,7,3,3,1,3,1,3,0,0
2021년10월_남_총인구수,"22,412","4,163","9,751","1,657","2,070","1,378",937,535,"1,436",115,370
2021년10월_남_연령구간인구수,"22,412","4,163","9,751","1,657","2,070","1,378",937,535,"1,436",115,370
2021년10월_남_0~9세,"1,297",330,744,42,54,40,24,15,31,2,15
2021년10월_남_10~19세,"1,614",229,978,85,105,82,37,29,46,6,17
2021년10월_남_20~29세,"3,282",824,"1,346",216,336,134,77,41,236,37,35
2021년10월_남_30~39세,"2,329",596,"1,142",109,160,97,73,36,87,8,21
2021년10월_남_40~49세,"2,603",434,"1,331",159,228,129,84,51,140,8,39
2021년10월_남_50~59세,"3,755",581,"1,656",313,374,271,169,82,226,13,70
2021년10월_남_60~69세,"4,136",601,"1,507",391,458,316,287,127,341,24,84
2021년10월_남_70~79세,"2,211",355,703,220,230,195,106,100,231,12,59
2021년10월_남_80~89세,"1,069",187,299,112,114,109,71,52,90,5,30
2021년10월_남_90~99세,108,25,42,9,11,5,8,1,7,0,0
2021년10월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년10월_여_총인구수,"20,385","3,527","9,418","1,462","1,812","1,198",811,459,"1,267",76,355
2021년10월_여_연령구간인구수,"20,385","3,527","9,418","1,462","1,812","1,198",811,459,"1,267",76,355
2021년10월_여_0~9세,"1,271",346,718,39,66,39,19,7,29,2,6
2021년10월_여_10~19세,"1,436",169,946,71,76,56,27,16,53,3,19
2021년10월_여_20~29세,"1,874",370,"1,006",104,131,82,50,26,80,7,18
2021년10월_여_30~39세,"1,768",413,977,66,94,62,52,24,54,5,21
2021년10월_여_40~49세,"2,153",329,"1,275",106,156,102,47,26,83,7,22
2021년10월_여_50~59세,"3,183",439,"1,516",245,303,215,148,62,176,13,66
2021년10월_여_60~69세,"3,829",570,"1,436",334,442,276,219,122,330,17,83
2021년10월_여_70~79세,"2,656",484,816,259,305,216,136,104,258,11,67
2021년10월_여_80~89세,"1,892",342,607,215,208,137,92,63,176,9,43
2021년10월_여_90~99세,305,61,117,21,28,12,19,9,26,2,10
2021년10월_여_100세 이상,18,4,4,2,3,1,2,0,2,0,0
