카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년11월_계_총인구수,"139,646","6,315","5,263","13,383","4,081","3,383","5,960","2,895","4,554","15,665","43,415","30,623","4,109"
2020년11월_계_연령구간인구수,"139,646","6,315","5,263","13,383","4,081","3,383","5,960","2,895","4,554","15,665","43,415","30,623","4,109"
2020년11월_계_0~9세,"11,959",245,251,860,142,109,195,92,195,935,"7,089","1,755",91
2020년11월_계_10~19세,"12,615",354,358,"1,131",287,212,297,149,333,"1,223","4,764","3,395",112
2020년11월_계_20~29세,"19,184",655,546,"1,624",448,371,632,299,518,"2,107","4,042","7,654",288
2020년11월_계_30~39세,"21,319",601,525,"1,619",389,300,648,238,470,"2,269","9,067","4,902",291
2020년11월_계_40~49세,"24,541",857,813,"2,063",566,498,808,412,612,"2,536","9,286","5,594",496
2020년11월_계_50~59세,"20,399","1,320",893,"2,313",754,644,"1,130",522,827,"2,794","4,484","3,800",918
2020년11월_계_60~69세,"15,896","1,286",840,"2,003",734,617,"1,095",563,804,"2,271","2,809","1,824","1,050"
2020년11월_계_70~79세,"9,314",643,649,"1,194",530,437,731,414,528,"1,019","1,363","1,199",607
2020년11월_계_80~89세,"3,732",292,324,494,193,160,342,171,219,419,447,459,212
2020년11월_계_90~99세,608,58,57,76,35,32,69,25,36,79,62,40,39
2020년11월_계_100세 이상,79,4,7,6,3,3,13,10,12,13,2,1,5
2020년11월_남_총인구수,"72,385","3,405","2,656","6,792","2,082","1,742","3,133","1,502","2,257","8,694","21,833","15,990","2,299"
2020년11월_남_연령구간인구수,"72,385","3,405","2,656","6,792","2,082","1,742","3,133","1,502","2,257","8,694","21,833","15,990","2,299"
2020년11월_남_0~9세,"6,161",130,147,424,64,66,86,61,98,487,"3,642",914,42
2020년11월_남_10~19세,"6,543",172,184,589,160,101,157,75,161,647,"2,441","1,803",53
2020년11월_남_20~29세,"9,726",387,295,859,252,202,343,170,281,"1,206","1,981","3,564",186
2020년11월_남_30~39세,"11,554",354,284,864,216,173,378,143,268,"1,369","4,410","2,906",189
2020년11월_남_40~49세,"13,405",508,445,"1,093",313,272,478,225,342,"1,496","4,928","2,976",329
2020년11월_남_50~59세,"11,210",758,475,"1,238",399,367,657,292,426,"1,569","2,305","2,187",537
2020년11월_남_60~69세,"7,944",674,402,996,351,304,564,281,369,"1,236","1,287",918,562
2020년11월_남_70~79세,"4,332",300,291,529,243,201,341,175,229,517,666,523,317
2020년11월_남_80~89세,"1,334",106,115,182,71,52,107,66,66,146,159,187,77
2020년11월_남_90~99세,150,15,17,15,13,4,18,11,10,16,13,11,7
2020년11월_남_100세 이상,26,1,1,3,0,0,4,3,7,5,1,1,0
2020년11월_여_총인구수,"67,261","2,910","2,607","6,591","1,999","1,641","2,827","1,393","2,297","6,971","21,582","14,633","1,810"
2020년11월_여_연령구간인구수,"67,261","2,910","2,607","6,591","1,999","1,641","2,827","1,393","2,297","6,971","21,582","14,633","1,810"
2020년11월_여_0~9세,"5,798",115,104,436,78,43,109,31,97,448,"3,447",841,49
2020년11월_여_10~19세,"6,072",182,174,542,127,111,140,74,172,576,"2,323","1,592",59
2020년11월_여_20~29세,"9,458",268,251,765,196,169,289,129,237,901,"2,061","4,090",102
2020년11월_여_30~39세,"9,765",247,241,755,173,127,270,95,202,900,"4,657","1,996",102
2020년11월_여_40~49세,"11,136",349,368,970,253,226,330,187,270,"1,040","4,358","2,618",167
2020년11월_여_50~59세,"9,189",562,418,"1,075",355,277,473,230,401,"1,225","2,179","1,613",381
2020년11월_여_60~69세,"7,952",612,438,"1,007",383,313,531,282,435,"1,035","1,522",906,488
2020년11월_여_70~79세,"4,982",343,358,665,287,236,390,239,299,502,697,676,290
2020년11월_여_80~89세,"2,398",186,209,312,122,108,235,105,153,273,288,272,135
2020년11월_여_90~99세,458,43,40,61,22,28,51,14,26,63,49,29,32
2020년11월_여_100세 이상,53,3,6,3,3,3,9,7,5,8,1,0,5
