,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면
2020년11월_계_총인구수,"222,540","20,370","28,546","28,678","70,811","19,495","21,352","8,400","7,745","4,231","3,140","7,957",0,"1,815"
2020년11월_계_연령구간인구수,"222,540","20,370","28,546","28,678","70,811","19,495","21,352","8,400","7,745","4,231","3,140","7,957",0,"1,815"
2020년11월_계_0~9세,"17,905","1,502","2,431","2,637","6,727","1,818","1,498",493,279,144,58,266,0,52
2020년11월_계_10~19세,"22,488","1,644","2,803","3,287","10,016","1,566","1,477",521,395,191,113,408,0,67
2020년11월_계_20~29세,"26,516","2,527","3,571","3,284","9,225","2,348","2,650",739,852,307,171,722,0,120
2020년11월_계_30~39세,"25,970","2,825","3,293","3,589","7,754","2,908","2,915",887,631,295,202,560,0,111
2020년11월_계_40~49세,"37,414","3,720","4,579","5,390","13,865","2,970","3,131","1,181",802,431,256,921,0,168
2020년11월_계_50~59세,"41,820","3,977","5,291","5,096","12,902","3,506","4,177","1,605","1,703",913,563,"1,732",0,355
2020년11월_계_60~69세,"29,345","2,531","3,868","3,187","6,557","2,630","3,187","1,621","1,629","1,054",824,"1,792",0,465
2020년11월_계_70~79세,"13,691","1,099","1,732","1,433","2,580","1,148","1,544",906,921,538,541,972,0,277
2020년11월_계_80~89세,"6,384",468,844,683,"1,040",509,665,393,464,298,350,497,0,173
2020년11월_계_90~99세,973,66,127,91,143,87,107,52,69,58,62,85,0,26
2020년11월_계_100세 이상,34,11,7,1,2,5,1,2,0,2,0,2,0,1
2020년11월_남_총인구수,"114,841","11,622","14,319","14,976","35,602","10,061","10,963","4,521","4,035","2,195","1,553","4,055",0,939
2020년11월_남_연령구간인구수,"114,841","11,622","14,319","14,976","35,602","10,061","10,963","4,521","4,035","2,195","1,553","4,055",0,939
2020년11월_남_0~9세,"9,171",772,"1,214","1,371","3,438",922,781,257,149,73,30,144,0,20
2020년11월_남_10~19세,"11,702",868,"1,426","1,687","5,247",787,761,280,224,105,54,226,0,37
2020년11월_남_20~29세,"15,034","1,559","2,027","1,836","5,090","1,266","1,524",445,510,178,103,425,0,71
2020년11월_남_30~39세,"13,822","1,786","1,703","1,895","3,744","1,604","1,593",470,352,172,114,328,0,61
2020년11월_남_40~49세,"19,132","2,273","2,262","2,821","6,441","1,530","1,618",743,457,250,153,475,0,109
2020년11월_남_50~59세,"22,138","2,360","2,652","2,768","6,693","1,844","2,105",919,903,497,305,893,0,199
2020년11월_남_60~69세,"15,185","1,347","1,932","1,704","3,402","1,382","1,601",825,848,552,431,916,0,245
2020년11월_남_70~79세,"6,425",495,821,666,"1,201",536,728,426,434,269,244,474,0,131
2020년11월_남_80~89세,"2,050",149,261,208,322,172,232,145,141,90,108,160,0,62
2020년11월_남_90~99세,177,10,21,20,24,17,20,10,17,9,11,14,0,4
2020년11월_남_100세 이상,5,3,0,0,0,1,0,1,0,0,0,0,0,0
2020년11월_여_총인구수,"107,699","8,748","14,227","13,702","35,209","9,434","10,389","3,879","3,710","2,036","1,587","3,902",0,876
2020년11월_여_연령구간인구수,"107,699","8,748","14,227","13,702","35,209","9,434","10,389","3,879","3,710","2,036","1,587","3,902",0,876
2020년11월_여_0~9세,"8,734",730,"1,217","1,266","3,289",896,717,236,130,71,28,122,0,32
2020년11월_여_10~19세,"10,786",776,"1,377","1,600","4,769",779,716,241,171,86,59,182,0,30
2020년11월_여_20~29세,"11,482",968,"1,544","1,448","4,135","1,082","1,126",294,342,129,68,297,0,49
2020년11월_여_30~39세,"12,148","1,039","1,590","1,694","4,010","1,304","1,322",417,279,123,88,232,0,50
2020년11월_여_40~49세,"18,282","1,447","2,317","2,569","7,424","1,440","1,513",438,345,181,103,446,0,59
2020년11월_여_50~59세,"19,682","1,617","2,639","2,328","6,209","1,662","2,072",686,800,416,258,839,0,156
2020년11월_여_60~69세,"14,160","1,184","1,936","1,483","3,155","1,248","1,586",796,781,502,393,876,0,220
2020년11월_여_70~79세,"7,266",604,911,767,"1,379",612,816,480,487,269,297,498,0,146
2020년11월_여_80~89세,"4,334",319,583,475,718,337,433,248,323,208,242,337,0,111
2020년11월_여_90~99세,796,56,106,71,119,70,87,42,52,49,51,71,0,22
2020년11월_여_100세 이상,29,8,7,1,2,4,1,1,0,2,0,2,0,1
