카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년02월_계_총인구수,"231,743","5,784","9,690","11,475","8,180","8,570","16,794","16,125","13,138","17,879","27,326","2,416","10,049","29,464","19,949","33,820","1,084"
2021년02월_계_연령구간인구수,"231,743","5,784","9,690","11,475","8,180","8,570","16,794","16,125","13,138","17,879","27,326","2,416","10,049","29,464","19,949","33,820","1,084"
2021년02월_계_0~9세,"12,909",103,326,347,262,298,875,"1,147",521,905,"2,674",79,512,"1,225","1,344","2,217",74
2021년02월_계_10~19세,"17,521",267,468,560,357,461,"1,415","1,342",817,"1,172","2,447",103,700,"2,048","1,949","3,302",113
2021년02월_계_20~29세,"32,946",555,"1,138","1,244",828,893,"2,503","2,261","1,551","5,637","3,402",220,"1,083","4,512","2,582","4,456",81
2021년02월_계_30~39세,"24,953",466,946,"1,093",811,806,"1,783","1,972","1,428","1,975","3,739",210,959,"3,016","2,252","3,417",80
2021년02월_계_40~49세,"32,036",739,"1,170","1,349",985,"1,126","2,397","2,276","1,782","2,207","4,719",239,"1,238","3,672","3,029","4,935",173
2021년02월_계_50~59세,"40,277","1,143","1,944","2,308","1,580","1,460","2,967","2,799","2,267","2,256","3,776",488,"1,796","5,547","3,663","6,117",166
2021년02월_계_60~69세,"39,076","1,323","2,178","2,478","1,911","1,782","2,703","2,468","2,669","2,001","3,384",547,"1,951","5,143","2,957","5,358",223
2021년02월_계_70~79세,"21,701",799,"1,076","1,467","1,059","1,222","1,424","1,175","1,533","1,149","2,041",344,"1,215","2,957","1,467","2,663",110
2021년02월_계_80~89세,"8,908",343,383,563,337,467,634,593,507,506,869,165,522,"1,189",621,"1,159",50
2021년02월_계_90~99세,"1,216",34,47,56,46,52,86,87,60,60,176,19,69,149,77,186,12
2021년02월_계_100세 이상,200,12,14,10,4,3,7,5,3,11,99,2,4,6,8,10,2
2021년02월_남_총인구수,"113,219","2,956","4,824","5,738","4,326","4,109","8,062","7,713","6,312","9,243","13,145","1,282","4,932","14,419","9,480","16,149",529
2021년02월_남_연령구간인구수,"113,219","2,956","4,824","5,738","4,326","4,109","8,062","7,713","6,312","9,243","13,145","1,282","4,932","14,419","9,480","16,149",529
2021년02월_남_0~9세,"6,621",54,165,184,150,160,466,574,258,430,"1,413",45,267,632,691,"1,097",35
2021년02월_남_10~19세,"9,030",148,233,270,189,227,743,683,448,589,"1,344",57,369,"1,037",949,"1,682",62
2021년02월_남_20~29세,"17,814",308,623,697,468,485,"1,287","1,172",822,"3,295","1,758",121,622,"2,453","1,340","2,315",48
2021년02월_남_30~39세,"12,968",293,508,620,463,435,904,"1,005",759,"1,092","1,778",130,500,"1,656","1,111","1,678",36
2021년02월_남_40~49세,"15,968",441,640,761,603,627,"1,132","1,083",921,"1,136","2,315",129,598,"1,818","1,406","2,272",86
