카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년12월_계_총인구수,"282,276","6,960","7,892","7,186","2,324","1,576","1,940","2,671","3,109","3,007","3,357","5,295","4,409","4,597","2,612","1,578","3,468","4,867","7,093","22,766","9,488","11,687","38,469","8,559","23,388","14,463","25,428","15,622","6,719","31,746"
2020년12월_계_연령구간인구수,"282,276","6,960","7,892","7,186","2,324","1,576","1,940","2,671","3,109","3,007","3,357","5,295","4,409","4,597","2,612","1,578","3,468","4,867","7,093","22,766","9,488","11,687","38,469","8,559","23,388","14,463","25,428","15,622","6,719","31,746"
2020년12월_계_0~9세,"19,166",362,530,270,64,27,35,74,106,90,182,324,92,186,66,24,104,312,316,"1,700",439,487,"3,664",876,"1,533","1,269","2,294",629,553,"2,558"
2020년12월_계_10~19세,"27,908",582,614,507,132,63,92,149,141,146,167,341,203,291,106,85,142,330,419,"2,257",718,844,"4,339",973,"2,726","2,095","3,463","1,124",655,"4,204"
2020년12월_계_20~29세,"36,202",631,680,659,179,96,131,181,218,138,314,674,265,398,238,100,377,506,920,"2,553","1,388","1,335","4,767",898,"3,336","2,327","3,559","4,063",763,"4,508"
2020년12월_계_30~39세,"28,467",526,779,533,127,64,89,154,200,155,275,464,220,343,159,69,302,518,777,"2,435",903,998,"4,402","1,170","2,404","1,618","3,089","1,478",841,"3,375"
2020년12월_계_40~49세,"41,935",813,"1,046",782,223,133,172,229,327,265,339,586,400,540,237,149,425,716,844,"3,495","1,260","1,491","6,255","1,439","3,605","2,795","4,953","1,698","1,047","5,671"
2020년12월_계_50~59세,"48,996","1,212","1,368","1,325",436,267,357,367,558,514,553,926,741,824,554,229,550,939,"1,134","4,042","1,892","1,933","6,318","1,255","4,488","2,499","4,489","2,293","1,097","5,836"
2020년12월_계_60~69세,"40,484","1,400","1,439","1,401",452,381,456,614,661,718,643,"1,006","1,013",944,527,362,740,842,"1,303","3,430","1,637","2,133","4,817","1,052","3,283","1,005","2,161","2,028",887,"3,149"
2020년12월_계_70~79세,"24,521",862,852,979,410,282,344,529,532,557,519,620,834,571,395,315,565,478,897,"1,887",848,"1,722","2,538",612,"1,321",582,939,"1,460",520,"1,551"
2020년12월_계_80~89세,"12,506",485,502,607,246,222,221,323,327,368,321,309,531,422,273,210,213,192,429,849,352,659,"1,181",254,576,240,420,709,275,790
2020년12월_계_90~99세,"1,985",81,79,112,51,40,40,51,38,52,42,43,103,76,54,32,45,31,52,109,49,82,182,28,113,33,58,129,78,102
2020년12월_계_100세 이상,106,6,3,11,4,1,3,0,1,4,2,2,7,2,3,3,5,3,2,9,2,3,6,2,3,0,3,11,3,2
