,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년04월_계_총인구수,"20,314","1,159",991,"5,061","1,217",225,"1,875","6,443",931,381,"2,031"
2021년04월_계_연령구간인구수,"20,314","1,159",991,"5,061","1,217",225,"1,875","6,443",931,381,"2,031"
2021년04월_계_0~9세,917,34,24,337,54,2,42,288,23,13,100
2021년04월_계_10~19세,"1,068",45,27,279,62,9,82,403,30,18,113
2021년04월_계_20~29세,"2,620",85,52,992,182,35,131,577,79,27,460
2021년04월_계_30~39세,"1,852",73,57,588,127,15,89,615,40,20,228
2021년04월_계_40~49세,"2,334",118,113,628,115,16,152,818,86,37,251
2021년04월_계_50~59세,"3,559",196,204,700,204,26,362,"1,285",196,72,314
2021년04월_계_60~69세,"4,180",340,274,791,236,49,471,"1,385",228,88,318
2021년04월_계_70~79세,"2,384",165,161,426,157,53,337,727,151,65,142
2021년04월_계_80~89세,"1,142",83,58,255,68,17,170,295,83,30,83
2021년04월_계_90~99세,245,17,19,62,12,3,38,47,14,11,22
2021년04월_계_100세 이상,13,3,2,3,0,0,1,3,1,0,0
2021년04월_남_총인구수,"11,528",610,520,"2,960",700,140,"1,013","3,600",504,197,"1,284"
2021년04월_남_연령구간인구수,"11,528",610,520,"2,960",700,140,"1,013","3,600",504,197,"1,284"
2021년04월_남_0~9세,467,15,13,175,27,0,18,150,14,8,47
2021년04월_남_10~19세,576,21,15,130,33,8,43,235,16,9,66
2021년04월_남_20~29세,"1,899",49,28,779,132,29,82,381,46,12,361
2021년04월_남_30~39세,"1,138",41,34,343,81,13,52,382,23,14,155
2021년04월_남_40~49세,"1,463",64,69,405,78,14,92,485,59,19,178
2021년04월_남_50~59세,"2,060",112,118,402,108,16,228,712,122,45,197
2021년04월_남_60~69세,"2,261",186,140,418,139,29,264,754,118,45,168
2021년04월_남_70~79세,"1,193",89,84,205,64,24,164,380,73,36,74
2021년04월_남_80~89세,417,29,18,85,33,7,63,112,31,8,31
2021년04월_남_90~99세,50,3,0,17,5,0,7,8,2,1,7
2021년04월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2021년04월_여_총인구수,"8,786",549,471,"2,101",517,85,862,"2,843",427,184,747
2021년04월_여_연령구간인구수,"8,786",549,471,"2,101",517,85,862,"2,843",427,184,747
2021년04월_여_0~9세,450,19,11,162,27,2,24,138,9,5,53
2021년04월_여_10~19세,492,24,12,149,29,1,39,168,14,9,47
2021년04월_여_20~29세,721,36,24,213,50,6,49,196,33,15,99
2021년04월_여_30~39세,714,32,23,245,46,2,37,233,17,6,73
2021년04월_여_40~49세,871,54,44,223,37,2,60,333,27,18,73
2021년04월_여_50~59세,"1,499",84,86,298,96,10,134,573,74,27,117
2021년04월_여_60~69세,"1,919",154,134,373,97,20,207,631,110,43,150
2021년04월_여_70~79세,"1,191",76,77,221,93,29,173,347,78,29,68
2021년04월_여_80~89세,725,54,40,170,35,10,107,183,52,22,52
2021년04월_여_90~99세,195,14,19,45,7,3,31,39,12,10,15
2021년04월_여_100세 이상,9,2,1,2,0,0,1,2,1,0,0
