카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년12월_계_총인구수,"1,542,840","282,765","354,376","213,321","90,593","42,719","82,665","65,243","69,242","46,472","38,662","41,681","36,870","44,699","24,857","22,278","31,694","26,757","27,946"
2020년12월_계_연령구간인구수,"1,542,840","282,765","354,376","213,321","90,593","42,719","82,665","65,243","69,242","46,472","38,662","41,681","36,870","44,699","24,857","22,278","31,694","26,757","27,946"
2020년12월_계_0~9세,"105,598","21,669","28,302","13,488","6,625","2,574","5,859","3,861","3,800","2,159","1,677","1,868","1,736","3,365","1,791","1,702","2,499","1,273","1,350"
2020년12월_계_10~19세,"137,508","26,937","35,918","18,974","8,817","3,831","7,478","5,134","5,180","3,500","2,869","2,907","2,544","3,795","1,797","2,047","2,314","1,621","1,845"
2020년12월_계_20~29세,"180,015","37,345","45,576","25,201","9,419","3,679","9,018","7,236","6,875","3,851","3,311","3,415","2,820","5,846","3,906","3,171","4,067","2,868","2,411"
2020년12월_계_30~39세,"166,349","34,254","45,323","21,691","9,233","3,779","9,199","5,795","6,139","3,439","2,780","3,098","3,078","4,687","2,846","2,547","3,902","2,219","2,340"
2020년12월_계_40~49세,"224,378","42,476","57,215","32,357","14,569","6,434","12,482","8,923","8,297","5,119","4,614","5,341","4,978","5,687","2,745","2,556","3,998","3,063","3,524"
2020년12월_계_50~59세,"267,815","47,024","60,829","36,652","15,638","7,376","15,176","11,331","12,754","8,739","7,364","8,080","6,986","7,227","3,914","3,547","5,255","4,822","5,101"
2020년12월_계_60~69세,"241,578","38,227","45,593","33,706","13,905","7,682","12,798","11,167","13,820","10,273","8,091","8,876","7,575","6,726","3,837","3,365","5,205","5,193","5,539"
2020년12월_계_70~79세,"135,459","21,021","21,636","19,586","8,082","4,924","6,804","7,187","7,310","5,592","4,834","4,988","4,520","4,716","2,415","2,020","2,677","3,499","3,648"
2020년12월_계_80~89세,"72,012","11,775","12,062","9,908","3,750","2,093","3,202","3,976","4,387","3,242","2,715","2,701","2,231","2,244","1,366","1,160","1,507","1,843","1,850"
2020년12월_계_90~99세,"11,264","1,918","1,810","1,649",524,282,617,582,637,523,355,365,352,361,225,148,256,339,321
2020년12월_계_100세 이상,864,119,112,109,31,65,32,51,43,35,52,42,50,45,15,15,14,17,17
2020년12월_남_총인구수,"776,505","139,576","175,939","105,794","45,991","21,640","40,965","33,011","35,663","23,822","19,986","21,321","19,174","23,216","13,472","11,829","17,084","13,802","14,220"
2020년12월_남_연령구간인구수,"776,505","139,576","175,939","105,794","45,991","21,640","40,965","33,011","35,663","23,822","19,986","21,321","19,174","23,216","13,472","11,829","17,084","13,802","14,220"
2020년12월_남_0~9세,"54,030","11,116","14,424","6,966","3,414","1,338","2,981","1,962","1,911","1,134",889,920,893,"1,706",899,861,"1,273",651,692
2020년12월_남_10~19세,"71,555","13,987","18,628","9,958","4,589","1,994","3,863","2,665","2,673","1,833","1,536","1,537","1,322","1,965",905,"1,035","1,209",879,977
2020년12월_남_20~29세,"101,305","19,930","24,281","13,805","5,560","2,114","5,094","4,042","4,185","2,188","1,918","1,992","1,608","3,789","2,734","2,132","2,692","1,824","1,417"
2020년12월_남_30~39세,"87,423","17,487","23,037","11,408","4,941","1,988","4,928","3,143","3,367","1,807","1,518","1,664","1,724","2,583","1,667","1,415","2,229","1,252","1,265"
2020년12월_남_40~49세,"115,276","20,992","28,219","16,473","7,580","3,432","6,211","4,910","4,457","2,852","2,535","2,910","2,901","3,036","1,488","1,396","2,233","1,717","1,934"
2020년12월_남_50~59세,"137,661","23,596","30,560","18,387","8,073","3,940","7,492","6,081","6,711","4,624","4,071","4,323","3,826","3,857","2,126","1,887","2,778","2,604","2,725"
