,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년11월_계_총인구수,"154,383","40,130","5,781","19,522","11,573","14,787","20,609","8,743","21,170","12,068"
2021년11월_계_연령구간인구수,"154,383","40,130","5,781","19,522","11,573","14,787","20,609","8,743","21,170","12,068"
2021년11월_계_0~9세,"13,823","3,408",228,"2,065",851,"1,275","1,967",592,"2,258","1,179"
2021년11월_계_10~19세,"15,644","4,138",351,"1,915","1,144","1,384","2,336",923,"2,164","1,289"
2021년11월_계_20~29세,"16,846","4,463",706,"1,919","1,452","1,813","2,267",848,"2,295","1,083"
2021년11월_계_30~39세,"21,444","5,666",755,"2,724","1,423","2,026","2,567","1,021","3,599","1,663"
2021년11월_계_40~49세,"26,202","7,341",825,"3,262","1,944","2,354","3,450","1,424","3,510","2,092"
2021년11월_계_50~59세,"24,844","6,619","1,020","3,117","2,218","2,300","3,670","1,370","2,763","1,767"
2021년11월_계_60~69세,"23,778","5,591","1,194","2,903","1,786","2,318","3,017","1,696","3,300","1,973"
2021년11월_계_70~79세,"8,806","2,136",526,"1,131",552,"1,026",991,664,"1,037",743
2021년11월_계_80~89세,"2,629",669,158,433,182,257,292,188,213,237
2021년11월_계_90~99세,359,97,18,51,19,33,51,17,31,42
2021년11월_계_100세 이상,8,2,0,2,2,1,1,0,0,0
2021년11월_남_총인구수,"80,551","21,557","3,103","10,026","6,062","7,608","10,467","4,471","11,175","6,082"
2021년11월_남_연령구간인구수,"80,551","21,557","3,103","10,026","6,062","7,608","10,467","4,471","11,175","6,082"
2021년11월_남_0~9세,"7,040","1,730",116,"1,043",439,658,974,304,"1,174",602
2021년11월_남_10~19세,"8,293","2,228",184,"1,012",621,770,"1,172",464,"1,173",669
2021년11월_남_20~29세,"9,418","2,559",404,"1,055",802,896,"1,256",494,"1,356",596
2021년11월_남_30~39세,"11,774","3,262",474,"1,392",795,"1,100","1,310",573,"1,993",875
2021년11월_남_40~49세,"14,278","4,207",485,"1,786","1,013","1,292","1,763",751,"1,881","1,100"
2021년11월_남_50~59세,"12,512","3,500",531,"1,598","1,135","1,131","1,830",664,"1,296",827
2021년11월_남_60~69세,"11,796","2,801",569,"1,442",912,"1,105","1,533",830,"1,627",977
2021년11월_남_70~79세,"4,483","1,049",275,552,276,552,521,323,576,359
2021년11월_남_80~89세,904,213,61,133,68,96,102,67,93,71
2021년11월_남_90~99세,52,8,4,13,1,7,6,1,6,6
2021년11월_남_100세 이상,1,0,0,0,0,1,0,0,0,0
2021년11월_여_총인구수,"73,832","18,573","2,678","9,496","5,511","7,179","10,142","4,272","9,995","5,986"
2021년11월_여_연령구간인구수,"73,832","18,573","2,678","9,496","5,511","7,179","10,142","4,272","9,995","5,986"
2021년11월_여_0~9세,"6,783","1,678",112,"1,022",412,617,993,288,"1,084",577
2021년11월_여_10~19세,"7,351","1,910",167,903,523,614,"1,164",459,991,620
2021년11월_여_20~29세,"7,428","1,904",302,864,650,917,"1,011",354,939,487
2021년11월_여_30~39세,"9,670","2,404",281,"1,332",628,926,"1,257",448,"1,606",788
2021년11월_여_40~49세,"11,924","3,134",340,"1,476",931,"1,062","1,687",673,"1,629",992
2021년11월_여_50~59세,"12,332","3,119",489,"1,519","1,083","1,169","1,840",706,"1,467",940
2021년11월_여_60~69세,"11,982","2,790",625,"1,461",874,"1,213","1,484",866,"1,673",996
2021년11월_여_70~79세,"4,323","1,087",251,579,276,474,470,341,461,384
2021년11월_여_80~89세,"1,725",456,97,300,114,161,190,121,120,166
2021년11월_여_90~99세,307,89,14,38,18,26,45,16,25,36
2021년11월_여_100세 이상,7,2,0,2,2,0,1,0,0,0
