카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년12월_계_총인구수,"174,545","53,230","8,657","82,029","22,549","8,080"
2020년12월_계_연령구간인구수,"174,545","53,230","8,657","82,029","22,549","8,080"
2020년12월_계_0~9세,"19,153","3,178",408,"12,288","2,878",401
2020년12월_계_10~19세,"17,475","4,470",430,"10,602","1,539",434
2020년12월_계_20~29세,"17,066","6,390","1,029","6,695","2,213",739
2020년12월_계_30~39세,"24,960","5,599","1,049","13,389","4,232",691
2020년12월_계_40~49세,"32,215","8,351",952,"18,454","3,451","1,007"
2020년12월_계_50~59세,"24,006","9,430","1,556","8,398","3,188","1,434"
2020년12월_계_60~69세,"21,398","8,225","1,650","6,897","2,862","1,764"
2020년12월_계_70~79세,"12,335","4,994",971,"3,810","1,479","1,081"
2020년12월_계_80~89세,"5,150","2,256",512,"1,313",603,466
2020년12월_계_90~99세,744,317,90,178,98,61
2020년12월_계_100세 이상,43,20,10,5,6,2
2020년12월_남_총인구수,"86,439","25,975","4,619","40,524","11,245","4,076"
2020년12월_남_연령구간인구수,"86,439","25,975","4,619","40,524","11,245","4,076"
2020년12월_남_0~9세,"9,742","1,649",207,"6,257","1,440",189
2020년12월_남_10~19세,"9,091","2,323",243,"5,513",777,235
2020년12월_남_20~29세,"9,053","3,427",616,"3,356","1,216",438
2020년12월_남_30~39세,"12,419","2,956",618,"6,342","2,143",360
2020년12월_남_40~49세,"16,531","4,150",559,"9,459","1,803",560
2020년12월_남_50~59세,"12,131","4,675",858,"4,314","1,558",726
2020년12월_남_60~69세,"9,959","3,851",854,"3,016","1,400",838
2020년12월_남_70~79세,"5,618","2,105",490,"1,776",696,551
2020년12월_남_80~89세,"1,754",788,148,463,191,164
2020년12월_남_90~99세,133,49,20,28,21,15
2020년12월_남_100세 이상,8,2,6,0,0,0
2020년12월_여_총인구수,"88,106","27,255","4,038","41,505","11,304","4,004"
2020년12월_여_연령구간인구수,"88,106","27,255","4,038","41,505","11,304","4,004"
2020년12월_여_0~9세,"9,411","1,529",201,"6,031","1,438",212
2020년12월_여_10~19세,"8,384","2,147",187,"5,089",762,199
2020년12월_여_20~29세,"8,013","2,963",413,"3,339",997,301
2020년12월_여_30~39세,"12,541","2,643",431,"7,047","2,089",331
2020년12월_여_40~49세,"15,684","4,201",393,"8,995","1,648",447
2020년12월_여_50~59세,"11,875","4,755",698,"4,084","1,630",708
2020년12월_여_60~69세,"11,439","4,374",796,"3,881","1,462",926
2020년12월_여_70~79세,"6,717","2,889",481,"2,034",783,530
2020년12월_여_80~89세,"3,396","1,468",364,850,412,302
2020년12월_여_90~99세,611,268,70,150,77,46
2020년12월_여_100세 이상,35,18,4,5,6,2
