,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년10월_계_총인구수,"64,038","12,498","9,814",616,228,"3,178","2,977","4,382","3,888","4,950","1,907","2,649","3,335","2,319","3,135","2,283","3,103","1,287","1,489"
2020년10월_계_연령구간인구수,"64,038","12,498","9,814",616,228,"3,178","2,977","4,382","3,888","4,950","1,907","2,649","3,335","2,319","3,135","2,283","3,103","1,287","1,489"
2020년10월_계_0~9세,"2,622","1,029",517,25,4,72,74,130,85,125,60,45,84,59,120,62,70,27,34
2020년10월_계_10~19세,"3,916","1,456",761,20,12,101,136,203,172,227,91,97,124,107,127,71,100,47,64
2020년10월_계_20~29세,"4,176","1,236",754,13,11,145,146,234,208,252,83,114,229,130,203,117,146,66,89
2020년10월_계_30~39세,"3,730","1,185",720,25,15,146,148,190,150,218,67,91,157,115,164,106,108,48,77
2020년10월_계_40~49세,"6,333","1,869","1,201",30,32,221,230,363,322,436,161,201,258,153,277,142,215,92,130
2020년10월_계_50~59세,"10,311","1,966","1,681",33,44,490,494,689,648,815,302,423,593,361,480,409,442,196,245
2020년10월_계_60~69세,"12,664","1,782","1,880",96,27,706,610,933,846,"1,057",411,583,720,574,678,495,636,273,357
2020년10월_계_70~79세,"11,498","1,212","1,480",191,45,726,591,941,819,"1,032",414,574,619,460,574,470,750,313,287
2020년10월_계_80~89세,"7,497",632,712,155,36,479,465,627,543,685,270,421,463,311,433,354,537,190,184
2020년10월_계_90~99세,"1,238",121,103,28,2,92,82,70,89,94,46,99,84,47,75,55,95,34,22
2020년10월_계_100세 이상,53,10,5,0,0,0,1,2,6,9,2,1,4,2,4,2,4,1,0
2020년10월_남_총인구수,"31,092","6,162","4,802",311,118,"1,579","1,424","2,123","1,870","2,376",928,"1,245","1,591","1,088","1,538","1,098","1,461",622,756
2020년10월_남_연령구간인구수,"31,092","6,162","4,802",311,118,"1,579","1,424","2,123","1,870","2,376",928,"1,245","1,591","1,088","1,538","1,098","1,461",622,756
2020년10월_남_0~9세,"1,302",510,257,11,0,34,36,67,31,61,33,18,44,26,69,33,39,12,21
2020년10월_남_10~19세,"2,085",780,399,10,5,54,66,107,75,121,43,56,72,62,70,45,57,28,35
2020년10월_남_20~29세,"2,457",709,417,3,9,104,78,142,131,152,48,75,130,82,124,75,78,45,55
2020년10월_남_30~39세,"2,032",571,378,12,11,98,94,111,96,120,35,52,93,57,96,67,68,33,40
2020년10월_남_40~49세,"3,683",938,650,17,27,158,139,219,204,271,108,136,164,88,174,100,138,61,91
2020년10월_남_50~59세,"5,712","1,033",888,18,26,306,291,383,352,463,183,237,315,204,279,224,261,108,141
2020년10월_남_60~69세,"6,287",843,908,52,13,360,335,451,414,504,205,294,372,291,333,259,314,147,192
2020년10월_남_70~79세,"4,940",553,651,109,17,298,235,400,392,431,175,246,243,182,243,192,321,126,126
2020년10월_남_80~89세,"2,319",204,236,71,10,146,134,224,161,225,86,114,133,90,120,96,167,53,49
2020년10월_남_90~99세,267,18,17,8,0,21,16,18,14,27,11,17,25,6,30,6,18,9,6
2020년10월_남_100세 이상,8,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년10월_여_총인구수,"32,946","6,336","5,012",305,110,"1,599","1,553","2,259","2,018","2,574",979,"1,404","1,744","1,231","1,597","1,185","1,642",665,733
2020년10월_여_연령구간인구수,"32,946","6,336","5,012",305,110,"1,599","1,553","2,259","2,018","2,574",979,"1,404","1,744","1,231","1,597","1,185","1,642",665,733
2020년10월_여_0~9세,"1,320",519,260,14,4,38,38,63,54,64,27,27,40,33,51,29,31,15,13
2020년10월_여_10~19세,"1,831",676,362,10,7,47,70,96,97,106,48,41,52,45,57,26,43,19,29
2020년10월_여_20~29세,"1,719",527,337,10,2,41,68,92,77,100,35,39,99,48,79,42,68,21,34
2020년10월_여_30~39세,"1,698",614,342,13,4,48,54,79,54,98,32,39,64,58,68,39,40,15,37
2020년10월_여_40~49세,"2,650",931,551,13,5,63,91,144,118,165,53,65,94,65,103,42,77,31,39
2020년10월_여_50~59세,"4,599",933,793,15,18,184,203,306,296,352,119,186,278,157,201,185,181,88,104
2020년10월_여_60~69세,"6,377",939,972,44,14,346,275,482,432,553,206,289,348,283,345,236,322,126,165
2020년10월_여_70~79세,"6,558",659,829,82,28,428,356,541,427,601,239,328,376,278,331,278,429,187,161
2020년10월_여_80~89세,"5,178",428,476,84,26,333,331,403,382,460,184,307,330,221,313,258,370,137,135
2020년10월_여_90~99세,971,103,86,20,2,71,66,52,75,67,35,82,59,41,45,49,77,25,16
2020년10월_여_100세 이상,45,7,4,0,0,0,1,1,6,8,1,1,4,2,4,1,4,1,0
