,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년10월_계_총인구수,"13,400,615","1,187,638","274,480","369,314","174,683","369,161","941,480","242,451","216,013","483,016","459,418","552,154","240,364","311,790","821,068","302,761","531,655","93,915","653,383","348,265","305,118","1,076,564","474,658","298,726","303,180","62,011","197,781","711,815","229,424","495,391","274,620","163,960","288,922","1,075,490","258,355","440,826","376,309","463,155","219,513","186,695","467,084","850,050","380,821","230,005","147,578","111,605","43,574","62,476","118,609"
2020년10월_계_연령구간인구수,"13,400,615","1,187,638","274,480","369,314","174,683","369,161","941,480","242,451","216,013","483,016","459,418","552,154","240,364","311,790","821,068","302,761","531,655","93,915","653,383","348,265","305,118","1,076,564","474,658","298,726","303,180","62,011","197,781","711,815","229,424","495,391","274,620","163,960","288,922","1,075,490","258,355","440,826","376,309","463,155","219,513","186,695","467,084","850,050","380,821","230,005","147,578","111,605","43,574","62,476","118,609"
2020년10월_계_0~9세,"1,152,827","98,328","18,603","32,927","9,600","37,198","69,513","16,076","13,390","40,047","34,472","39,877","15,798","24,079","58,088","23,751","48,734","6,373","44,842","23,398","21,444","82,451","38,587","20,883","22,981","4,994","15,387","65,489","24,044","47,996","21,013","13,281","29,965","101,647","21,356","43,259","37,032","44,524","19,031","14,193","54,529","105,151","35,404","20,043","8,688","7,488","2,774","3,390","7,367"
2020년10월_계_10~19세,"1,335,101","119,069","28,952","33,606","13,974","42,537","88,264","17,730","16,694","53,840","42,593","52,825","19,026","33,799","71,255","31,016","53,086","8,622","64,521","34,241","30,280","105,464","41,535","29,796","34,133","6,288","18,300","77,566","24,935","49,970","26,811","14,756","24,679","123,211","26,553","51,035","45,623","48,794","23,551","18,341","47,186","96,248","33,799","24,156","12,387","9,638","3,195","4,715","9,860"
2020년10월_계_20~29세,"1,800,950","186,568","44,116","54,621","28,720","59,111","132,384","35,230","31,126","66,028","64,160","78,012","34,692","43,320","117,796","38,786","72,357","11,207","106,077","57,491","48,586","150,740","62,797","44,919","43,024","8,586","27,263","84,625","31,115","68,799","38,404","23,466","35,504","137,286","34,486","56,418","46,382","56,514","30,026","22,387","51,001","103,300","45,060","27,338","17,931","12,124","5,386","6,206","10,542"
2020년10월_계_30~39세,"1,908,030","179,607","32,847","58,650","24,656","63,454","137,397","36,145","31,051","70,201","59,855","76,895","33,156","43,739","116,910","42,020","79,520","10,180","85,444","43,730","41,714","142,116","67,274","38,125","36,717","8,576","26,540","89,861","39,172","76,517","38,521","22,982","49,467","146,212","33,938","60,051","52,223","67,019","30,529","23,175","75,055","151,165","58,094","28,135","14,663","11,563","4,240","5,763","10,837"
2020년10월_계_40~49세,"2,298,367","203,312","45,617","61,708","27,376","68,611","157,978","37,805","33,143","87,030","74,664","88,486","35,429","53,057","130,102","52,369","92,941","14,326","108,812","57,778","51,034","182,591","78,543","51,376","52,672","9,433","32,997","129,926","43,201","89,853","44,774","24,743","50,653","200,386","43,526","84,080","72,780","80,371","34,759","30,127","87,005","162,766","66,426","39,446","20,635","16,022","5,006","7,942","16,315"
2020년10월_계_50~59세,"2,231,904","196,754","49,407","62,370","30,627","54,350","156,067","41,466","38,380","76,221","80,168","98,036","43,775","54,261","148,277","50,424","86,383","16,401","127,595","68,423","59,172","194,323","82,583","55,705","56,035","10,904","35,825","116,538","33,133","86,891","48,415","29,521","41,517","164,329","43,107","66,322","54,900","72,401","35,375","31,395","66,365","114,656","63,295","38,026","29,256","20,092","7,179","11,424","20,939"
2020년10월_계_60~69세,"1,510,133","118,651","30,394","39,369","22,182","26,706","112,650","33,358","30,372","48,920","56,373","70,052","34,069","35,983","109,253","37,616","54,116","13,017","70,024","37,027","32,997","119,335","56,003","32,245","31,087","7,265","24,168","82,123","19,659","45,955","32,889","21,228","34,520","105,111","30,836","40,829","33,446","48,621","25,502","24,886","48,479","68,410","47,366","28,551","24,062","18,338","7,471","11,989","22,453"
2020년10월_계_70~79세,"762,765","56,366","15,763","17,383","11,888","11,332","57,877","17,187","15,184","25,506","31,156","31,631","16,473","15,158","46,396","17,988","28,421","8,802","29,577","16,710","12,867","61,832","30,324","15,527","15,981","3,669","11,683","44,475","9,681","19,230","15,046","9,023","15,888","65,580","15,968","26,215","23,397","28,648","13,047","13,609","25,582","31,875","21,830","16,218","12,482","10,193","5,067","6,848","13,045"
