카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년12월_계_총인구수,"187,012","59,273","5,368","7,450","3,383","5,834","15,332","5,281","6,300","7,589","6,850","3,545","1,967","12,473","23,763","22,604"
2020년12월_계_연령구간인구수,"187,012","59,273","5,368","7,450","3,383","5,834","15,332","5,281","6,300","7,589","6,850","3,545","1,967","12,473","23,763","22,604"
2020년12월_계_0~9세,"14,048","5,935",174,412,88,234,"1,419",148,385,304,217,90,42,704,"2,104","1,792"
2020년12월_계_10~19세,"17,999","7,538",299,640,146,273,"1,113",281,367,433,373,250,88,"1,054","2,555","2,589"
2020년12월_계_20~29세,"22,544","6,851",503,734,292,530,"2,028",466,778,669,699,407,191,"1,598","3,505","3,293"
2020년12월_계_30~39세,"23,127","8,457",410,666,255,544,"2,607",407,882,617,538,274,145,"1,342","3,196","2,787"
2020년12월_계_40~49세,"30,171","12,032",543,"1,050",338,719,"2,509",566,900,841,777,345,184,"1,758","4,030","3,579"
2020년12월_계_50~59세,"31,465","8,736","1,043","1,340",686,"1,107","2,378","1,031","1,207","1,408","1,445",658,391,"2,261","3,825","3,949"
2020년12월_계_60~69세,"25,328","5,341","1,163","1,374",754,"1,231","1,853","1,184",986,"1,675","1,424",736,468,"1,951","2,640","2,548"
2020년12월_계_70~79세,"13,644","2,884",712,692,469,677,899,653,485,971,812,468,253,"1,123","1,228","1,318"
2020년12월_계_80~89세,"7,596","1,328",448,465,316,461,463,452,267,584,508,290,176,584,597,657
2020년12월_계_90~99세,"1,034",164,69,74,37,54,59,89,40,82,52,26,28,90,81,89
2020년12월_계_100세 이상,56,7,4,3,2,4,4,4,3,5,5,1,1,8,2,3
2020년12월_남_총인구수,"96,355","29,891","2,848","3,752","1,780","3,171","8,562","2,771","3,530","3,946","3,634","1,841","1,022","6,247","12,017","11,343"
2020년12월_남_연령구간인구수,"96,355","29,891","2,848","3,752","1,780","3,171","8,562","2,771","3,530","3,946","3,634","1,841","1,022","6,247","12,017","11,343"
2020년12월_남_0~9세,"7,219","2,997",97,223,50,124,766,77,226,147,106,47,20,339,"1,077",923
2020년12월_남_10~19세,"9,340","3,907",177,320,80,146,573,129,197,238,191,104,50,529,"1,342","1,357"
2020년12월_남_20~29세,"12,406","3,636",290,401,184,333,"1,157",281,479,369,396,220,105,865,"1,875","1,815"
2020년12월_남_30~39세,"12,660","4,416",258,361,148,344,"1,540",239,550,378,332,182,89,725,"1,658","1,440"
2020년12월_남_40~49세,"16,095","6,151",323,569,200,445,"1,527",338,541,488,453,202,109,926,"2,077","1,746"
2020년12월_남_50~59세,"16,697","4,534",575,699,387,608,"1,381",580,658,772,834,363,208,"1,143","1,954","2,001"
2020년12월_남_60~69세,"12,765","2,512",634,699,383,671,981,637,542,847,744,383,242,954,"1,290","1,246"
2020년12월_남_70~79세,"6,249","1,274",320,298,220,325,450,311,233,476,378,226,125,515,534,564
2020년12월_남_80~89세,"2,704",429,161,169,118,164,176,166,89,215,189,110,69,231,186,232
2020년12월_남_90~99세,208,34,13,12,9,10,10,13,14,14,10,4,5,18,23,19
2020년12월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년12월_여_총인구수,"90,657","29,382","2,520","3,698","1,603","2,663","6,770","2,510","2,770","3,643","3,216","1,704",945,"6,226","11,746","11,261"
2020년12월_여_연령구간인구수,"90,657","29,382","2,520","3,698","1,603","2,663","6,770","2,510","2,770","3,643","3,216","1,704",945,"6,226","11,746","11,261"
2020년12월_여_0~9세,"6,829","2,938",77,189,38,110,653,71,159,157,111,43,22,365,"1,027",869
2020년12월_여_10~19세,"8,659","3,631",122,320,66,127,540,152,170,195,182,146,38,525,"1,213","1,232"
2020년12월_여_20~29세,"10,138","3,215",213,333,108,197,871,185,299,300,303,187,86,733,"1,630","1,478"
2020년12월_여_30~39세,"10,467","4,041",152,305,107,200,"1,067",168,332,239,206,92,56,617,"1,538","1,347"
2020년12월_여_40~49세,"14,076","5,881",220,481,138,274,982,228,359,353,324,143,75,832,"1,953","1,833"
2020년12월_여_50~59세,"14,768","4,202",468,641,299,499,997,451,549,636,611,295,183,"1,118","1,871","1,948"
2020년12월_여_60~69세,"12,563","2,829",529,675,371,560,872,547,444,828,680,353,226,997,"1,350","1,302"
2020년12월_여_70~79세,"7,395","1,610",392,394,249,352,449,342,252,495,434,242,128,608,694,754
2020년12월_여_80~89세,"4,892",899,287,296,198,297,287,286,178,369,319,180,107,353,411,425
2020년12월_여_90~99세,826,130,56,62,28,44,49,76,26,68,42,22,23,72,58,70
2020년12월_여_100세 이상,44,6,4,2,1,3,3,4,2,3,4,1,1,6,1,3
