,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년06월_계_총인구수,"1,597,593","842,821","184,165","198,950","265,681","194,025","210,173","133,395","32,578","50,802","47,736","37,178","81,742","37,493","94,288","29,387"
2020년06월_계_연령구간인구수,"1,597,593","842,821","184,165","198,950","265,681","194,025","210,173","133,395","32,578","50,802","47,736","37,178","81,742","37,493","94,288","29,387"
2020년06월_계_0~9세,"126,469","75,842","15,646","14,810","24,616","20,770","14,964","9,047","1,519","2,704","2,457","3,437","7,630","1,294","6,329","1,246"
2020년06월_계_10~19세,"151,063","86,890","19,439","21,092","26,870","19,489","19,178","11,947","2,146","3,945","3,495","3,429","8,004","2,072","7,915","2,042"
2020년06월_계_20~29세,"198,496","119,617","23,730","28,823","41,245","25,819","24,287","14,798","2,433","4,475","4,487","4,541","8,969","2,924","9,643","2,322"
2020년06월_계_30~39세,"197,029","119,435","21,952","23,786","41,356","32,341","23,715","13,336","2,287","4,012","3,436","4,841","11,221","2,492","10,165","2,089"
2020년06월_계_40~49세,"242,150","136,783","29,592","31,776","43,467","31,948","31,253","18,682","3,392","6,348","5,488","5,700","13,173","3,876","14,049","3,406"
2020년06월_계_50~59세,"273,957","137,656","32,088","34,990","43,037","27,541","37,844","24,201","6,003","9,101","8,550","6,095","13,521","7,375","17,843","5,768"
2020년06월_계_60~69세,"214,966","93,314","22,553","24,450","26,563","19,748","30,520","22,070","6,610","9,633","8,901","4,836","9,842","8,322","14,732","6,186"
2020년06월_계_70~79세,"119,630","46,746","12,081","12,386","11,966","10,313","17,473","12,356","4,572","6,230","6,480","2,664","5,509","5,424","8,254","3,922"
2020년06월_계_80~89세,"64,406","23,082","6,074","5,972","5,745","5,291","9,663","6,084","3,104","3,766","3,865","1,458","3,403","3,250","4,614","2,117"
2020년06월_계_90~99세,"8,869","3,265",952,815,780,718,"1,207",800,485,559,541,166,452,436,690,268
2020년06월_계_100세 이상,558,191,58,50,36,47,69,74,27,29,36,11,18,28,54,21
2020년06월_남_총인구수,"809,657","424,561","91,750","98,807","134,660","99,344","106,312","66,925","16,406","25,585","23,723","19,285","42,813","19,202","49,951","14,894"
2020년06월_남_연령구간인구수,"809,657","424,561","91,750","98,807","134,660","99,344","106,312","66,925","16,406","25,585","23,723","19,285","42,813","19,202","49,951","14,894"
2020년06월_남_0~9세,"64,673","38,681","7,959","7,532","12,534","10,656","7,593","4,622",791,"1,416","1,279","1,755","3,938",660,"3,291",647
2020년06월_남_10~19세,"78,661","45,266","10,136","11,017","13,991","10,122","9,981","6,176","1,148","2,063","1,773","1,780","4,195","1,064","4,130","1,085"
2020년06월_남_20~29세,"110,346","65,184","12,902","15,674","22,282","14,326","13,917","8,235","1,421","2,547","2,531","2,624","5,178","1,736","5,627","1,346"
2020년06월_남_30~39세,"104,196","62,317","11,165","12,174","21,705","17,273","12,765","6,949","1,266","2,082","1,817","2,670","6,125","1,407","5,682","1,116"
2020년06월_남_40~49세,"125,516","69,165","14,725","15,651","22,016","16,773","16,058","9,630","1,900","3,437","2,994","3,090","7,228","2,229","7,900","1,885"
2020년06월_남_50~59세,"140,932","68,962","16,080","17,241","21,578","14,063","19,401","12,353","3,299","4,853","4,515","3,210","7,384","3,989","9,895","3,071"
2020년06월_남_60~69세,"107,578","45,708","11,169","11,799","13,072","9,668","15,271","10,967","3,386","4,930","4,525","2,443","5,022","4,358","7,787","3,181"
2020년06월_남_70~79세,"53,670","20,846","5,340","5,493","5,434","4,579","7,719","5,594","2,024","2,845","2,819","1,177","2,505","2,515","3,882","1,744"
2020년06월_남_80~89세,"21,942","7,714","2,037","2,055","1,894","1,728","3,283","2,195","1,061","1,269","1,335",489,"1,148","1,140","1,564",744
2020년06월_남_90~99세,"1,988",669,226,156,148,139,308,179,109,136,125,44,86,97,168,67
2020년06월_남_100세 이상,155,49,11,15,6,17,16,25,1,7,10,3,4,7,25,8
2020년06월_여_총인구수,"787,936","418,260","92,415","100,143","131,021","94,681","103,861","66,470","16,172","25,217","24,013","17,893","38,929","18,291","44,337","14,493"
2020년06월_여_연령구간인구수,"787,936","418,260","92,415","100,143","131,021","94,681","103,861","66,470","16,172","25,217","24,013","17,893","38,929","18,291","44,337","14,493"
2020년06월_여_0~9세,"61,796","37,161","7,687","7,278","12,082","10,114","7,371","4,425",728,"1,288","1,178","1,682","3,692",634,"3,038",599
2020년06월_여_10~19세,"72,402","41,624","9,303","10,075","12,879","9,367","9,197","5,771",998,"1,882","1,722","1,649","3,809","1,008","3,785",957
2020년06월_여_20~29세,"88,150","54,433","10,828","13,149","18,963","11,493","10,370","6,563","1,012","1,928","1,956","1,917","3,791","1,188","4,016",976
2020년06월_여_30~39세,"92,833","57,118","10,787","11,612","19,651","15,068","10,950","6,387","1,021","1,930","1,619","2,171","5,096","1,085","4,483",973
2020년06월_여_40~49세,"116,634","67,618","14,867","16,125","21,451","15,175","15,195","9,052","1,492","2,911","2,494","2,610","5,945","1,647","6,149","1,521"
2020년06월_여_50~59세,"133,025","68,694","16,008","17,749","21,459","13,478","18,443","11,848","2,704","4,248","4,035","2,885","6,137","3,386","7,948","2,697"
2020년06월_여_60~69세,"107,388","47,606","11,384","12,651","13,491","10,080","15,249","11,103","3,224","4,703","4,376","2,393","4,820","3,964","6,945","3,005"
2020년06월_여_70~79세,"65,960","25,900","6,741","6,893","6,532","5,734","9,754","6,762","2,548","3,385","3,661","1,487","3,004","2,909","4,372","2,178"
2020년06월_여_80~89세,"42,464","15,368","4,037","3,917","3,851","3,563","6,380","3,889","2,043","2,497","2,530",969,"2,255","2,110","3,050","1,373"
2020년06월_여_90~99세,"6,881","2,596",726,659,632,579,899,621,376,423,416,122,366,339,522,201
2020년06월_여_100세 이상,403,142,47,35,30,30,53,49,26,22,26,8,14,21,29,13
