,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년02월_계_총인구수,"82,531","4,504","3,770","6,200","9,714","21,215","29,524","4,482","3,122"
2021년02월_계_연령구간인구수,"82,531","4,504","3,770","6,200","9,714","21,215","29,524","4,482","3,122"
2021년02월_계_0~9세,"5,784",168,247,228,541,"1,333","2,962",227,78
2021년02월_계_10~19세,"7,401",250,259,453,856,"2,195","3,027",245,116
2021년02월_계_20~29세,"8,952",425,330,620,"1,132","2,351","3,471",374,249
2021년02월_계_30~39세,"9,141",406,363,458,980,"2,153","4,067",489,225
2021년02월_계_40~49세,"12,430",507,513,763,"1,388","3,361","5,032",548,318
2021년02월_계_50~59세,"15,091",904,731,"1,239","1,745","3,988","4,977",859,648
2021년02월_계_60~69세,"13,009","1,022",678,"1,259","1,717","3,267","3,435",877,754
2021년02월_계_70~79세,"6,807",539,425,708,858,"1,624","1,680",500,473
2021년02월_계_80~89세,"3,264",238,192,381,415,791,741,290,216
2021년02월_계_90~99세,619,41,30,87,76,149,126,68,42
2021년02월_계_100세 이상,33,4,2,4,6,3,6,5,3
2021년02월_남_총인구수,"40,874","2,334","1,906","3,041","4,768","10,535","14,444","2,242","1,604"
2021년02월_남_연령구간인구수,"40,874","2,334","1,906","3,041","4,768","10,535","14,444","2,242","1,604"
2021년02월_남_0~9세,"2,940",87,136,131,271,655,"1,503",118,39
2021년02월_남_10~19세,"3,835",140,138,227,460,"1,122","1,554",121,73
2021년02월_남_20~29세,"5,034",264,182,369,627,"1,333","1,904",211,144
2021년02월_남_30~39세,"4,892",234,195,271,544,"1,156","2,076",276,140
2021년02월_남_40~49세,"6,210",283,277,391,709,"1,634","2,446",298,172
2021년02월_남_50~59세,"7,450",482,377,587,828,"1,982","2,383",466,345
2021년02월_남_60~69세,"6,269",498,323,607,822,"1,638","1,571",438,372
2021년02월_남_70~79세,"2,978",253,208,304,352,728,715,200,218
2021년02월_남_80~89세,"1,129",85,63,140,139,257,258,95,92
2021년02월_남_90~99세,124,6,7,12,14,30,31,16,8
2021년02월_남_100세 이상,13,2,0,2,2,0,3,3,1
2021년02월_여_총인구수,"41,657","2,170","1,864","3,159","4,946","10,680","15,080","2,240","1,518"
2021년02월_여_연령구간인구수,"41,657","2,170","1,864","3,159","4,946","10,680","15,080","2,240","1,518"
2021년02월_여_0~9세,"2,844",81,111,97,270,678,"1,459",109,39
2021년02월_여_10~19세,"3,566",110,121,226,396,"1,073","1,473",124,43
2021년02월_여_20~29세,"3,918",161,148,251,505,"1,018","1,567",163,105
2021년02월_여_30~39세,"4,249",172,168,187,436,997,"1,991",213,85
2021년02월_여_40~49세,"6,220",224,236,372,679,"1,727","2,586",250,146
2021년02월_여_50~59세,"7,641",422,354,652,917,"2,006","2,594",393,303
2021년02월_여_60~69세,"6,740",524,355,652,895,"1,629","1,864",439,382
2021년02월_여_70~79세,"3,829",286,217,404,506,896,965,300,255
2021년02월_여_80~89세,"2,135",153,129,241,276,534,483,195,124
2021년02월_여_90~99세,495,35,23,75,62,119,95,52,34
2021년02월_여_100세 이상,20,2,2,2,4,3,3,2,2
