,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년05월_계_총인구수,"102,506","10,692","2,348","1,445","1,951","2,186","2,991","2,729","2,018","1,862","3,059","7,687","6,195","3,974","3,544","6,631","8,239","7,906","19,057","7,992"
2021년05월_계_연령구간인구수,"102,506","10,692","2,348","1,445","1,951","2,186","2,991","2,729","2,018","1,862","3,059","7,687","6,195","3,974","3,544","6,631","8,239","7,906","19,057","7,992"
2021년05월_계_0~9세,"5,920",461,55,22,54,52,80,67,37,24,56,462,341,149,170,482,434,419,"2,035",520
2021년05월_계_10~19세,"8,721",746,98,55,85,100,123,127,72,60,113,904,572,290,243,856,624,676,"2,182",795
2021년05월_계_20~29세,"9,622",954,172,83,135,161,186,167,131,103,131,744,610,309,285,702,961,923,"1,992",873
2021년05월_계_30~39세,"8,322",739,112,44,108,109,150,124,83,79,136,573,465,273,249,506,685,626,"2,489",772
2021년05월_계_40~49세,"13,590","1,186",180,97,160,177,249,253,136,144,202,"1,229",849,463,407,"1,126","1,045","1,020","3,448","1,219"
2021년05월_계_50~59세,"17,552","1,814",464,252,331,357,483,489,358,326,541,"1,329","1,137",669,625,"1,204","1,527","1,568","2,697","1,381"
2021년05월_계_60~69세,"18,875","2,363",577,346,466,528,747,740,568,473,857,"1,187","1,064",862,754,866,"1,508","1,443","2,250","1,276"
2021년05월_계_70~79세,"11,739","1,432",348,282,306,367,527,449,345,330,565,770,718,578,514,555,945,778,"1,239",691
2021년05월_계_80~89세,"7,040",845,299,221,247,274,378,268,245,279,394,417,394,335,257,297,453,390,639,408
2021년05월_계_90~99세,"1,075",142,43,41,57,58,67,39,41,43,63,71,40,42,39,35,54,62,84,54
2021년05월_계_100세 이상,50,10,0,2,2,3,1,6,2,1,1,1,5,4,1,2,3,1,2,3
2021년05월_남_총인구수,"50,878","5,310","1,211",731,999,"1,106","1,516","1,389","1,012",928,"1,521","3,838","2,963","1,934","1,702","3,287","4,060","3,934","9,596","3,841"
2021년05월_남_연령구간인구수,"50,878","5,310","1,211",731,999,"1,106","1,516","1,389","1,012",928,"1,521","3,838","2,963","1,934","1,702","3,287","4,060","3,934","9,596","3,841"
2021년05월_남_0~9세,"3,072",234,25,16,29,27,39,30,19,13,31,242,176,85,101,242,212,216,"1,064",271
2021년05월_남_10~19세,"4,569",399,50,25,45,50,70,66,42,32,59,481,294,138,131,450,334,364,"1,118",421
2021년05월_남_20~29세,"5,637",590,112,59,87,102,116,101,83,74,76,458,341,185,159,427,540,552,"1,126",449
2021년05월_남_30~39세,"4,458",399,62,23,67,70,98,71,52,49,82,302,253,144,126,253,388,334,"1,278",407
2021년05월_남_40~49세,"7,020",643,102,66,100,102,157,153,77,89,131,595,413,244,201,537,540,496,"1,778",596
2021년05월_남_50~59세,"9,015",911,267,139,176,196,256,256,189,173,296,700,582,371,321,613,723,776,"1,409",661
2021년05월_남_60~69세,"9,056","1,165",303,181,257,277,385,376,294,258,419,559,473,382,331,393,683,669,"1,053",598
2021년05월_남_70~79세,"5,329",642,172,134,140,173,253,231,157,145,274,340,285,250,229,257,441,374,526,306
2021년05월_남_80~89세,"2,486",297,111,77,87,99,129,90,92,85,139,155,134,119,95,103,185,138,227,124
2021년05월_남_90~99세,227,27,7,11,11,10,13,13,6,9,14,6,11,16,8,12,14,15,16,8
2021년05월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년05월_여_총인구수,"51,628","5,382","1,137",714,952,"1,080","1,475","1,340","1,006",934,"1,538","3,849","3,232","2,040","1,842","3,344","4,179","3,972","9,461","4,151"
2021년05월_여_연령구간인구수,"51,628","5,382","1,137",714,952,"1,080","1,475","1,340","1,006",934,"1,538","3,849","3,232","2,040","1,842","3,344","4,179","3,972","9,461","4,151"
2021년05월_여_0~9세,"2,848",227,30,6,25,25,41,37,18,11,25,220,165,64,69,240,222,203,971,249
2021년05월_여_10~19세,"4,152",347,48,30,40,50,53,61,30,28,54,423,278,152,112,406,290,312,"1,064",374
2021년05월_여_20~29세,"3,985",364,60,24,48,59,70,66,48,29,55,286,269,124,126,275,421,371,866,424
2021년05월_여_30~39세,"3,864",340,50,21,41,39,52,53,31,30,54,271,212,129,123,253,297,292,"1,211",365
2021년05월_여_40~49세,"6,570",543,78,31,60,75,92,100,59,55,71,634,436,219,206,589,505,524,"1,670",623
2021년05월_여_50~59세,"8,537",903,197,113,155,161,227,233,169,153,245,629,555,298,304,591,804,792,"1,288",720
2021년05월_여_60~69세,"9,819","1,198",274,165,209,251,362,364,274,215,438,628,591,480,423,473,825,774,"1,197",678
2021년05월_여_70~79세,"6,410",790,176,148,166,194,274,218,188,185,291,430,433,328,285,298,504,404,713,385
2021년05월_여_80~89세,"4,554",548,188,144,160,175,249,178,153,194,255,262,260,216,162,194,268,252,412,284
2021년05월_여_90~99세,848,115,36,30,46,48,54,26,35,34,49,65,29,26,31,23,40,47,68,46
2021년05월_여_100세 이상,41,7,0,2,2,3,1,4,1,0,1,1,4,4,1,2,3,1,1,3
