,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년02월_계_총인구수,"151,016","48,851","2,195","3,096","3,312","2,857","2,832","1,788","1,592","58,085","12,367","12,246","1,795"
2021년02월_계_연령구간인구수,"151,016","48,851","2,195","3,096","3,312","2,857","2,832","1,788","1,592","58,085","12,367","12,246","1,795"
2021년02월_계_0~9세,"13,160","4,395",68,82,123,65,79,38,29,"6,386",941,900,54
2021년02월_계_10~19세,"15,849","5,084",129,143,168,136,81,89,56,"7,336","1,175","1,326",126
2021년02월_계_20~29세,"19,950","6,142",215,262,347,208,197,112,123,"8,325","1,659","2,174",186
2021년02월_계_30~39세,"18,315","5,913",146,153,247,167,164,100,120,"8,554","1,294","1,323",134
2021년02월_계_40~49세,"23,698","8,009",208,269,341,218,266,158,157,"10,542","1,945","1,388",197
2021년02월_계_50~59세,"29,128","8,510",438,667,648,552,499,338,305,"11,012","2,830","2,941",388
2021년02월_계_60~69세,"17,196","5,979",407,619,618,570,602,413,300,"3,971","1,659","1,718",340
2021년02월_계_70~79세,"8,230","2,958",309,488,461,511,533,299,270,"1,280",570,338,213
2021년02월_계_80~89세,"4,699","1,583",228,355,308,366,336,210,199,596,262,118,138
2021년02월_계_90~99세,766,268,46,56,50,60,73,30,33,79,32,20,19
2021년02월_계_100세 이상,25,10,1,2,1,4,2,1,0,4,0,0,0
2021년02월_남_총인구수,"78,778","25,033","1,137","1,522","1,699","1,422","1,395",896,879,"30,561","6,566","6,674",994
2021년02월_남_연령구간인구수,"78,778","25,033","1,137","1,522","1,699","1,422","1,395",896,879,"30,561","6,566","6,674",994
2021년02월_남_0~9세,"6,674","2,228",43,36,65,25,34,15,13,"3,240",489,457,29
2021년02월_남_10~19세,"8,203","2,661",76,70,88,80,43,46,34,"3,759",599,676,71
2021년02월_남_20~29세,"11,633","3,400",131,160,201,130,123,72,76,"4,781",997,"1,434",128
2021년02월_남_30~39세,"9,820","3,034",82,82,135,96,98,60,75,"4,576",723,767,92
2021년02월_남_40~49세,"12,187","4,220",125,139,191,129,161,103,109,"5,275","1,022",580,133
2021년02월_남_50~59세,"15,917","4,525",251,386,364,317,294,187,206,"6,025","1,542","1,598",222
2021년02월_남_60~69세,"9,052","3,095",213,320,326,291,294,219,163,"2,148",866,931,186
2021년02월_남_70~79세,"3,666","1,313",133,207,204,222,227,114,126,566,260,199,95
2021년02월_남_80~89세,"1,488",503,70,110,117,121,114,75,71,178,64,29,36
2021년02월_남_90~99세,133,53,12,11,8,11,7,5,6,11,4,3,2
2021년02월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2021년02월_여_총인구수,"72,238","23,818","1,058","1,574","1,613","1,435","1,437",892,713,"27,524","5,801","5,572",801
2021년02월_여_연령구간인구수,"72,238","23,818","1,058","1,574","1,613","1,435","1,437",892,713,"27,524","5,801","5,572",801
2021년02월_여_0~9세,"6,486","2,167",25,46,58,40,45,23,16,"3,146",452,443,25
2021년02월_여_10~19세,"7,646","2,423",53,73,80,56,38,43,22,"3,577",576,650,55
2021년02월_여_20~29세,"8,317","2,742",84,102,146,78,74,40,47,"3,544",662,740,58
2021년02월_여_30~39세,"8,495","2,879",64,71,112,71,66,40,45,"3,978",571,556,42
2021년02월_여_40~49세,"11,511","3,789",83,130,150,89,105,55,48,"5,267",923,808,64
2021년02월_여_50~59세,"13,211","3,985",187,281,284,235,205,151,99,"4,987","1,288","1,343",166
2021년02월_여_60~69세,"8,144","2,884",194,299,292,279,308,194,137,"1,823",793,787,154
2021년02월_여_70~79세,"4,564","1,645",176,281,257,289,306,185,144,714,310,139,118
2021년02월_여_80~89세,"3,211","1,080",158,245,191,245,222,135,128,418,198,89,102
2021년02월_여_90~99세,633,215,34,45,42,49,66,25,27,68,28,17,17
2021년02월_여_100세 이상,20,9,0,1,1,4,2,1,0,2,0,0,0
