카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년07월_계_총인구수,"280,925","2,761","8,654","1,939","20,558","6,322","6,539","2,880","1,339",847,"2,101","4,682","3,268","4,498","4,091","6,368","3,881","5,530","11,920","7,049","19,151","19,804","12,017","10,534","10,524","32,993","37,162","21,555","8,257","2,494","1,207"
2020년07월_계_연령구간인구수,"280,925","2,761","8,654","1,939","20,558","6,322","6,539","2,880","1,339",847,"2,101","4,682","3,268","4,498","4,091","6,368","3,881","5,530","11,920","7,049","19,151","19,804","12,017","10,534","10,524","32,993","37,162","21,555","8,257","2,494","1,207"
2020년07월_계_0~9세,"21,518",56,620,37,"2,150",288,141,73,15,25,63,241,109,168,120,270,160,181,794,489,"1,347","1,477",735,838,"1,073","2,882","4,745","1,253","1,062",74,32
2020년07월_계_10~19세,"26,816",110,664,71,"2,066",315,316,135,41,41,87,284,212,311,236,326,260,258,960,656,"1,965","2,183","1,118","1,256",941,"4,011","4,499","2,148","1,132",145,69
2020년07월_계_20~29세,"33,759",194,749,132,"2,227",474,555,158,63,55,168,442,384,386,350,708,419,476,"1,312",745,"2,523","2,551","1,821","1,435","1,085","5,147","4,596","3,354",869,272,109
2020년07월_계_30~39세,"31,580",134,821,95,"2,706",454,383,129,58,34,143,459,320,369,293,600,322,456,"1,235",723,"2,096","2,185","1,309","1,211","1,400","4,050","5,752","2,358","1,229",187,69
2020년07월_계_40~49세,"42,411",260,"1,294",148,"3,215",747,644,251,93,84,232,565,361,587,497,795,449,629,"1,628",938,"2,869","3,261","1,837","1,781","1,579","5,706","6,525","3,341","1,656",304,135
2020년07월_계_50~59세,"48,586",488,"1,419",332,"3,508","1,057","1,253",467,194,147,475,733,504,741,676,"1,066",630,949,"2,161","1,173","3,442","3,370","2,242","1,874","1,551","5,888","5,989","4,521","1,019",482,235
2020년07월_계_60~69세,"39,911",617,"1,577",450,"2,468","1,228","1,350",649,294,165,463,964,592,955,859,"1,292",798,"1,243","2,060","1,323","2,912","2,701","1,639","1,338","1,524","3,237","3,174","2,684",684,451,220
2020년07월_계_70~79세,"24,163",556,"1,004",389,"1,386","1,034","1,129",608,335,173,285,725,555,706,759,942,573,952,"1,303",754,"1,335","1,395",888,575,949,"1,405","1,236","1,232",437,349,194
2020년07월_계_80~89세,"10,496",296,443,246,727,617,647,359,201,104,153,221,208,241,262,320,233,341,418,211,584,581,380,187,358,572,550,572,153,189,122
2020년07월_계_90~99세,"1,580",48,62,38,99,102,117,47,44,18,29,43,21,26,34,43,35,38,41,34,77,100,47,38,56,91,94,91,14,31,22
2020년07월_계_100세 이상,105,2,1,1,6,6,4,4,1,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,2,1,2,10,0
2020년07월_남_총인구수,"143,194","1,385","4,482",953,"10,464","3,267","3,377","1,473",651,424,"1,177","2,371","1,658","2,242","2,109","3,324","1,922","2,821","6,024","3,517","9,431","9,966","6,423","5,307","5,296","16,929","18,629","11,361","4,226","1,357",628
2020년07월_남_연령구간인구수,"143,194","1,385","4,482",953,"10,464","3,267","3,377","1,473",651,424,"1,177","2,371","1,658","2,242","2,109","3,324","1,922","2,821","6,024","3,517","9,431","9,966","6,423","5,307","5,296","16,929","18,629","11,361","4,226","1,357",628
2020년07월_남_0~9세,"10,923",25,322,20,"1,109",144,79,39,7,13,34,119,54,89,68,157,72,84,401,249,665,768,383,418,545,"1,447","2,403",636,526,36,11
2020년07월_남_10~19세,"13,985",54,346,38,"1,047",175,176,74,17,21,47,148,112,167,126,187,121,118,507,323,"1,015","1,127",597,666,499,"2,089","2,382","1,082",609,83,32
2020년07월_남_20~29세,"19,061",110,420,72,"1,257",279,314,100,32,29,100,253,198,224,199,400,237,275,747,419,"1,401","1,407","1,102",758,594,"2,993","2,414","2,013",472,176,66
2020년07월_남_30~39세,"16,994",86,442,53,"1,398",267,236,86,39,16,83,259,198,207,182,361,186,251,686,370,"1,088","1,161",755,659,726,"2,120","2,869","1,411",624,125,50
2020년07월_남_40~49세,"22,368",175,777,100,"1,699",507,407,166,65,53,168,328,214,336,313,475,254,406,894,490,"1,424","1,627","1,000",855,842,"2,782","3,153","1,723",852,189,94
2020년07월_남_50~59세,"25,341",265,755,170,"1,822",608,734,287,107,98,282,381,269,383,363,567,316,539,"1,027",571,"1,621","1,711","1,227",929,782,"3,059","3,069","2,387",579,290,143
2020년07월_남_60~69세,"19,802",319,785,240,"1,270",617,725,331,169,80,258,450,275,428,408,593,363,558,990,645,"1,419","1,351",865,680,725,"1,600","1,600","1,382",319,235,122
2020년07월_남_70~79세,"10,923",231,453,174,612,448,492,262,149,76,146,349,241,309,339,455,279,448,613,362,580,622,378,275,449,657,555,548,192,160,69
2020년07월_남_80~89세,"3,493",110,167,78,229,207,189,117,57,33,54,70,91,90,103,120,90,132,154,81,205,176,111,63,126,171,168,161,50,52,38
2020년07월_남_90~99세,289,10,15,8,20,13,25,10,9,5,5,11,6,9,7,8,4,10,5,6,13,16,5,4,8,11,15,18,1,9,3
2020년07월_남_100세 이상,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020년07월_여_총인구수,"137,731","1,376","4,172",986,"10,094","3,055","3,162","1,407",688,423,924,"2,311","1,610","2,256","1,982","3,044","1,959","2,709","5,896","3,532","9,720","9,838","5,594","5,227","5,228","16,064","18,533","10,194","4,031","1,137",579
2020년07월_여_연령구간인구수,"137,731","1,376","4,172",986,"10,094","3,055","3,162","1,407",688,423,924,"2,311","1,610","2,256","1,982","3,044","1,959","2,709","5,896","3,532","9,720","9,838","5,594","5,227","5,228","16,064","18,533","10,194","4,031","1,137",579
