카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년12월_계_총인구수,"106,487","5,365","4,182","2,792","2,081","2,760","1,737","1,771","2,031","2,507","3,375","2,793","1,655","2,251","1,200","2,083","17,083","2,951","20,342","3,217","10,247","6,049","4,049","3,966"
2021년12월_계_연령구간인구수,"106,487","5,365","4,182","2,792","2,081","2,760","1,737","1,771","2,031","2,507","3,375","2,793","1,655","2,251","1,200","2,083","17,083","2,951","20,342","3,217","10,247","6,049","4,049","3,966"
2021년12월_계_0~9세,"5,840",222,163,54,58,70,44,37,36,68,64,60,44,76,29,54,"1,295",145,"1,508",146,900,468,180,119
2021년12월_계_10~19세,"9,257",339,253,126,81,110,64,102,84,101,161,66,68,135,47,88,"1,894",270,"2,669",243,"1,327",504,302,223
2021년12월_계_20~29세,"10,199",362,369,175,102,146,103,123,110,147,210,125,76,144,68,100,"2,158",300,"2,435",322,"1,176",597,404,447
2021년12월_계_30~39세,"8,394",342,292,131,121,184,79,85,99,135,161,172,99,95,47,96,"1,819",233,"1,776",226,"1,009",601,276,316
2021년12월_계_40~49세,"14,043",594,431,227,165,245,146,176,161,210,309,211,143,213,80,176,"2,997",452,"3,290",360,"1,679",901,458,419
2021년12월_계_50~59세,"18,118",838,819,519,347,426,247,325,317,438,555,426,252,393,222,368,"3,045",545,"3,427",507,"1,709",959,749,685
2021년12월_계_60~69세,"17,772","1,045",833,630,440,618,391,375,441,556,728,670,361,447,296,470,"2,048",440,"2,649",634,"1,261",919,794,726
2021년12월_계_70~79세,"13,055",929,569,470,386,512,351,293,393,455,604,578,316,393,230,395,"1,177",328,"1,638",490,774,728,502,544
2021년12월_계_80~89세,"8,507",605,394,400,339,384,267,212,334,346,500,416,250,313,161,295,573,207,830,245,375,310,341,410
2021년12월_계_90~99세,"1,255",85,58,58,41,63,43,42,55,50,80,65,44,42,20,40,70,31,117,44,36,60,39,72
2021년12월_계_100세 이상,47,4,1,2,1,2,2,1,1,1,3,4,2,0,0,1,7,0,3,0,1,2,4,5
