,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년01월_계_총인구수,"64,549","11,100","11,182","10,310","14,416","9,647","7,894"
2021년01월_계_연령구간인구수,"64,549","11,100","11,182","10,310","14,416","9,647","7,894"
2021년01월_계_0~9세,"5,377",831,"1,287",629,"1,372",657,601
2021년01월_계_10~19세,"6,435",986,"1,505","1,080","1,392",611,861
2021년01월_계_20~29세,"8,825","1,621","1,219","1,664","1,991","1,294","1,036"
2021년01월_계_30~39세,"8,987","1,485","1,389","1,197","2,266","1,680",970
2021년01월_계_40~49세,"9,758","1,456","2,141","1,354","2,094","1,429","1,284"
2021년01월_계_50~59세,"11,280","2,067","1,743","2,024","2,547","1,563","1,336"
2021년01월_계_60~69세,"7,714","1,544","1,020","1,249","1,578","1,398",925
2021년01월_계_70~79세,"3,789",646,552,603,706,697,585
2021년01월_계_80~89세,"1,940",369,273,407,382,275,234
2021년01월_계_90~99세,391,82,48,90,83,40,48
2021년01월_계_100세 이상,53,13,5,13,5,3,14
2021년01월_남_총인구수,"31,675","5,379","5,438","4,914","7,067","5,039","3,838"
2021년01월_남_연령구간인구수,"31,675","5,379","5,438","4,914","7,067","5,039","3,838"
2021년01월_남_0~9세,"2,784",435,655,333,717,327,317
2021년01월_남_10~19세,"3,321",493,752,549,741,334,452
2021년01월_남_20~29세,"4,630",855,644,841,"1,014",719,557
2021년01월_남_30~39세,"4,536",727,623,594,"1,124",964,504
2021년01월_남_40~49세,"4,694",668,"1,029",609,998,778,612
2021년01월_남_50~59세,"5,476",963,888,970,"1,218",775,662
2021년01월_남_60~69세,"3,765",791,501,593,787,688,405
2021년01월_남_70~79세,"1,667",295,222,255,318,334,243
2021년01월_남_80~89세,704,134,110,144,134,107,75
2021년01월_남_90~99세,88,16,14,22,15,13,8
2021년01월_남_100세 이상,10,2,0,4,1,0,3
2021년01월_여_총인구수,"32,874","5,721","5,744","5,396","7,349","4,608","4,056"
2021년01월_여_연령구간인구수,"32,874","5,721","5,744","5,396","7,349","4,608","4,056"
2021년01월_여_0~9세,"2,593",396,632,296,655,330,284
2021년01월_여_10~19세,"3,114",493,753,531,651,277,409
2021년01월_여_20~29세,"4,195",766,575,823,977,575,479
2021년01월_여_30~39세,"4,451",758,766,603,"1,142",716,466
2021년01월_여_40~49세,"5,064",788,"1,112",745,"1,096",651,672
2021년01월_여_50~59세,"5,804","1,104",855,"1,054","1,329",788,674
2021년01월_여_60~69세,"3,949",753,519,656,791,710,520
2021년01월_여_70~79세,"2,122",351,330,348,388,363,342
2021년01월_여_80~89세,"1,236",235,163,263,248,168,159
2021년01월_여_90~99세,303,66,34,68,68,27,40
2021년01월_여_100세 이상,43,11,5,9,4,3,11
