,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년12월_계_총인구수,"209,358","4,801","2,009","2,921","9,029","2,928","2,246","3,952","13,567","3,778","3,608","2,247","3,089","1,948","2,657","23,334","6,807","15,150","5,137","9,388","19,987","3,711","9,237","14,463","36,807","6,557"
2021년12월_계_연령구간인구수,"209,358","4,801","2,009","2,921","9,029","2,928","2,246","3,952","13,567","3,778","3,608","2,247","3,089","1,948","2,657","23,334","6,807","15,150","5,137","9,388","19,987","3,711","9,237","14,463","36,807","6,557"
2021년12월_계_0~9세,"13,756",93,32,63,574,35,44,56,"2,021",315,89,43,68,60,85,"1,569",229,"1,134",234,307,"2,114",89,487,936,"2,539",540
2021년12월_계_10~19세,"18,472",199,59,110,433,89,84,117,"1,040",267,171,80,129,74,159,"2,464",506,"1,979",467,651,"2,502",152,713,"1,676","3,679",672
2021년12월_계_20~29세,"23,613",356,108,176,"1,393",158,110,238,"1,491",534,243,117,156,95,263,"2,615",806,"1,788",525,"1,044","2,412",512,"1,091","1,871","4,774",737
2021년12월_계_30~39세,"22,837",290,93,130,"1,442",158,102,171,"3,025",440,163,116,137,117,204,"2,355",569,"1,566",423,766,"3,049",258,955,"1,395","4,160",753
2021년12월_계_40~49세,"30,153",445,153,223,"1,211",192,157,297,"2,215",481,305,182,239,130,336,"3,546",900,"2,759",720,"1,142","3,664",397,"1,356","2,318","5,683","1,102"
2021년12월_계_50~59세,"37,001",985,393,577,"1,505",540,371,775,"1,567",510,696,415,528,339,458,"4,348","1,224","2,645",921,"1,673","2,992",703,"1,717","2,890","6,993","1,236"
2021년12월_계_60~69세,"34,440","1,258",615,831,"1,400",852,664,"1,159","1,264",608,946,612,917,551,548,"3,612","1,286","1,852",904,"2,035","1,997",829,"1,617","1,944","5,299",840
2021년12월_계_70~79세,"17,156",640,330,475,593,464,383,640,536,344,525,358,472,308,348,"1,731",799,884,575,"1,079",798,456,885,897,"2,241",395
2021년12월_계_80~89세,"10,516",479,185,293,424,391,284,430,354,252,402,285,391,247,222,981,435,481,327,611,401,284,373,477,"1,267",240
2021년12월_계_90~99세,"1,384",55,40,43,52,47,46,68,54,27,67,38,50,27,34,110,52,60,41,79,57,31,41,57,168,40
2021년12월_계_100세 이상,30,1,1,0,2,2,1,1,0,0,1,1,2,0,0,3,1,2,0,1,1,0,2,2,4,2
2021년12월_남_총인구수,"105,932","2,468","1,025","1,486","5,102","1,503","1,144","2,036","6,964","2,048","1,827","1,158","1,559",993,"1,319","11,625","3,464","7,425","2,560","4,710","9,941","2,005","4,796","7,134","18,237","3,403"
2021년12월_남_연령구간인구수,"105,932","2,468","1,025","1,486","5,102","1,503","1,144","2,036","6,964","2,048","1,827","1,158","1,559",993,"1,319","11,625","3,464","7,425","2,560","4,710","9,941","2,005","4,796","7,134","18,237","3,403"
2021년12월_남_0~9세,"6,926",54,12,28,290,17,21,37,999,156,34,26,39,28,40,798,108,549,123,153,"1,066",42,248,484,"1,286",288
2021년12월_남_10~19세,"9,592",103,33,64,226,44,55,63,517,133,79,43,74,42,78,"1,282",263,"1,056",242,331,"1,278",87,360,877,"1,901",361
2021년12월_남_20~29세,"13,617",216,63,119,904,100,65,157,836,366,144,76,87,57,156,"1,483",477,993,294,569,"1,330",306,624,"1,010","2,749",436
2021년12월_남_30~39세,"12,438",185,56,73,914,100,61,107,"1,630",250,90,73,77,64,125,"1,248",350,789,235,429,"1,546",171,542,741,"2,191",391
2021년12월_남_40~49세,"15,525",271,85,132,717,127,113,166,"1,192",282,183,99,137,76,185,"1,790",475,"1,312",372,640,"1,790",244,733,"1,078","2,758",568
2021년12월_남_50~59세,"18,944",528,213,322,850,301,191,421,785,298,378,217,285,174,250,"2,172",647,"1,282",473,852,"1,484",392,952,"1,440","3,382",655
2021년12월_남_60~69세,"17,236",654,320,428,750,453,332,604,632,310,507,326,494,299,256,"1,767",632,891,429,983,972,462,777,942,"2,582",434
2021년12월_남_70~79세,"7,687",277,171,218,292,202,194,311,244,150,246,167,215,152,139,755,356,369,250,486,349,200,415,392,951,186
2021년12월_남_80~89세,"3,645",169,63,92,143,145,100,157,111,95,154,117,136,95,87,299,146,175,134,248,122,96,136,156,399,70
2021년12월_남_90~99세,318,11,9,10,16,13,12,13,18,8,12,13,14,6,3,31,10,9,8,19,4,5,9,14,38,13
2021년12월_남_100세 이상,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
