카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년05월_남_40~49세,"125,534","69,077","14,633","15,731","21,949","16,764","16,094","9,642","1,905","3,440","3,018","3,101","7,208","2,249","7,904","1,896"
2020년05월_남_50~59세,"141,029","68,890","15,997","17,296","21,486","14,111","19,437","12,389","3,326","4,862","4,533","3,224","7,394","4,002","9,909","3,063"
2020년05월_남_60~69세,"106,787","45,375","11,056","11,771","12,942","9,606","15,153","10,888","3,372","4,897","4,476","2,418","4,984","4,318","7,742","3,164"
2020년05월_남_70~79세,"53,560","20,750","5,311","5,468","5,394","4,577","7,719","5,576","2,027","2,854","2,829","1,184","2,495","2,517","3,871","1,738"
2020년05월_남_80~89세,"21,920","7,713","2,040","2,062","1,890","1,721","3,272","2,193","1,054","1,271","1,336",490,"1,144","1,135","1,570",742
2020년05월_남_90~99세,"1,985",663,225,156,144,138,309,173,115,136,130,43,88,97,165,66
2020년05월_남_100세 이상,158,50,11,15,7,17,17,25,1,7,10,3,5,7,25,8
2020년05월_여_총인구수,"787,596","417,681","91,606","100,655","130,560","94,860","103,863","66,547","16,199","25,184","24,070","17,949","38,875","18,359","44,371","14,498"
2020년05월_여_연령구간인구수,"787,596","417,681","91,606","100,655","130,560","94,860","103,863","66,547","16,199","25,184","24,070","17,949","38,875","18,359","44,371","14,498"
2020년05월_여_0~9세,"62,033","37,259","7,603","7,378","12,096","10,182","7,387","4,457",733,"1,285","1,193","1,697","3,723",638,"3,063",598
2020년05월_여_10~19세,"72,538","41,722","9,283","10,147","12,889","9,403","9,235","5,778","1,013","1,884","1,731","1,660","3,757","1,023","3,771",964
2020년05월_여_20~29세,"88,117","54,323","10,660","13,243","18,879","11,541","10,367","6,596","1,020","1,906","1,971","1,921","3,787","1,211","4,037",978
2020년05월_여_30~39세,"93,042","57,145","10,648","11,730","19,613","15,154","11,015","6,424","1,029","1,943","1,638","2,174","5,116","1,081","4,503",974
2020년05월_여_40~49세,"116,605","67,504","14,732","16,214","21,365","15,193","15,184","9,078","1,488","2,915","2,512","2,627","5,939","1,665","6,164","1,529"
2020년05월_여_50~59세,"133,131","68,617","15,898","17,853","21,360","13,506","18,498","11,876","2,720","4,249","4,045","2,910","6,136","3,401","7,974","2,705"
2020년05월_여_60~69세,"106,548","47,195","11,261","12,577","13,364","9,993","15,121","11,029","3,207","4,667","4,353","2,367","4,797","3,945","6,884","2,983"
2020년05월_여_70~79세,"65,881","25,815","6,720","6,888","6,480","5,727","9,742","6,766","2,545","3,394","3,657","1,492","2,985","2,920","4,387","2,178"
2020년05월_여_80~89세,"42,423","15,358","4,035","3,921","3,851","3,551","6,368","3,874","2,045","2,498","2,529",969,"2,260","2,115","3,033","1,374"
2020년05월_여_90~99세,"6,879","2,603",721,668,631,583,894,620,373,421,416,124,362,339,526,201
2020년05월_여_100세 이상,399,140,45,36,32,27,52,49,26,22,25,8,13,21,29,14
