,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년10월_계_총인구수,"154,501","40,111","5,791","19,563","11,589","14,811","20,599","8,765","21,189","12,083"
2021년10월_계_연령구간인구수,"154,501","40,111","5,791","19,563","11,589","14,811","20,599","8,765","21,189","12,083"
2021년10월_계_0~9세,"13,902","3,413",235,"2,078",849,"1,284","1,978",599,"2,274","1,192"
2021년10월_계_10~19세,"15,655","4,126",355,"1,922","1,156","1,377","2,347",925,"2,170","1,277"
2021년10월_계_20~29세,"16,910","4,489",712,"1,919","1,463","1,822","2,255",854,"2,314","1,082"
2021년10월_계_30~39세,"21,548","5,668",753,"2,751","1,427","2,057","2,574","1,036","3,600","1,682"
2021년10월_계_40~49세,"26,120","7,325",824,"3,244","1,943","2,326","3,444","1,429","3,498","2,087"
2021년10월_계_50~59세,"24,864","6,609","1,023","3,129","2,219","2,326","3,659","1,362","2,776","1,761"
2021년10월_계_60~69세,"23,758","5,588","1,189","2,912","1,775","2,315","3,010","1,698","3,288","1,983"
2021년10월_계_70~79세,"8,758","2,125",522,"1,121",556,"1,014",991,660,"1,026",743
2021년10월_계_80~89세,"2,620",668,161,434,180,256,288,185,212,236
2021년10월_계_90~99세,357,98,17,51,19,33,51,17,31,40
2021년10월_계_100세 이상,9,2,0,2,2,1,2,0,0,0
2021년10월_남_총인구수,"80,618","21,558","3,112","10,052","6,067","7,616","10,459","4,483","11,183","6,088"
2021년10월_남_연령구간인구수,"80,618","21,558","3,112","10,052","6,067","7,616","10,459","4,483","11,183","6,088"
2021년10월_남_0~9세,"7,088","1,732",120,"1,049",437,666,977,307,"1,186",614
2021년10월_남_10~19세,"8,299","2,222",187,"1,019",624,762,"1,182",466,"1,178",659
2021년10월_남_20~29세,"9,465","2,575",411,"1,057",806,897,"1,254",502,"1,373",590
2021년10월_남_30~39세,"11,824","3,278",475,"1,411",793,"1,121","1,310",572,"1,982",882
2021년10월_남_40~49세,"14,209","4,187",479,"1,773","1,014","1,277","1,759",754,"1,870","1,096"
2021년10월_남_50~59세,"12,515","3,503",532,"1,596","1,137","1,137","1,820",662,"1,301",827
2021년10월_남_60~69세,"11,799","2,791",569,"1,453",908,"1,107","1,528",835,"1,625",983
2021년10월_남_70~79세,"4,466","1,046",273,547,281,546,522,320,570,361
2021년10월_남_80~89세,897,214,62,134,66,95,100,64,92,70
2021년10월_남_90~99세,54,10,4,13,1,7,6,1,6,6
2021년10월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년10월_여_총인구수,"73,883","18,553","2,679","9,511","5,522","7,195","10,140","4,282","10,006","5,995"
2021년10월_여_연령구간인구수,"73,883","18,553","2,679","9,511","5,522","7,195","10,140","4,282","10,006","5,995"
2021년10월_여_0~9세,"6,814","1,681",115,"1,029",412,618,"1,001",292,"1,088",578
2021년10월_여_10~19세,"7,356","1,904",168,903,532,615,"1,165",459,992,618
2021년10월_여_20~29세,"7,445","1,914",301,862,657,925,"1,001",352,941,492
2021년10월_여_30~39세,"9,724","2,390",278,"1,340",634,936,"1,264",464,"1,618",800
2021년10월_여_40~49세,"11,911","3,138",345,"1,471",929,"1,049","1,685",675,"1,628",991
2021년10월_여_50~59세,"12,349","3,106",491,"1,533","1,082","1,189","1,839",700,"1,475",934
2021년10월_여_60~69세,"11,959","2,797",620,"1,459",867,"1,208","1,482",863,"1,663","1,000"
2021년10월_여_70~79세,"4,292","1,079",249,574,275,468,469,340,456,382
2021년10월_여_80~89세,"1,723",454,99,300,114,161,188,121,120,166
2021년10월_여_90~99세,303,88,13,38,18,26,45,16,25,34
2021년10월_여_100세 이상,7,2,0,2,2,0,1,0,0,0
