카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년05월_계_총인구수,"252,830","5,409","24,529","9,392","21,819","4,283","6,283","4,726","3,257","3,184","21,674","6,162","5,697","5,146","6,394","13,815","4,640","14,739","5,805","23,613","28,471","22,341","9,715","1,736"
2021년05월_계_연령구간인구수,"252,830","5,409","24,529","9,392","21,819","4,283","6,283","4,726","3,257","3,184","21,674","6,162","5,697","5,146","6,394","13,815","4,640","14,739","5,805","23,613","28,471","22,341","9,715","1,736"
2021년05월_계_0~9세,"15,904",139,"1,110",328,"1,345",218,269,98,50,61,"2,352",182,276,199,169,423,90,"1,134",351,"2,840","2,413","1,167",642,48
2021년05월_계_10~19세,"20,516",231,"1,989",516,"1,193",184,317,200,89,131,"2,388",309,316,312,310,809,187,"1,636",332,"2,601","3,600","2,196",585,85
2021년05월_계_20~29세,"26,317",341,"2,252",700,"2,174",452,595,277,134,167,"2,254",470,513,524,609,"1,949",350,"1,877",456,"2,599","3,708","2,918",819,179
2021년05월_계_30~39세,"25,010",324,"1,698",656,"2,573",453,506,244,129,155,"2,936",350,584,474,524,"1,233",273,"1,433",499,"3,332","3,162","2,264","1,091",117
2021년05월_계_40~49세,"36,329",598,"3,261","1,016","2,995",366,706,403,192,287,"3,758",692,696,625,733,"1,770",490,"2,509",743,"4,275","5,142","3,547","1,324",201
2021년05월_계_50~59세,"46,695",989,"4,970","1,657","4,359",663,"1,293",864,572,552,"3,617","1,239","1,045",843,"1,137","2,342",813,"2,799","1,010","4,015","5,412","4,451","1,733",320
2021년05월_계_60~69세,"42,250","1,252","4,474","2,084","3,890",848,"1,364","1,153","1,015",762,"2,493","1,363","1,100","1,049","1,429","2,690","1,054","1,853","1,129","2,434","3,132","3,491","1,801",390
2021년05월_계_70~79세,"24,688",933,"2,915","1,464","2,006",605,745,829,644,653,"1,163",900,727,751,967,"1,826",804,942,791,955,"1,207","1,556","1,049",256
2021년05월_계_80~89세,"13,268",519,"1,666",864,"1,113",426,406,583,384,371,629,570,392,339,452,680,512,488,425,483,603,666,576,121
2021년05월_계_90~99세,"1,786",79,185,102,164,64,80,73,48,43,82,85,47,30,62,91,58,67,67,75,92,81,93,18
2021년05월_계_100세 이상,67,4,9,5,7,4,2,2,0,2,2,2,1,0,2,2,9,1,2,4,0,4,2,1
2021년05월_남_총인구수,"126,552","2,710","12,146","4,765","11,534","2,238","3,347","2,369","1,610","1,586","10,693","3,125","2,975","2,550","3,098","6,850","2,295","7,385","2,863","11,653","13,955","11,171","4,778",856
2021년05월_남_연령구간인구수,"126,552","2,710","12,146","4,765","11,534","2,238","3,347","2,369","1,610","1,586","10,693","3,125","2,975","2,550","3,098","6,850","2,295","7,385","2,863","11,653","13,955","11,171","4,778",856
2021년05월_남_0~9세,"8,126",73,574,178,684,117,139,55,28,27,"1,239",84,137,99,77,237,46,583,177,"1,427","1,211",591,322,21
2021년05월_남_10~19세,"10,711",122,"1,013",286,647,114,162,102,49,88,"1,203",157,158,177,168,427,91,863,180,"1,325","1,894","1,156",290,39
2021년05월_남_20~29세,"14,859",215,"1,282",437,"1,249",291,401,162,81,100,"1,202",273,293,293,338,"1,115",209,"1,052",272,"1,431","2,012","1,631",430,90
2021년05월_남_30~39세,"13,329",189,921,384,"1,505",264,297,148,62,88,"1,457",205,326,267,298,724,164,750,244,"1,640","1,524","1,242",562,68
2021년05월_남_40~49세,"18,909",376,"1,697",594,"1,754",236,418,236,112,169,"1,830",400,402,344,412,959,272,"1,214",402,"2,124","2,366","1,765",713,114
2021년05월_남_50~59세,"24,162",562,"2,577",884,"2,367",387,745,479,301,325,"1,819",693,587,421,588,"1,160",455,"1,427",536,"1,931","2,666","2,167",913,172
2021년05월_남_60~69세,"20,840",613,"2,199","1,040","2,038",440,684,613,527,369,"1,200",710,582,479,650,"1,168",533,905,535,"1,216","1,580","1,687",874,198
2021년05월_남_70~79세,"11,053",379,"1,317",651,944,264,350,386,309,285,542,413,347,338,392,794,346,412,362,413,517,697,479,116
2021년05월_남_80~89세,"4,205",165,527,290,312,115,134,170,132,129,193,168,130,126,160,251,163,170,139,132,172,214,178,35
2021년05월_남_90~99세,343,15,38,20,32,9,17,17,9,5,6,22,13,6,15,14,13,9,16,14,13,20,17,3
2021년05월_남_100세 이상,15,1,1,1,2,1,0,1,0,1,2,0,0,0,0,1,3,0,0,0,0,1,0,0
2021년05월_여_총인구수,"126,278","2,699","12,383","4,627","10,285","2,045","2,936","2,357","1,647","1,598","10,981","3,037","2,722","2,596","3,296","6,965","2,345","7,354","2,942","11,960","14,516","11,170","4,937",880
2021년05월_여_연령구간인구수,"126,278","2,699","12,383","4,627","10,285","2,045","2,936","2,357","1,647","1,598","10,981","3,037","2,722","2,596","3,296","6,965","2,345","7,354","2,942","11,960","14,516","11,170","4,937",880
2021년05월_여_0~9세,"7,778",66,536,150,661,101,130,43,22,34,"1,113",98,139,100,92,186,44,551,174,"1,413","1,202",576,320,27
2021년05월_여_10~19세,"9,805",109,976,230,546,70,155,98,40,43,"1,185",152,158,135,142,382,96,773,152,"1,276","1,706","1,040",295,46
2021년05월_여_20~29세,"11,458",126,970,263,925,161,194,115,53,67,"1,052",197,220,231,271,834,141,825,184,"1,168","1,696","1,287",389,89
2021년05월_여_30~39세,"11,681",135,777,272,"1,068",189,209,96,67,67,"1,479",145,258,207,226,509,109,683,255,"1,692","1,638","1,022",529,49
2021년05월_여_40~49세,"17,420",222,"1,564",422,"1,241",130,288,167,80,118,"1,928",292,294,281,321,811,218,"1,295",341,"2,151","2,776","1,782",611,87
2021년05월_여_50~59세,"22,533",427,"2,393",773,"1,992",276,548,385,271,227,"1,798",546,458,422,549,"1,182",358,"1,372",474,"2,084","2,746","2,284",820,148
2021년05월_여_60~69세,"21,410",639,"2,275","1,044","1,852",408,680,540,488,393,"1,293",653,518,570,779,"1,522",521,948,594,"1,218","1,552","1,804",927,192
2021년05월_여_70~79세,"13,635",554,"1,598",813,"1,062",341,395,443,335,368,621,487,380,413,575,"1,032",458,530,429,542,690,859,570,140
2021년05월_여_80~89세,"9,063",354,"1,139",574,801,311,272,413,252,242,436,402,262,213,292,429,349,318,286,351,431,452,398,86
2021년05월_여_90~99세,"1,443",64,147,82,132,55,63,56,39,38,76,63,34,24,47,77,45,58,51,61,79,61,76,15
2021년05월_여_100세 이상,52,3,8,4,5,3,2,1,0,1,0,2,1,0,2,1,6,1,2,4,0,3,2,1
